breaths ann1 [signal sample no], breaths ann2 [signal sample no]
241,235
672,652
1085,1074
1498,1485
1941,1908
2372,2383
2828,2826
3276,3269
3715,3739
4165,4175
4530,4539
4761,5051
5043,5404
5378,5768
5757,6175
6161,6597
6617,7009
7004,7431
7448,7883
7872,8363
8359,8827
8820,9286
9267,9751
9720,10173
10176,10532
10567,10891
10902,11234
11237,11601
11600,12002
11987,12392
12396,12883
12830,13279
13257,13722
13700,14234
14239,14619
14648,15108
15085,15567
15550,15968
15959,16322
16341,16728
16720,17119
17111,17520
17520,17873
17885,18237
18241,18718
18680,19148
19126,19518
19504,20030
20013,20357
20396,20710
20683,21085
21070,21534
21539,21935
21917,22320
22304,22708
22711,23152
23146,23532
23524,23970
23967,24418
24402,24877
24876,25289
25320,25732
25715,26149
26150,26543
26535,26928
26904,27297
27304,27672
27683,28094
28096,28495
28535,28907
28917,29234
29191,29472
29470,29794
29796,30182
30172,30536
30559,30995
30972,31364
31385,31792
31828,32235
32254,32699
32707,33195
33189,33612
33620,34006
34009,34402
34404,34840
34830,35235
35239,35663
35678,36085
36100,36513
36513,36882
36917,37230
37226,37577
37589,37951
37972,38394
38411,38817
38850,39292
39254,39814
39841,40204
40211,40632
40641,41128
41146,41617
41609,42044
42043,42414
42430,42841
42822,43263
43257,43685
43700,44139
44139,44567
44574,44989
44983,45393
45407,45810
45772,46201
46193,46607
46593,47040
47054,47441
47441,47810
47807,48195
48193,48623
48646,49080
49087,49454
49496,49903
49883,50330
50352,50779
50787,51222
51230,51634
51626,52056
52061,52484
52487,52920
52933,53373
53359,53811
53820,54228
54241,54682
54676,55083
55080,55521
55524,55996
55985,56422
56417,56812
56804,57213
57204,57641
57635,58063
58070,58495
58478,58912
58917,59345
59304,59751
59743,NaN
