breaths ann1 [signal sample no], breaths ann2 [signal sample no]
189,187
476,472
737,747
1037,1042
1324,1322
1646,1649
2054,2061
2350,2346
2628,2625
2924,2910
3220,3222
3528,3522
3848,3842
4191,4180
4517,4513
4883,4892
5226,5230
5565,5557
5922,5937
6283,6296
6626,6634
7004,7035
7409,7436
7776,7788
8128,8131
8507,8526
8841,8864
9193,9202
9533,9540
9907,9925
10250,10263
10567,10590
10876,10906
11202,11223
11526,11548
11830,11844
12143,12150
12483,12487
12835,12841
13170,13189
13517,13527
13861,13865
14217,14229
14583,14582
14930,14941
15272,15272
15641,15652
16024,16021
16393,16391
16776,16797
17146,17140
17511,17536
17854,17873
18189,18206
18515,18528
18857,18858
19196,19191
19526,19528
19878,19892
20235,20246
20617,20615
21000,21001
21330,21333
21691,21713
22052,22051
22417,22420
22785,22793
23159,23157
23498,23505
23841,23854
24172,24170
24498,24518
24867,24861
25220,25231
25576,25590
25915,25922
26287,26268
26648,26659
26996,26997
27343,27340
27722,27730
28087,28094
28461,28464
28826,28828
29183,29166
29548,29551
29909,29894
30237,30245
30602,30620
30959,30958
31341,31338
31685,31702
32102,32092
32446,32441
32807,32831
33176,33185
33541,33570
33909,33911
34274,34286
34639,34655
35009,35030
35387,35378
35709,35726
36087,36090
36452,36454
36783,36792
37152,37146
37513,37513
37846,37856
38224,38210
38559,38584
38954,38954
39324,39344
39672,39677
40046,40057
40420,40426
40802,40806
41167,41191
41526,41532
41870,41870
42230,42224
42587,42598
42943,42936
43287,43290
43704,43696
44139,44160
44483,44498
44843,44841
45189,45203
45567,45562
45889,45910
46267,46264
46663,46649
46998,46992
47354,47367
47707,47710
48063,48058
48428,48438
48809,48784
49139,49133
49500,49486
49865,49877
50200,50209
50543,50557
50904,50900
51243,51280
51626,51629
51991,51972
52335,52357
52672,52677
53007,53004
53320,53331
53672,53674
54024,54017
54398,54392
54763,54756
55098,55109
55467,55479
55807,55822
56167,56165
56509,56511
56870,56849
57252,57245
57626,57651
57974,57994
58352,58332
58704,58728
59078,59071
59426,59414
59809,59809
