Time [s], RESP, PLETH, II, V, AVR, CVP
0,0.040777,0.3607,0.47059,0.63529,0.625,13.494
0.008,0.040777,0.35582,0.47451,0.63529,0.61914,13.69
0.016,0.042718,0.35191,0.46471,0.65098,0.62891,13.807
0.024,0.042718,0.348,0.47059,0.6549,0.625,13.963
0.032,0.04466,0.34506,0.48039,0.63529,0.61914,14.081
0.04,0.04466,0.34311,0.48039,0.64118,0.61523,14.276
0.048,0.04466,0.34115,0.48431,0.6451,0.61914,14.589
0.056,0.046602,0.34018,0.48431,0.6451,0.61523,14.902
0.064,0.046602,0.34018,0.48431,0.64118,0.61523,15.059
0.072,0.046602,0.3392,0.48039,0.63529,0.60938,15.137
0.08,0.046602,0.33822,0.48039,0.64118,0.61523,15.137
0.088,0.046602,0.33724,0.47451,0.63529,0.60938,15.02
0.096,0.046602,0.33529,0.47451,0.64118,0.61523,14.902
0.104,0.046602,0.33431,0.48431,0.6451,0.61523,14.746
0.112,0.046602,0.33236,0.48039,0.63529,0.61523,14.589
0.12,0.046602,0.33138,0.48431,0.63529,0.61523,14.394
0.128,0.046602,0.32942,0.48039,0.63529,0.60547,14.12
0.136,0.04466,0.32845,0.48039,0.63529,0.60547,13.963
0.144,0.04466,0.32942,0.47059,0.63529,0.61523,13.768
0.152,0.042718,0.33138,0.48039,0.62941,0.60547,13.377
0.16,0.040777,0.33627,0.47451,0.62941,0.60938,12.947
0.168,0.040777,0.34409,0.47059,0.63529,0.61523,12.438
0.176,0.038835,0.35679,0.47059,0.63529,0.60938,12.008
0.184,0.036893,0.37537,0.46078,0.63529,0.61914,11.656
0.192,0.034951,0.39883,0.47451,0.62941,0.60938,11.382
0.2,0.034951,0.4262,0.50588,0.6451,0.5957,11.382
0.208,0.03301,0.45846,0.51569,0.65098,0.58398,11.578
0.216,0.03301,0.49267,0.51961,0.6549,0.58984,11.812
0.224,0.031068,0.52786,0.53529,0.63529,0.56445,11.969
0.232,0.029126,0.56305,0.5549,0.61569,0.54492,12.008
0.24,0.027184,0.59726,0.5549,0.58431,0.53516,12.008
0.248,0.027184,0.62463,0.55098,0.57451,0.53516,11.969
0.256,0.025243,0.64712,0.52941,0.57059,0.54492,11.969
0.264,0.023301,0.67058,0.5,0.59608,0.58008,12.086
0.272,0.023301,0.6911,0.47059,0.61569,0.60938,12.203
0.28,0.021359,0.70968,0.4451,0.6098,0.62891,12.438
0.288,0.021359,0.72434,0.43922,0.61961,0.64062,12.634
0.296,0.021359,0.73607,0.42941,0.61961,0.64062,12.829
0.304,0.019417,0.74389,0.40392,0.66078,0.66406,13.025
0.312,0.019417,0.74878,0.3902,0.70588,0.68555,13.064
0.32,0.019417,0.75073,0.53529,0.73137,0.55469,13.181
0.328,0.019417,0.74976,0.77059,0.67647,0.25586,13.338
0.336,0.017476,0.74682,0.98627,0.40392,-0.089844,13.69
0.344,0.017476,0.74194,0.89608,0.22353,-0.11914,14.276
0.352,0.017476,0.73412,0.76078,0.13333,0.28516,14.824
0.36,0.017476,0.72532,0.6902,0.068627,0.37109,15.372
0.368,0.015534,0.71554,0.58431,0.30392,0.50977,15.958
0.376,0.015534,0.70283,0.49412,0.51961,0.59961,16.389
0.384,0.015534,0.68915,0.43529,0.61569,0.6543,16.584
0.392,0.015534,0.67351,0.41569,0.63529,0.66406,16.31
0.4,0.015534,0.65689,0.41569,0.6549,0.67969,15.684
0.408,0.015534,0.63832,0.40392,0.66471,0.68555,14.941
0.416,0.015534,0.62072,0.4,0.67647,0.68555,14.198
