breaths ann1 [signal sample no], breaths ann2 [signal sample no]
620,251
1154,599
1533,1148
2067,1522
2607,2050
3054,2604
3485,3016
3852,3491
4383,3879
4883,4391
5152,4882
5791,5141
6261,5832
6817,6243
7265,6803
7746,7251
8207,7693
8559,8173
9072,8542
9450,9080
10011,9350
10446,9909
10993,10474
11517,10980
11930,11516
12648,11933
13509,12662
13948,13015
14461,13511
14913,13954
15415,14440
15885,14968
16380,15425
16850,15905
17389,16364
17976,16865
18402,17361
18822,17868
19365,18385
19778,18821
20300,19370
20757,19797
21248,20330
21865,20758
22335,21259
22676,21792
23293,22325
23750,22698
24767,23284
25333,23759
25911,24207
26430,24751
27009,25273
27513,25811
28057,26437
28570,27023
29113,27540
29617,27984
30128,28585
30585,29065
31146,29651
31637,30087
32080,30583
32637,31132
33124,31617
33633,32098
34157,32678
34743,33079
35252,33628
35691,34196
36091,34776
36591,35257
37004,35679
37550,36064
38076,36586
38533,37014
38950,37550
39480,38125
39972,38553
40520,38927
41076,39450
41591,40020
42109,40521
42630,41075
43148,41559
43670,42118
44152,42582
44639,43115
45215,43659
45641,44224
46237,44593
46680,45166
47267,45652
47615,46211
48917,46712
49213,46939
50400,47272
50830,47673
51348,48079
52811,48932
53254,49217
54224,49813
54841,50341
55350,50906
56857,51333
57400,51966
57743,52389
58296,52740
58778,53310
59526,53811
NaN,54234
NaN,54455
NaN,54867
NaN,55373
NaN,55727
NaN,56228
NaN,56448
NaN,56854
NaN,57493
NaN,57762
NaN,58189
NaN,58823
NaN,59598
NaN,59952
