breaths ann1 [signal sample no], breaths ann2 [signal sample no]
289,309
759,773
1237,1227
1707,1707
2167,2150
2641,2641
3111,3116
3580,3591
3939,3948
4404,4423
4909,4871
5813,5816
6339,6243
7650,6951
8141,7156
8585,7656
9515,8136
9989,8590
10476,9524
10933,10009
11409,10453
11874,10943
12357,11400
12839,11875
13261,12324
13726,12815
14170,13268
14661,13754
15176,14203
15611,14688
16567,15166
17780,15599
18254,16111
18693,16554
19157,16997
19643,17778
20074,18259
20552,18691
21030,19159
21483,19644
21970,20088
22763,20573
23376,21006
23815,21507
24359,21993
24772,22457
25263,22693
25720,23379
26180,23843
26652,24313
27100,24756
27604,25252
28517,25722
29009,26186
29457,26659
29922,27113
30415,27604
30911,27825
31350,28538
31802,28997
32233,29477
32698,28042
34004,29910
34461,30404
34909,30879
35230,31348
35517,31818
35974,32277
36483,32694
36926,33000
37400,33644
37633,33995
38350,34497
38811,34940
39293,35230
39528,35552
40015,36001
40489,36486
40950,36940
41413,37441
41874,37640
42661,38363
43104,38832
43600,39297
43913,39524
44865,40015
45350,40489
45811,40949
46267,41422
46576,41881
47115,42287
47480,42662
48033,43105
48507,43606
48974,43923
49409,44414
49904,44846
50309,45340
50822,45810
51291,46301
51743,47119
52222,47562
52663,48058
53180,48491
53650,48964
54098,49449
54528,49919
54967,50352
55459,50827
55867,51307
56352,51766
56830,52241
57313,52708
57743,53178
58278,53606
58713,54112
59222,54534
59604,54951
NaN,55447
NaN,55859
NaN,56369
NaN,56859
NaN,57313
NaN,57820
NaN,58268
NaN,58717
NaN,59176
NaN,59651
