breaths ann1 [signal sample no], breaths ann2 [signal sample no]
302,309
763,778
1307,1306
1889,1897
2407,2420
2959,2958
3459,3470
4004,4016
4487,4497
4978,4998
5496,5515
5978,5985
6426,6449
6943,6935
7413,7431
7859,7877
8250,8252
8780,8790
9267,9276
9733,9740
10254,10226
10698,10674
11120,11107
11583,11580
12070,12071
12561,12556
13004,12994
13504,13490
13952,13907
14374,14350
14804,14794
15328,15346
15780,15778
16233,16232
16759,16755
17211,17214
17711,17699
18180,18179
18663,18633
19091,19085
19596,19565
20057,20035
20483,20499
20965,20985
21452,21444
22022,22003
22439,22457
23480,22640
24037,22967
24528,23495
24889,24017
25780,24455
26085,24872
26448,25442
26817,25780
27187,26091
27535,26448
27804,26823
28174,27203
28565,27540
29004,27788
29309,28173
29757,28564
30150,28949
30520,29287
30763,29772
31089,30156
31641,30509
31976,31106
32485,31586
32976,32003
33459,32493
33887,32974
34378,33475
34874,33911
35296,34402
35839,34850
36304,35341
36817,35842
37235,36286
37737,36776
38133,37220
38602,37703
39133,38120
39563,38600
40120,39117
40633,39550
41124,40125
41609,40653
42074,41128
42409,41596
42800,42086
43330,42408
43865,42836
44343,43258
44809,43875
45354,44261
45867,44788
46459,45361
46967,45873
47446,46475
48011,47003
48502,47435
49083,47995
50135,48522
50548,49212
50930,50125
51261,50505
51713,50932
52126,51265
52976,51718
53550,52104
54537,52555
55137,52993
56041,53574
56652,54049
57070,54228
57661,54566
58087,55104
58691,55431
59178,56102
59761,56606
NaN,57044
NaN,57630
NaN,58063
NaN,58643
NaN,59171
NaN,59772
