Time [s], PLETH, RESP, II, V, AVR
0,1.8162,1,-0.040567,0.94971,0.71017
0.008,1.7771,1,-0.045455,0.92969,0.70528
0.016,1.7419,1,0.034702,0.9248,0.64516
0.024,1.7107,1,0.049853,0.89014,0.67498
0.032,1.6872,1,0.089932,0.86475,0.68035
0.04,1.6676,1,0.16471,0.84473,0.6002
0.048,1.6471,1,0.21994,0.81982,0.565
0.056,1.6276,1,0.19501,0.80469,0.61486
0.064,1.61,1,0.2346,0.78516,0.62023
0.072,1.5934,1,0.25464,0.78516,0.54497
0.08,1.5767,1,0.27468,0.77979,0.53519
0.088,1.5621,1,0.24487,0.77002,0.56989
0.096,1.5474,1,0.2346,0.76514,0.58016
0.104,1.5337,1,0.27468,0.77979,0.55523
0.112,1.521,0.99291,0.25464,0.77002,0.57527
0.12,1.5083,0.98583,0.28983,0.78516,0.54497
0.128,1.4985,0.97068,0.28006,0.7749,0.54497
0.136,1.4897,0.95553,0.28495,0.77002,0.54008
0.144,1.48,0.93697,0.26979,0.7749,0.565
0.152,1.4692,0.91864,0.29472,0.79004,0.54008
0.16,1.4565,0.89714,0.31965,0.81006,0.52004
0.168,1.4438,0.87589,0.32991,0.81982,0.52493
0.176,1.4311,0.85243,0.33969,0.83496,0.50489
0.184,1.4184,0.82898,0.37488,0.83984,0.5
0.192,1.4047,0.8043,0.41984,0.7998,0.47996
0.2,1.392,0.77962,0.43011,0.76514,0.47019
0.208,1.3783,0.75715,0.41984,0.75977,0.47507
0.216,1.3646,0.73491,0.43011,0.75488,0.46481
0.224,1.3519,0.71439,0.3348,0.75977,0.51515
0.232,1.3441,0.69387,0.26002,0.74512,0.565
0.24,1.3392,0.67359,0.22972,0.76514,0.58016
0.248,1.3372,0.65331,0.21994,0.75977,0.59531
0.256,1.3548,0.63352,0.20479,0.75488,0.58993
0.264,1.3812,0.61373,0.18475,0.74512,0.62023
0.272,1.4125,0.59687,0.20968,0.75488,0.59531
0.28,1.4721,0.58001,0.18964,0.74512,0.60508
0.288,1.5582,0.5656,0.24976,0.81006,0.55523
0.296,1.6667,0.55143,0.38514,0.83496,0.48485
0.304,1.7928,0.53872,0.82502,0.83008,0.27468
0.312,1.9296,0.52602,1.4658,0.83984,-0.13539
0.32,2.0704,0.51478,1.501,0.49023,-0.3607
0.328,2.1906,0.50354,1.3504,0.23486,-0.11046
0.336,2.2972,0.4945,0.89052,0.29004,0.22972
0.344,2.4086,0.48571,0.5,0.58984,0.49022
0.352,2.5152,0.47862,0.1349,0.75,0.65005
0.36,2.6119,0.47178,0.059629,0.78516,0.68524
0.368,2.696,0.46567,0.039589,0.7998,0.67009
0.376,2.7674,0.45981,-0.025415,0.79492,0.74536
0.384,2.826,0.45443,-0.00048876,0.80469,0.71017
0.392,2.8974,0.44906,0.039589,0.81494,0.67009
0.4,2.9697,0.4432,0.029814,0.80469,0.6652
0.408,3.0117,0.43758,0.024438,0.83008,0.70039
0.416,3.0323,0.43122,0.044477,0.82471,0.6652
0.424,3.0352,0.42487,0.024438,0.81494,0.68035
0.432,3.0235,0.41828,0.014663,0.81982,0.70039
0.44,2.999,0.41168,0.039589,0.82471,0.67498
0.448,2.9629,0.40435,0.034702,0.82471,0.68035
0.456,2.915,0.39726,0.029814,0.83008,0.68524
0.464,2.8563,0.38774,0.064516,0.83984,0.65494
0.472,2.7879,0.37845,0.044477,0.83008,0.65005
0.48,2.7116,0.36697,0.029814,0.83496,0.67498
0.488,2.6285,0.35573,0.044477,0.84473,0.6652
0.496,2.5415,0.34229,0.049853,0.85498,0.66031
0.504,2.4545,0.3291,0.014663,0.8501,0.68035
0.512,2.3685,0.31444,0.059629,0.89502,0.6349
0.52,2.2854,0.30002,0.01955,0.8999,0.67009
0.528,2.2151,0.28537,-0.020528,0.89014,0.69013
0.536,2.1525,0.27095,-0.030303,0.91504,0.70528
0.544,2.0899,0.25629,-0.040567,0.91992,0.70039
0.552,2.0313,0.24188,-0.035191,0.92969,0.69013
0.56,1.9775,0.22526,-0.05523,0.90967,0.71994
0.568,1.9277,0.20865,-0.065494,0.90479,0.72532
0.576,1.8827,0.19081,-0.05523,0.89014,0.72532
0.584,1.8407,0.17298,0.01955,0.87988,0.68524
0.592,1.8025,0.15636,0.084555,0.85498,0.64516
0.6,1.7674,0.13975,0.1349,0.82471,0.62512
0.608,1.7341,0.12387,0.14956,0.78516,0.63001
0.616,1.7038,0.10823,0.20479,0.77979,0.58993
0.624,1.6755,0.090887,0.1999,0.75488,0.58504
0.632,1.654,0.07354,0.21457,0.75,0.60997
0.64,1.6354,0.054728,0.22972,0.73975,0.58504
0.648,1.6149,0.036159,0.21994,0.73975,0.6002
0.656,1.5943,0.017835,0.26491,0.73975,0.56012
0.664,1.5748,-0.00024432,0.26979,0.74512,0.55523
0.672,1.5562,-0.00048864,0.26002,0.73975,0.565
0.68,1.5376,-0.00048864,0.23998,0.73975,0.58993
0.688,1.5191,-0.00048864,0.26491,0.73975,0.56989
0.696,1.5015,-0.00048864,0.25464,0.74512,0.58504
0.704,1.4839,-0.00048864,0.28006,0.75,0.55523
0.712,1.4653,-0.00048864,0.26979,0.74512,0.565
0.72,1.4477,-0.00048864,0.29472,0.7749,0.54497
0.728,1.434,-0.00048864,0.26491,0.78516,0.58504
0.736,1.4233,-0.00048864,0.30987,0.80469,0.53519
0.744,1.4106,-0.00048864,0.32991,0.83008,0.54497
0.752,1.3969,-0.00048864,0.38514,0.80469,0.5
0.76,1.3822,-0.00048864,0.3998,0.75977,0.49022
0.768,1.3675,-0.00048864,0.41496,0.73486,0.47507
0.776,1.3529,-0.00048864,0.41007,0.73975,0.46481
0.784,1.3382,-0.00048864,0.3348,0.7251,0.52981
0.792,1.3236,-0.00048864,0.26002,0.72998,0.56989
0.8,1.3109,-0.00048864,0.19501,0.71484,0.60997
0.808,1.304,-0.00048864,0.17498,0.71484,0.62023
0.816,1.3069,-0.00048864,0.20968,0.7251,0.58016
0.824,1.3245,-0.00048864,0.18964,0.71484,0.57527
0.832,1.3548,-0.00048864,0.14467,0.70508,0.6349
0.84,1.4008,-0.00048864,0.17498,0.71973,0.60508
0.848,1.4731,-0.00048864,0.19501,0.73486,0.58993
0.856,1.5689,-0.00048864,0.24487,0.81006,0.56012
0.864,1.6843,-0.00048864,0.58993,0.77979,0.38514
0.872,1.8152,-0.00048864,1.1505,0.79004,0.049853
0.88,1.9541,-0.00048864,1.501,0.625,-0.31574
0.888,2.0948,-0.00048864,1.501,0.3252,-0.36559
0.896,2.2317,-0.00048864,0.98534,0.23486,0.14956
0.904,2.3597,-0.00048864,0.76002,0.43018,0.31476
0.912,2.477,-0.00048864,0.21994,0.68994,0.6002
0.92,2.5806,-0.00048864,0.024438,0.75,0.70528
0.928,2.6588,-0.00048864,0.0043988,0.76514,0.71017
0.936,2.7185,-0.00048864,0.024438,0.79004,0.67498
0.944,2.7761,-0.00048864,0.014663,0.79492,0.68035
0.952,2.826,-0.00048864,0.01955,0.80469,0.67498
0.96,2.8651,-0.00048864,-0.0053763,0.7998,0.70039
0.968,2.8935,-0.00048864,0.024438,0.81006,0.68035
0.976,2.9101,-0.00048864,-0.015152,0.79004,0.71505
0.984,2.914,-0.00048864,0.029814,0.81006,0.6652
0.992,2.9042,-0.00048864,0.044477,0.81494,0.65005
1,2.8807,-0.00048864,0.01955,0.80469,0.67498
1.008,2.8456,-0.00048864,0.039589,0.81494,0.66031
1.016,2.7986,-0.00048864,0.059629,0.83008,0.6652
1.024,2.74,-0.00048864,0.049853,0.80469,0.64027
1.032,2.6784,-0.00048864,0.024438,0.81006,0.67498
1.04,2.6139,-0.00048864,0.039589,0.81494,0.66031
