breaths ann1 [signal sample no], breaths ann2 [signal sample no]
76,82
502,499
911,926
1328,1343
1750,1755
2167,2172
2598,2588
3007,3005
3428,3422
3835,3837
4257,4254
4670,4671
5087,5093
5496,5499
5917,5922
6326,6344
6743,6761
7196,7172
7580,7582
8011,7999
8407,8421
8837,8843
9237,9260
9654,9666
10076,10083
10515,10511
10924,10922
11322,11342
11761,11754
12143,12176
12587,12588
12978,13010
13387,13427
13835,13838
14265,14250
14657,14677
15093,15087
15507,15515
15907,15926
16346,16338
16728,16755
17176,17172
17593,17594
17998,18011
18415,18427
18839,18837
19257,19259
19661,19676
20078,20093
20509,20505
20904,20927
21339,21344
21752,21755
22174,22183
22593,22598
23015,23004
23433,23421
23833,23843
24233,24265
24680,24672
25093,25099
25515,25505
25937,25933
26365,26337
26748,26759
27178,27176
27583,27593
28017,28015
28409,28432
28878,28854
29257,29266
29691,29688
30107,30108
30515,30515
30915,30937
31363,31359
31780,31776
32185,32187
32620,32604
33024,33021
33437,33438
33839,33858
34283,34270
34696,34687
35113,35109
35522,35520
35930,35932
36343,36359
36752,36771
37183,37193
37602,37608
38028,38020
38433,38442
38867,38854
39272,39270
39689,39693
40107,40109
40511,40521
40941,40943
41348,41358
41761,41775
42217,42192
42604,42604
43022,43020
43439,43437
43891,43859
44283,44271
44691,44683
45089,45108
45528,45530
45911,45947
46385,46359
46780,46770
47176,47187
47633,47609
47980,48021
48446,48438
48843,48858
49304,49275
49696,49687
50104,50104
50513,50526
50948,50943
51396,51365
51800,51776
52183,52193
52593,52608
53015,53025
53428,53442
53893,53859
54237,54276
54685,54693
55120,55109
55502,55526
55963,55938
56335,56363
56804,56775
57200,57197
57617,57609
58061,58031
58435,58443
58861,58859
59283,59282
59696,59693
