Time [s], RESP, PLETH, II, V, AVR
0,1,0.51026,-0.49805,0.96667,1.0938
0.008,1,0.50342,-0.49805,1.0569,1.0996
0.016,1,0.49462,-0.49805,1.0725,1.0488
0.024,1,0.4868,-0.38477,1.0059,1.0039
0.032,1,0.47996,-0.21875,0.95098,0.95898
0.04,1,0.4741,-0.10352,0.91569,0.92969
0.048,1,0.47019,-0.070312,0.88627,0.92383
0.056,1,0.46628,-0.054688,0.87059,0.92383
0.064,1,0.46432,-0.048828,0.86078,0.92383
0.072,1,0.46237,-0.044922,0.85686,0.92383
0.08,1,0.46139,-0.039062,0.85098,0.91992
0.088,1,0.46041,-0.035156,0.85686,0.91406
0.096,1,0.45846,-0.035156,0.85098,0.91992
0.104,1,0.4565,-0.029297,0.8451,0.91406
0.112,1,0.45455,-0.025391,0.8451,0.91406
0.12,1,0.45259,-0.029297,0.8451,0.91406
0.128,1,0.45064,-0.025391,0.8451,0.91406
0.136,1,0.44868,-0.029297,0.8451,0.91992
0.144,1,0.44575,-0.025391,0.8451,0.91016
0.152,1,0.44379,-0.025391,0.85098,0.91016
0.16,1,0.44086,-0.025391,0.85686,0.91016
0.168,1,0.43891,-0.029297,0.85098,0.91406
0.176,1,0.43695,-0.035156,0.85686,0.91016
0.184,1,0.435,-0.035156,0.85686,0.91016
0.192,1,0.43206,-0.039062,0.86078,0.91016
0.2,1,0.43011,-0.039062,0.86667,0.91016
0.208,1,0.42815,-0.054688,0.86667,0.91992
0.216,1,0.4262,-0.064453,0.87647,0.91992
0.224,1,0.42424,-0.074219,0.88039,0.92969
0.232,1,0.42326,-0.089844,0.88039,0.93555
0.24,1,0.42131,-0.09375,0.88039,0.93555
0.248,1,0.41935,-0.099609,0.88039,0.93555
0.256,1,0.41642,-0.089844,0.87647,0.93555
0.264,1,0.41447,-0.083984,0.86667,0.91992
0.272,1,0.41153,-0.048828,0.85686,0.90039
0.28,1,0.40958,-0.0097656,0.84118,0.87891
0.288,1,0.40665,0.019531,0.82549,0.86523
0.296,1,0.40469,0.041016,0.82157,0.85547
0.304,1,0.40176,0.050781,0.81569,0.84961
0.312,1,0.3998,0.050781,0.81569,0.85547
0.32,1,0.39785,0.044922,0.81569,0.85547
0.328,1,0.39589,0.03125,0.81569,0.86523
0.336,1,0.39394,0.025391,0.82549,0.86914
0.344,1,0.39198,0.015625,0.83137,0.875
0.352,1,0.39003,0.0097656,0.83529,0.88477
0.36,1,0.38807,0.0097656,0.83529,0.87891
0.368,1,0.38612,0.0058594,0.83529,0.88477
0.376,1,0.38416,0.0058594,0.83529,0.88477
0.384,1,0.38221,0.015625,0.83137,0.87891
0.392,1,0.38025,0.019531,0.82549,0.88477
0.4,1,0.3783,0.03125,0.82549,0.875
0.408,1,0.37634,0.041016,0.82157,0.86523
0.416,1,0.37439,0.044922,0.82157,0.86523
0.424,1,0.37243,0.044922,0.81569,0.86523
0.432,1,0.37146,0.050781,0.81569,0.85938
0.44,1,0.3695,0.054688,0.81176,0.85938
0.448,1,0.36755,0.054688,0.81176,0.85547
0.456,1,0.36559,0.050781,0.81176,0.85938
0.464,1,0.36364,0.044922,0.81176,0.86523
0.472,1,0.3607,0.044922,0.81176,0.86523
0.48,1,0.35875,0.041016,0.81176,0.86523
0.488,1,0.35679,0.041016,0.81176,0.86523
0.496,1,0.35582,0.035156,0.81176,0.86523
0.504,1,0.35875,0.035156,0.81176,0.86523
0.512,1,0.36559,0.03125,0.81176,0.86523
0.52,1,0.37634,0.03125,0.81176,0.86523
0.528,1,0.39003,0.03125,0.81569,0.86523
0.536,0.99804,0.41251,0.03125,0.81176,0.86523
0.544,0.99511,0.43988,0.03125,0.81569,0.86523
0.552,0.98925,0.47312,0.03125,0.81569,0.86523
0.56,0.98338,0.50929,0.03125,0.81569,0.86523
0.568,0.97752,0.54545,0.025391,0.81569,0.86914
0.576,0.97263,0.58162,0.025391,0.81569,0.86523
0.584,0.96872,0.61388,0.03125,0.81569,0.85938
0.592,0.96383,0.64321,0.019531,0.81569,0.86523
0.6,0.95992,0.66862,0.025391,0.81569,0.86523
0.608,0.95699,0.68915,0.03125,0.81176,0.86523
0.616,0.9521,0.70674,0.044922,0.80588,0.85547
0.624,0.94819,0.71848,0.060547,0.80588,0.84375
0.632,0.9433,0.7263,0.070312,0.80588,0.84961
0.64,0.93842,0.73412,0.070312,0.81176,0.83984
0.648,0.93255,0.73998,0.076172,0.79608,0.83008
0.656,0.92766,0.74487,0.076172,0.78039,0.83398
0.664,0.92082,0.7478,0.064453,0.77647,0.83398
0.672,0.91496,0.74976,0.064453,0.7902,0.82422
0.68,0.90811,0.75073,0.054688,0.78039,0.83398
0.688,0.90225,0.74878,0.050781,0.77647,0.83984
0.696,0.89541,0.74585,0.035156,0.7902,0.84961
0.704,0.88856,0.74096,0.0097656,0.79608,0.86914
0.712,0.88172,0.73314,-0.0097656,0.80588,0.88867
0.72,0.8739,0.72434,-0.013672,0.8,0.88867
0.728,0.86608,0.71359,-0.013672,0.80588,0.88867
0.736,0.85826,0.6999,-0.0097656,0.80588,0.88867
0.744,0.85044,0.68426,-0.0039062,0.81176,0.89453
