breaths ann1 [signal sample no], breaths ann2 [signal sample no]
293,314
746,747
1198,1195
1646,1612
2085,2092
2511,2509
2880,2889
3315,3332
3783,3768
4222,4243
4670,4676
5074,5067
5474,5462
5891,5916
6339,6354
6748,6750
7152,7151
7611,7640
8041,8030
8415,8426
8850,8827
9285,9276
9689,9703
10124,10099
10567,10563
10976,10970
11400,11400
11857,11838
12274,12234
12691,12704
13196,13173
13491,13490
13874,13881
14296,14345
14726,14751
15163,15145
15554,15541
16007,16005
16420,16412
16824,16802
17207,17193
17576,17588
17985,17968
18385,18364
19148,18753
19522,19148
19922,19518
20326,19924
20739,20320
21157,20732
21539,21133
21957,21534
22413,21940
22824,22410
23237,22819
23685,23215
24098,23690
24559,24080
24980,24571
25437,24972
25828,25368
26246,25848
26652,26239
27113,26638
27509,27102
27891,27509
28339,27910
28700,28305
29122,28712
29604,29139
30002,29593
30433,30008
30820,30409
31237,30789
31685,31206
32076,31686
32580,32092
32998,32578
33420,32984
33813,33380
34265,33784
34635,34275
35074,34655
35457,35067
35865,35462
36309,35858
36730,36265
37161,36739
37646,37151
38089,37635
38524,38120
38920,38505
39233,38912
39693,39265
40115,39693
40572,40099
40980,40574
41378,40980
41843,41369
42230,41838
42635,42239
43057,42625
43457,43031
43891,43432
44287,43918
44817,44292
45241,44799
45663,45251
46050,45662
46472,46063
46902,46475
47324,46913
47724,47346
48098,47726
48502,48121
48900,48522
49335,48911
49687,49312
50087,49692
50522,50082
50922,50526
51426,50937
51891,51428
52330,51882
52793,52336
53233,52814
53698,53215
54163,53701
54585,54181
55028,54582
55476,55041
55876,55474
56278,55875
56691,56268
57143,56664
57609,57150
58048,57635
58509,58047
58952,58532
59422,58939
59887,59419
NaN,59920
