Time [s], RESP, II, V, AVR, PLETH
0,0.2839,0.1999,0.59531,0.54985,1.306
0.008,0.27339,0.26002,0.58016,0.53519,1.2903
0.016,0.26313,0.31476,0.54008,0.5,1.2747
0.024,0.25214,0.32991,0.5,0.47019,1.259
0.032,0.24139,0.3651,0.45992,0.45992,1.2444
0.04,0.23137,0.35973,0.45503,0.47996,1.2317
0.048,0.2216,0.34995,0.45992,0.52004,1.2209
0.056,0.21256,0.3001,0.45503,0.56012,1.2141
0.064,0.20352,0.26002,0.47996,0.58016,1.2111
0.072,0.19546,0.24976,0.47996,0.55523,1.2141
0.08,0.18739,0.28495,0.49511,0.49022,1.2248
0.088,0.18006,0.30987,0.51515,0.46481,1.2434
0.096,0.17273,0.32502,0.52493,0.43988,1.2747
0.104,0.16687,0.35484,0.47507,0.41007,1.3196
0.112,0.16125,0.37977,0.45015,0.38514,1.3793
0.12,0.15661,0.38514,0.42473,0.37488,1.4526
0.128,0.15221,0.37977,0.41496,0.39003,1.5367
0.136,0.14903,0.37977,0.40469,0.41007,1.6276
0.144,0.1461,0.37977,0.3998,0.41007,1.7214
0.152,0.14439,0.38514,0.39492,0.41496,1.8162
0.16,0.14293,0.41496,0.39492,0.41496,1.9091
0.168,0.14366,0.3998,0.38514,0.43988,1.9971
0.176,0.14439,0.37488,0.41496,0.48485,2.0704
0.184,0.14684,0.30499,0.52004,0.51515,2.132
0.192,0.14928,0.28006,0.66031,0.45992,2.1965
0.2,0.15197,0.57527,0.76002,0.20968,2.2581
0.208,0.1549,0.68524,0.27468,0.064516,2.3167
0.216,0.15783,0.60508,-0.50049,0.26002,2.3695
0.224,0.16076,0.69013,-0.50049,0.54497,2.4184
0.232,0.16394,0.46481,-0.46579,0.69501,2.4614
0.24,0.16711,0.35973,0.19501,0.71017,2.4985
0.248,0.17005,0.38514,0.54497,0.6002,2.5298
0.256,0.17322,0.42473,0.62023,0.52981,2.5543
0.264,0.17567,0.435,0.62512,0.50978,2.5718
0.272,0.17835,0.38514,0.60508,0.53519,2.5797
0.28,0.18031,0.36999,0.59531,0.52493,2.5787
0.288,0.18251,0.37977,0.58016,0.50489,2.5728
0.296,0.18275,0.37977,0.58016,0.49511,2.5591
0.304,0.183,0.37977,0.58504,0.49022,2.5386
0.312,0.18153,0.37977,0.58504,0.47996,2.5103
0.32,0.18031,0.39003,0.58993,0.45992,2.5523
0.328,0.17738,0.39492,0.58993,0.45503,2.6246
0.336,0.17469,0.39003,0.56989,0.435,2.6285
0.344,0.17054,0.42473,0.58016,0.37488,2.5963
0.352,0.16663,0.47019,0.565,0.3001,2.5484
0.36,0.16223,0.5,0.54497,0.25464,2.4936
0.368,0.15807,0.54008,0.50978,0.22483,2.4379
0.376,0.15343,0.58016,0.47996,0.21457,2.3891
0.384,0.14879,0.60997,0.45503,0.20968,2.3441
0.392,0.14342,0.64516,0.45503,0.21994,2.2991
0.4,0.13828,0.68035,0.44477,0.21994,2.2551
0.408,0.13267,0.70039,0.42473,0.22483,2.2121
0.416,0.12729,0.71017,0.41984,0.23998,2.1691
0.424,0.1224,0.72532,0.43011,0.25464,2.1261
0.432,0.11776,0.71994,0.45015,0.28006,2.0821
0.44,0.11336,0.71505,0.47507,0.29472,2.0381
0.448,0.10897,0.71017,0.47996,0.29472,1.9922
0.456,0.10408,0.70039,0.46481,0.28495,1.9472
0.464,0.099438,0.6652,0.45503,0.27468,1.9042
0.472,0.094063,0.6002,0.45503,0.30987,1.868
0.48,0.088932,0.53519,0.45015,0.3348,1.8358
0.488,0.082824,0.49022,0.47019,0.30499,1.8006
0.496,0.076961,0.44477,0.47996,0.27468,1.7644
0.504,0.070364,0.42473,0.47507,0.27468,1.7273
0.512,0.064012,0.39492,0.45503,0.28495,1.6901
0.52,0.058637,0.34506,0.435,0.31476,1.651
0.528,0.053262,0.30987,0.42473,0.34506,1.6109
0.536,0.04862,0.28006,0.41984,0.37488,1.5709
0.544,0.043978,0.26002,0.43011,0.39003,1.5318
0.552,0.038847,0.24976,0.41496,0.40469,1.4936
0.56,0.033716,0.23998,0.40469,0.41496,1.4565
0.568,0.028097,0.22972,0.41984,0.435,1.4223
0.576,0.022477,0.22483,0.43011,0.45503,1.3969
0.584,0.017835,0.22483,0.42473,0.45015,1.3754
0.592,0.013193,0.22483,0.43011,0.45015,1.3509
0.6,0.0095285,0.22483,0.435,0.45503,1.3245
