Time [s], PLETH, RESP, II, V, AVR
0,1.1848,0.8903,0.13978,0.84473,0.81006
0.008,1.1642,0.89543,0.11975,0.85986,0.83008
0.016,1.1466,0.90081,0.094819,0.89014,0.85986
0.024,1.1349,0.9052,0.17498,0.86475,0.81006
0.032,1.1339,0.9096,0.49511,0.68018,0.5752
0.04,1.1515,0.91302,1.0806,0.3252,0.10986
0.048,1.1828,0.91669,1.3206,0.12012,-0.064941
0.056,1.2336,0.91962,0.56989,0.26514,0.38525
0.064,1.3157,0.9228,-0.030303,0.50488,0.7998
0.072,1.4262,0.92524,-0.10557,0.6748,0.90967
0.08,1.563,0.92793,-0.020528,0.79492,0.9248
0.088,1.7185,0.93012,0.0043988,0.88477,0.92969
0.096,1.8856,0.93232,0.029814,0.90479,0.90479
0.104,2.0538,0.93428,0.039589,0.91504,0.90479
0.112,2.217,0.93623,0.049853,0.91504,0.89502
0.12,2.3666,0.93794,0.054741,0.91504,0.89014
0.128,2.4956,0.93965,0.054741,0.91504,0.88477
0.136,2.6022,0.94112,0.059629,0.91504,0.88477
0.144,2.6833,0.94283,0.069892,0.91504,0.88477
0.152,2.7341,0.94478,0.069892,0.90967,0.87988
0.16,2.7605,0.94674,0.07478,0.91504,0.875
0.168,2.7732,0.94894,0.079668,0.91504,0.87012
0.176,2.7683,0.95114,0.094819,0.91504,0.86475
0.184,2.7468,0.95309,0.099707,0.91504,0.85986
0.192,2.7097,0.95529,0.10459,0.91504,0.85986
0.2,2.6579,0.957,0.11486,0.91504,0.85498
0.208,2.5924,0.95871,0.11486,0.91992,0.85986
0.216,2.5142,0.95969,0.11486,0.92969,0.85986
0.224,2.4252,0.96091,0.10948,0.93994,0.85986
0.232,2.3265,0.9614,0.10459,0.94482,0.85986
0.24,2.2209,0.96189,0.099707,0.95996,0.875
0.248,2.1241,0.96237,0.094819,0.96484,0.875
0.256,2.0323,0.96286,0.094819,0.9751,0.88477
0.264,1.9306,0.9636,0.10948,0.9751,0.875
0.272,1.827,0.96433,0.11486,0.96973,0.87012
0.28,1.7273,0.96506,0.14467,0.95996,0.8501
0.288,1.6344,0.9658,0.17986,0.93994,0.81982
0.296,1.5513,0.96653,0.23998,0.90967,0.7749
0.304,1.48,0.96726,0.29472,0.87988,0.73486
0.312,1.4213,0.96751,0.32502,0.84473,0.71484
0.32,1.3744,0.96799,0.32991,0.81982,0.7002
0.328,1.3402,0.96775,0.30987,0.81006,0.70996
0.336,1.3167,0.96775,0.30987,0.79492,0.70996
0.344,1.303,0.96726,0.29472,0.79492,0.71484
0.352,1.2991,0.96677,0.28006,0.79004,0.71973
0.36,1.3021,0.9658,0.26979,0.79492,0.7251
0.368,1.3079,0.96506,0.26979,0.79004,0.72998
0.376,1.3167,0.96311,0.28006,0.79004,0.7251
0.384,1.3265,0.96115,0.28006,0.79004,0.72998
0.392,1.3372,0.95822,0.3001,0.78516,0.71973
0.4,1.347,0.95553,0.3001,0.78516,0.71973
0.408,1.3558,0.95285,0.31965,0.77979,0.7002
0.416,1.3627,0.95016,0.34506,0.79004,0.68018
0.424,1.3734,0.94747,0.37977,0.78516,0.64502
0.432,1.3842,0.94503,0.3998,0.78516,0.625
0.44,1.39,0.94112,0.40469,0.78516,0.625
0.448,1.3939,0.93745,0.39492,0.79004,0.62988
0.456,1.3959,0.93257,0.37488,0.78516,0.64502
0.464,1.393,0.92768,0.34995,0.78516,0.66504
0.472,1.3871,0.92231,0.30987,0.79492,0.69482
0.48,1.3783,0.91718,0.26491,0.81494,0.7251
0.488,1.3675,0.91156,0.23998,0.81494,0.74512
0.496,1.3539,0.90618,0.22483,0.81006,0.75488
0.504,1.3392,0.90056,0.20968,0.81494,0.75977
0.512,1.3226,0.89494,0.20479,0.81982,0.76514
0.52,1.305,0.88908,0.19501,0.81982,0.77002
0.528,1.2864,0.88322,0.1999,0.81494,0.7749
0.536,1.2708,0.87735,0.18475,0.82471,0.78516
0.544,1.263,0.87149,0.13978,0.85986,0.81982
0.552,1.2649,0.86562,0.17498,0.87012,0.83008
0.56,1.2776,0.85976,0.36999,0.79492,0.68018
0.568,1.3109,0.8539,0.8651,0.5752,0.29004
0.576,1.3705,0.84803,1.501,0.19531,-0.20459
0.584,1.4624,0.84168,1.2253,0.10986,-0.054688
0.592,1.5865,0.83557,0.49022,0.29004,0.43018
0.6,1.74,0.82775,0.099707,0.5,0.73486
0.608,1.9169,0.82018,0.044477,0.68018,0.84473
0.616,2.1085,0.81114,0.01955,0.81982,0.8999
0.624,2.305,0.8021,-0.00048876,0.89014,0.92969
0.632,2.4976,0.79208,-0.0053763,0.90967,0.92969
0.64,2.6774,0.78207,-0.00048876,0.91504,0.92969
0.648,2.8182,0.77132,-0.0053763,0.91992,0.92969
0.656,2.9286,0.76057,-0.00048876,0.9248,0.92969
0.664,3.0313,0.75031,-0.0053763,0.93506,0.92969
0.672,3.1163,0.74004,-0.010264,0.92969,0.92969
0.68,3.1789,0.72978,-0.010264,0.93506,0.92969
0.688,3.217,0.71977,-0.020528,0.93994,0.92969
0.696,3.2336,0.70853,-0.025415,0.93994,0.92969
0.704,3.2297,0.69753,-0.010264,0.93994,0.9248
0.712,3.2072,0.68556,-0.015152,0.93994,0.92969
0.72,3.1681,0.67359,-0.020528,0.94971,0.92969
0.728,3.1153,0.66235,-0.025415,0.94971,0.92969
0.736,3.0508,0.65111,-0.025415,0.95996,0.93506
0.744,2.9814,0.64036,-0.030303,0.95996,0.93994
0.752,2.9062,0.62961,-0.045455,0.9751,0.94971
0.76,2.8182,0.61788,-0.060606,0.98486,0.95508
0.768,2.7185,0.60616,-0.060606,1,0.96484
0.776,2.61,0.59345,-0.080645,1.0098,0.9751
0.784,2.4956,0.58099,-0.1002,1.0298,0.99512
0.792,2.3793,0.56829,-0.10557,1.0298,1
0.8,2.263,0.55558,-0.070381,1.0298,0.98486
0.808,2.1496,0.54288,-0.065494,1.02,0.9751
0.816,2.042,0.53042,-0.025415,1.0049,0.94971
0.824,1.9433,0.51893,0.029814,0.97998,0.90967
0.832,1.8543,0.50745,0.099707,0.94482,0.85498
0.84,1.7781,0.49646,0.15982,0.90967,0.81494
0.848,1.7204,0.48571,0.18475,0.88477,0.79004
0.856,1.6755,0.4752,0.18964,0.86475,0.78516
0.864,1.6373,0.4647,0.17498,0.85498,0.77979
0.872,1.607,0.45419,0.16471,0.84473,0.78516
0.88,1.5865,0.44393,0.15494,0.84473,0.79004
0.888,1.5748,0.43464,0.14956,0.84473,0.79004
0.896,1.5689,0.42536,0.15982,0.83984,0.79004
0.904,1.5689,0.41681,0.15494,0.83984,0.79004
0.912,1.5728,0.4085,0.16471,0.83496,0.78516
0.92,1.5777,0.40044,0.17498,0.83496,0.7749
0.928,1.5826,0.39238,0.18475,0.83008,0.77002
0.936,1.5855,0.38431,0.17986,0.83496,0.7749
0.944,1.5875,0.37625,0.20968,0.83984,0.75977
0.952,1.5885,0.36819,0.23998,0.83496,0.7251
0.96,1.5865,0.36037,0.25464,0.83496,0.70508
0.968,1.5816,0.3528,0.27468,0.83496,0.7002
0.976,1.5738,0.34522,0.26002,0.83496,0.70996
0.984,1.563,0.33912,0.24976,0.83496,0.71973
0.992,1.5494,0.33325,0.21994,0.83008,0.73975
1,1.5327,0.32837,0.1999,0.83984,0.75977
1.008,1.5142,0.32348,0.18475,0.84473,0.77979
1.016,1.4927,0.31859,0.15494,0.84473,0.7998
1.024,1.4702,0.31395,0.12952,0.84473,0.81494
1.032,1.4457,0.30906,0.11486,0.84473,0.81982
1.04,1.4194,0.30442,0.11975,0.84473,0.81982
1.048,1.3969,0.30002,0.10459,0.84473,0.83008
1.056,1.3773,0.29587,0.11486,0.84473,0.81982
1.064,1.3568,0.29196,0.094819,0.8501,0.83008
1.072,1.3402,0.28805,0.07478,0.875,0.85986
1.08,1.3343,0.2839,0.069892,0.89502,0.875
1.088,1.347,0.27975,0.26979,0.83984,0.73975
1.096,1.3842,0.27535,0.76002,0.64502,0.34521
1.104,1.4516,0.27119,1.4409,0.26025,-0.19971
1.112,1.5513,0.26606,1.4555,0.11523,-0.22998
1.12,1.6813,0.26118,0.54008,0.22998,0.35498
1.128,1.8368,0.2558,0.1349,0.45508,0.68994
1.136,2.0127,0.25043,0.059629,0.65479,0.83008
1.144,2.173,0.2453,-0.010264,0.81982,0.91992
1.152,2.3226,0.24041,-0.045455,0.8999,0.95996
1.16,2.4868,0.23552,-0.045455,0.91992,0.96484
1.168,2.6491,0.23064,-0.050342,0.92969,0.96484
1.176,2.7967,0.22551,-0.045455,0.93506,0.96973
1.184,2.9238,0.22038,-0.040567,0.93506,0.95508
1.192,3.0264,0.215,-0.050342,0.93994,0.95996
1.2,3.1026,0.20963,-0.045455,0.94482,0.95508
1.208,3.1535,0.2045,-0.035191,0.94482,0.95508
1.216,3.1808,0.19961,-0.030303,0.94482,0.94971
1.224,3.1877,0.19497,-0.045455,0.95508,0.95508
1.232,3.176,0.19032,-0.035191,0.95996,0.94971
1.24,3.1476,0.18544,-0.025415,0.94971,0.94482
1.248,3.1085,0.1808,-0.030303,0.95508,0.94971
1.256,3.0596,0.17567,-0.035191,0.95996,0.94971
1.264,2.999,0.17078,-0.040567,0.96973,0.95508
1.272,2.9267,0.16565,-0.045455,0.98486,0.95996
1.28,2.8446,0.16052,-0.045455,0.98486,0.95508
1.288,2.7527,0.15563,-0.05523,1.0049,0.96973
1.296,2.652,0.15075,-0.060606,1.0098,0.9751
1.304,2.5435,0.14684,-0.070381,1.0249,0.98975
1.312,2.4291,0.14293,-0.070381,1.0298,0.99512
1.32,2.3109,0.13975,-0.085533,1.04,1
1.328,2.1906,0.13657,-0.060606,1.0298,0.98975
1.336,2.0723,0.13291,-0.045455,1.0298,0.97998
1.344,1.9707,0.12949,-0.025415,1.0098,0.95996
1.352,1.8807,0.12582,0.034702,0.97998,0.91992
1.36,1.7889,0.1224,0.089932,0.94971,0.875
1.368,1.7019,0.11996,0.14956,0.90967,0.82471
1.376,1.6237,0.11752,0.16471,0.89014,0.79492
1.384,1.5572,0.11605,0.1696,0.87012,0.78516
1.392,1.5034,0.11483,0.16471,0.8501,0.7749
1.4,1.4614,0.11336,0.17986,0.84473,0.77002
1.408,1.4311,0.1119,0.16471,0.83984,0.77979
1.416,1.4115,0.11019,0.14956,0.83984,0.77979
1.424,1.4008,0.10848,0.16471,0.83496,0.77002
1.432,1.3978,0.10652,0.16471,0.83496,0.7749
1.44,1.4008,0.10457,0.15982,0.83984,0.77979
1.448,1.4076,0.10261,0.17498,0.83496,0.7749
1.456,1.4154,0.1009,0.18475,0.83008,0.77002
1.464,1.4233,0.099438,0.17498,0.83496,0.7749
1.472,1.4301,0.097972,0.19501,0.83984,0.75488
1.48,1.435,0.096751,0.22972,0.84473,0.7251
1.488,1.436,0.095773,0.2346,0.84473,0.71973
1.496,1.434,0.094307,0.24487,0.84473,0.71973
