breaths ann1 [signal sample no], breaths ann2 [signal sample no]
124,129
511,520
941,931
1315,1322
1928,1913
2220,2562
2554,3185
3167,3570
3567,3953
3961,4323
4335,4697
4696,5056
5070,5452
5435,5842
5852,6233
6235,6644
6626,7046
7043,7478
7465,7898
7902,8210
8220,8616
8615,8975
8967,9397
9393,9782
9772,10141
10167,10558
10554,10917
10924,11358
11348,11733
11739,12144
12139,12519
12526,12957
12957,13327
13339,13754
13757,14203
14209,14572
14596,14978
14991,15441
15441,15858
15867,16264
16276,16697
16689,17135
17141,17599
17593,17995
17998,18391
18393,19191
19209,19534
19530,19961
19974,20357
20343,20747
20743,21164
21165,21571
21570,22014
22013,22457
22439,22856
22872,23310
23307,23743
23750,24191
24189,24566
24567,24983
24989,25421
25433,25806
25807,26186
26180,26627
26626,26986
26974,27356
27357,27725
27730,28163
28161,28532
28543,28928
28922,29340
29343,29699
29717,30113
30098,30551
30528,30958
30976,31385
31367,31839
31837,32235
32246,32668
32663,33121
33111,33575
33559,33937
33930,34312
34304,34755
34752,35156
35139,35552
35539,35927
35913,36333
36322,36729
36696,37098
37130,37524
37524,37914
37920,38352
38328,38727
38728,39181
39180,39608
39615,39983
39998,40437
40450,40949
40937,41342
41330,41780
41787,42055
42070,42535
42539,43031
43022,43495
43483,43870
43874,44366
44370,44830
44822,45235
45241,45673
45702,46132
46141,46596
46615,47040
47028,47483
47459,47847
47833,48274
48276,48670
48667,49064
49074,49523
49548,49956
49930,50346
50343,50795
50791,51259
51265,51718
51717,52104
52104,52513
52520,52898
52902,53379
53376,53811
53811,54197
54189,54656
54646,55109
55120,55569
55554,55943
55963,56369
56357,56770
56791,57181
57165,57582
57626,58026
58004,58400
58409,58775
58761,59208
59191,59577
59578,NaN
