breaths ann1 [signal sample no], breaths ann2 [signal sample no]
89,66
602,615
1085,1079
1576,1554
2115,2108
2602,2604
3046,3016
3385,3406
3724,3739
4148,4159
4609,4629
5022,5019
5574,5542
6070,6043
6552,6560
7022,7035
7533,7540
8093,8104
8602,8600
9098,9086
9485,9492
9872,9883
10328,10342
10780,10764
11189,11175
12617,11453
13170,11722
13670,11954
14174,12619
14630,13158
15107,13691
15589,14160
16059,14635
16480,15108
16967,15588
17393,16047
17920,16485
18354,16945
18559,17377
18804,17931
19087,18369
19422,18832
19574,19080
20083,19433
20722,20077
21178,20710
21422,21191
22004,22030
22487,22484
22924,22935
23337,23336
23802,23796
24267,24270
24720,24703
25211,25183
25520,25547
26080,26107
26552,26532
26996,27002
27461,27451
27870,27867
28335,28279
28578,28596
29274,29023
29665,29635
30667,30620
31120,31127
31580,31602
32128,32129
32698,32694
33159,33121
33913,33369
34417,33932
34961,34423
35470,34956
35891,35441
36848,35911
37754,36412
38180,36850
38680,37246
39289,37724
39850,38162
40359,38658
40854,38949
41500,39281
41961,39867
42461,40368
42874,40880
43357,41175
43861,41527
44500,41981
44948,42472
45407,42878
45854,43363
46480,43859
46733,44509
46976,44952
47363,45420
47780,45847
48207,46280
48715,46512
49348,46728
49813,46982
50252,47367
50609,47805
51074,48201
51513,48707
51730,49338
51970,49782
52487,50235
53011,50600
53467,51085
53972,51513
54446,51729
55020,51987
55550,52489
56015,53009
56500,53600
56909,53975
57309,54455
57626,55009
57852,55511
58422,56038
58900,56495
59435,57002
59952,57303
NaN,57625
NaN,57862
NaN,58416
NaN,58902
NaN,59440
NaN,59957
