Time [s], PLETH, RESP, II, V, AVR
0,0.565,1,0.070312,0.79608,0.78039
0.008,0.56891,1,0.070312,0.83137,0.78039
0.016,0.57185,1,0.060547,0.78627,0.7902
0.024,0.5738,1,0.035156,0.82549,0.80588
0.032,0.5738,1,0.015625,0.7902,0.80588
0.04,0.5738,1,0,0.82549,0.82549
0.048,0.5738,1,0,0.7902,0.82549
0.056,0.57185,1,-0.0039062,0.83137,0.82549
0.064,0.56891,1,-0.0039062,0.79608,0.83137
0.072,0.56696,1,0,0.83137,0.82549
0.08,0.56403,1,0,0.79608,0.82549
0.088,0.56109,1,0.0058594,0.83529,0.82549
0.096,0.55816,1,0.0058594,0.80588,0.82549
0.104,0.55523,1,0.0058594,0.85098,0.82549
0.112,0.5523,1,0.015625,0.81176,0.82157
0.12,0.54936,1,0.015625,0.84118,0.82157
0.128,0.54643,1,0.044922,0.8451,0.8
0.136,0.54154,1,0.17578,0.82549,0.72549
0.144,0.53568,1,0.43555,0.76667,0.57451
0.152,0.52981,1,0.86914,0.70588,0.33529
0.16,0.52297,1,1.0996,0.6,0.2098
0.168,0.51515,1,0.86914,0.56471,0.35882
0.176,0.50635,1,0.2207,0.6902,0.73137
0.184,0.49853,1,-0.24023,0.8,0.97647
0.192,0.49169,1,-0.25,0.83137,0.94706
0.2,0.48583,1,-0.10352,0.8,0.88627
0.208,0.47898,1,-0.035156,0.84118,0.84118
0.216,0.4741,1,-0.0097656,0.81176,0.83137
0.224,0.47214,1,0,0.85098,0.82549
0.232,0.47116,1,0.0058594,0.82549,0.81176
0.24,0.47019,0.99511,0.015625,0.86667,0.81176
0.248,0.47019,0.98925,0.015625,0.84118,0.80588
0.256,0.47019,0.9824,0.025391,0.87647,0.81569
0.264,0.47019,0.97654,0.03125,0.84118,0.80588
0.272,0.46823,0.97067,0.041016,0.88039,0.80588
0.28,0.46628,0.96481,0.041016,0.84118,0.80588
0.288,0.46334,0.95992,0.041016,0.87647,0.8
0.296,0.46041,0.95406,0.050781,0.83137,0.7902
0.304,0.4565,0.94819,0.060547,0.86667,0.78627
0.312,0.45259,0.94233,0.064453,0.82549,0.78039
0.32,0.44966,0.93548,0.076172,0.86078,0.77647
0.328,0.44673,0.92962,0.085938,0.82549,0.76667
0.336,0.44477,0.92278,0.095703,0.85098,0.77059
0.344,0.44282,0.91691,0.10547,0.85686,0.7549
0.352,0.44086,0.91202,0.11133,0.82157,0.7549
0.36,0.43891,0.90616,0.125,0.8451,0.75098
0.368,0.43793,0.89932,0.13086,0.8,0.7451
0.376,0.43695,0.89345,0.14062,0.83529,0.73529
0.384,0.435,0.88661,0.14453,0.79608,0.73137
0.392,0.43304,0.87977,0.14453,0.83137,0.73529
0.4,0.43011,0.87195,0.14453,0.80588,0.73137
0.408,0.42717,0.86413,0.14062,0.8451,0.73137
0.416,0.42522,0.8563,0.125,0.81569,0.73529
0.424,0.42326,0.84751,0.10547,0.85686,0.7549
0.432,0.42424,0.83969,0.085938,0.83137,0.76078
0.44,0.42522,0.83187,0.060547,0.88039,0.78039
0.448,0.4262,0.82405,0.035156,0.85686,0.8
0.456,0.42717,0.81623,0.015625,0.90196,0.81176
0.464,0.42717,0.80743,-0.0039062,0.88039,0.82549
0.472,0.4262,0.79863,-0.025391,0.92157,0.82549
0.48,0.42522,0.78886,-0.039062,0.8902,0.83529
0.488,0.42326,0.77908,-0.044922,0.94118,0.85098
0.496,0.42033,0.77028,-0.048828,0.90196,0.85098
0.504,0.41838,0.76051,-0.039062,0.94118,0.85098
0.512,0.41544,0.75269,-0.044922,0.90196,0.85686
