breaths ann1 [signal sample no], breaths ann2 [signal sample no]
311,319
767,784
1246,1264
1741,1755
2228,2251
2689,2689
3146,3174
3641,3665
4122,4127
4583,4586
5039,5051
5513,5526
5987,6001
6443,6465
6917,6919
7378,7394
7850,7888
8328,8342
8811,8817
9220,9234
9763,9761
10267,10284
10798,10801
11317,11311
11765,11780
12287,12297
12817,12825
13291,13311
13813,13796
14317,14334
14813,14830
15293,15303
15789,15805
16276,16290
16802,16818
17280,17282
17741,17773
18207,18201
18654,18681
19135,19138
19622,19634
20100,20135
20778,20811
21309,21333
21843,21850
22348,22362
22815,22830
23315,23326
23824,23843
24346,24360
24798,24814
25250,25289
25750,25764
26278,26268
26774,26780
27270,27271
27726,27725
28213,28226
28700,28712
29170,29197
29674,29688
30198,30187
30702,30710
31167,31195
31633,31644
32150,32150
32633,32641
33089,33079
33667,33665
34152,34154
34700,34697
35209,35199
35717,35726
36239,36254
36717,36734
37222,37230
37689,37703
38185,38204
38667,38679
39154,39165
39624,39624
40076,40099
40341,40326
40576,40590
40959,40959
41400,41422
41883,41907
42365,42398
42887,42899
43426,43416
43891,43896
44426,44408
44900,44894
45324,45293
45998,46000
46372,46375
46841,46834
47311,47319
47815,47789
48402,48354
48952,48974
49509,49497
50039,50009
50548,50552
51083,51096
51657,51660
52161,52177
52754,52756
53224,53241
53720,53727
54193,54181
54650,54645
55128,55099
55589,55595
56098,56102
56496,56501
57035,57023
57548,57556
58087,58089
58613,58617
59091,59108
59552,59556
