Time [s], RESP, PLETH, II, V, AVR
0,0.52039,0.22581,0.56078,0.74414,0.43945
0.008,0.52039,0.22385,0.56471,0.75,0.43945
0.016,0.51845,0.2219,0.57451,0.75,0.43555
0.024,0.51845,0.22092,0.57059,0.74414,0.42969
0.032,0.5165,0.21994,0.57451,0.74414,0.42969
0.04,0.5165,0.21799,0.57451,0.74414,0.41992
0.048,0.51456,0.21701,0.58039,0.74414,0.41992
0.056,0.51456,0.21603,0.58431,0.74023,0.41602
0.064,0.51262,0.21505,0.57451,0.74414,0.41992
0.072,0.51262,0.2131,0.56471,0.74414,0.42969
0.08,0.51068,0.2131,0.56471,0.74414,0.43555
0.088,0.51068,0.2219,0.56471,0.75,0.43555
0.096,0.50874,0.23851,0.56078,0.74414,0.42969
0.104,0.50874,0.25024,0.56471,0.74414,0.43555
0.112,0.5068,0.26295,0.57059,0.74414,0.43555
0.12,0.5068,0.27957,0.56078,0.74414,0.43945
0.128,0.50485,0.30108,0.5549,0.74414,0.43945
0.136,0.50485,0.32845,0.56078,0.74414,0.43945
0.144,0.50291,0.35484,0.56078,0.74414,0.43945
0.152,0.50097,0.38319,0.56078,0.74414,0.43945
0.16,0.49903,0.41642,0.56078,0.74414,0.43945
0.168,0.49709,0.45357,0.56078,0.74414,0.43945
0.176,0.49515,0.49071,0.56471,0.75,0.43555
0.184,0.4932,0.52688,0.57059,0.75,0.43555
0.192,0.49126,0.56012,0.57451,0.75,0.43555
0.2,0.48738,0.5914,0.56471,0.74414,0.43945
0.208,0.48544,0.61877,0.57451,0.75391,0.42578
0.216,0.4835,0.64223,0.60588,0.75391,0.41016
0.224,0.48155,0.66178,0.64118,0.75391,0.38477
0.232,0.47961,0.6784,0.65098,0.75391,0.375
0.24,0.47767,0.6911,0.64118,0.75391,0.39062
0.248,0.47573,0.6999,0.68039,0.74023,0.36523
0.256,0.47379,0.70479,0.6549,0.73047,0.38086
0.264,0.47184,0.7087,0.64118,0.73047,0.39062
0.272,0.4699,0.71065,0.61961,0.73047,0.40039
0.28,0.46796,0.71163,0.6,0.73047,0.41602
0.288,0.46602,0.70968,0.6,0.73047,0.41992
0.296,0.46214,0.70577,0.58039,0.74023,0.42969
0.304,0.45825,0.6999,0.56078,0.74023,0.43945
0.312,0.45437,0.69208,0.5549,0.74023,0.45508
0.32,0.45243,0.68231,0.55098,0.73438,0.44531
0.328,0.44854,0.67058,0.5549,0.74023,0.43945
0.336,0.44466,0.65689,0.5549,0.74023,0.44531
0.344,0.44078,0.64321,0.5549,0.74023,0.44922
0.352,0.43883,0.62854,0.57059,0.75391,0.42578
0.36,0.43495,0.61095,0.68039,0.83398,0.33008
0.368,0.43107,0.59238,0.77647,0.86914,0.22461
0.376,0.42718,0.57185,0.88039,0.7793,0.15039
0.384,0.42524,0.55034,1.102,0.6543,0.11133
0.392,0.42136,0.52786,1.1176,0.42969,0.33008
0.4,0.41748,0.50733,0.7549,0.22461,0.61914
0.408,0.41553,0.4868,0.5902,0.20117,0.71484
0.416,0.41165,0.46823,0.5549,0.38086,0.65039
0.424,0.40777,0.45259,0.6,0.58398,0.50977
0.432,0.40583,0.43891,0.55098,0.69922,0.46484
0.44,0.40194,0.42815,0.53529,0.75391,0.44531
0.448,0.39806,0.41935,0.5451,0.76953,0.43945
0.456,0.39612,0.41349,0.5451,0.77539,0.43555
0.464,0.39223,0.4086,0.5451,0.7793,0.42969
0.472,0.38835,0.40469,0.55098,0.78516,0.42578
0.48,0.38447,0.40176,0.55098,0.78516,0.41992
0.488,0.38058,0.39883,0.5549,0.78906,0.41602
0.496,0.3767,0.39589,0.56078,0.7793,0.41602
0.504,0.37282,0.39394,0.56471,0.78516,0.41016
0.512,0.36893,0.39101,0.57451,0.78516,0.4043
0.52,0.36505,0.38807,0.58039,0.77539,0.39453
0.528,0.36117,0.38416,0.58431,0.77539,0.39453
0.536,0.35534,0.38123,0.58431,0.77539,0.39453
0.544,0.35146,0.37928,0.58431,0.77539,0.40039
0.552,0.34757,0.37732,0.5902,0.77539,0.40039
0.56,0.34369,0.37439,0.59608,0.77539,0.40039
0.568,0.33786,0.37243,0.6,0.77539,0.40039
0.576,0.33398,0.3695,0.6,0.77539,0.39062
0.584,0.32816,0.36559,0.61569,0.77539,0.39062
0.592,0.32233,0.36266,0.62549,0.76953,0.375
0.6,0.3165,0.35875,0.62941,0.76953,0.375
0.608,0.31068,0.35484,0.6451,0.76953,0.38086
0.616,0.30291,0.34995,0.6549,0.76953,0.36523
0.624,0.29515,0.34506,0.66471,0.76953,0.36523
0.632,0.28738,0.34018,0.68039,0.75977,0.35938
0.64,0.27767,0.33529,0.69608,0.75391,0.35547
0.648,0.26796,0.33138,0.7098,0.75,0.34961
0.656,0.26019,0.32747,0.72157,0.74414,0.3457
0.664,0.25049,0.32356,0.73137,0.73438,0.3457
0.672,0.24078,0.31867,0.73529,0.73047,0.3457
0.68,0.22913,0.31378,0.74118,0.72461,0.3457
0.688,0.21942,0.30987,0.73137,0.72461,0.35547
0.696,0.20777,0.30499,0.72157,0.73047,0.35938
0.704,0.19612,0.3001,0.70588,0.73047,0.36523
0.712,0.18252,0.29619,0.68627,0.73047,0.37109
0.72,0.17087,0.29326,0.66078,0.73438,0.38477
0.728,0.15728,0.29032,0.63529,0.74023,0.39062
0.736,0.14563,0.28739,0.6098,0.75,0.4043
0.744,0.13398,0.28543,0.59608,0.74414,0.41602
0.752,0.12039,0.28446,0.57451,0.75,0.41992
0.76,0.1068,0.2825,0.57059,0.75,0.42969
0.768,0.093204,0.28055,0.56078,0.75,0.43945
0.776,0.079612,0.27859,0.56078,0.74414,0.43945
0.784,0.064078,0.27664,0.56471,0.75,0.43945
0.792,0.048544,0.27468,0.56471,0.74414,0.42969
0.8,0.03301,0.2737,0.57059,0.74414,0.43555
0.808,0.017476,0.27273,0.57059,0.74023,0.42578
0.816,0.0019417,0.27175,0.57059,0.74023,0.41992
0.824,-0.0097087,0.27077,0.57059,0.74023,0.41992
0.832,-0.023301,0.26979,0.57451,0.74023,0.41992
0.84,-0.034951,0.26882,0.57451,0.74023,0.41602
0.848,-0.046602,0.26784,0.57451,0.74023,0.41602
0.856,-0.056311,0.26686,0.57451,0.74414,0.41602
0.864,-0.066019,0.26588,0.57451,0.74023,0.41602
0.872,-0.073786,0.26393,0.56078,0.74414,0.41992
0.88,-0.083495,0.26393,0.5549,0.73438,0.42578
0.888,-0.08932,0.26588,0.56078,0.73438,0.42578
0.896,-0.097087,0.27175,0.5549,0.73438,0.42578
0.904,-0.10097,0.28152,0.55098,0.73047,0.42969
0.912,-0.1068,0.29814,0.55098,0.73047,0.43555
0.92,-0.10874,0.32063,0.55098,0.72461,0.43555
0.928,-0.11262,0.34897,0.5451,0.72461,0.43945
0.936,-0.11262,0.38319,0.55098,0.7207,0.43945
0.944,-0.11456,0.41447,0.55098,0.7207,0.43945
0.952,-0.11262,0.44673,0.55098,0.7207,0.43945
0.96,-0.11262,0.48289,0.55098,0.72461,0.43555
0.968,-0.11068,0.52004,0.55098,0.7207,0.43555
0.976,-0.10874,0.55621,0.55098,0.7207,0.42969
0.984,-0.10485,0.59042,0.5549,0.7207,0.42969
0.992,-0.10291,0.62072,0.5549,0.7207,0.42969
1,-0.099029,0.64712,0.5549,0.7207,0.42969
1.008,-0.095146,0.6696,0.56078,0.7207,0.42578
1.016,-0.091262,0.68817,0.5902,0.72461,0.41016
1.024,-0.087379,0.70381,0.61961,0.73047,0.38086
1.032,-0.083495,0.71554,0.6451,0.73047,0.36523
1.04,-0.079612,0.72336,0.63529,0.73047,0.36523
1.048,-0.07767,0.72825,0.62941,0.73047,0.35547
1.056,-0.073786,0.72923,0.67647,0.70898,0.3457
1.064,-0.071845,0.73021,0.65098,0.70898,0.35938
1.072,-0.069903,0.72923,0.62549,0.71484,0.37109
1.08,-0.067961,0.72825,0.60588,0.70898,0.39062
1.088,-0.066019,0.72434,0.5902,0.70508,0.40039
1.096,-0.066019,0.71945,0.58039,0.70898,0.41016
1.104,-0.064078,0.71261,0.56078,0.70508,0.42578
1.112,-0.066019,0.70479,0.5451,0.70508,0.43945
1.12,-0.066019,0.69501,0.53529,0.69922,0.43945
1.128,-0.067961,0.68328,0.52941,0.69922,0.44531
1.136,-0.069903,0.6696,0.53922,0.70508,0.43945
1.144,-0.071845,0.65591,0.53529,0.70508,0.44531
1.152,-0.071845,0.64223,0.53529,0.70508,0.44531
1.16,-0.073786,0.62463,0.56078,0.73438,0.41992
1.168,-0.075728,0.60508,0.68627,0.81445,0.31055
1.176,-0.07767,0.58358,0.75098,0.83984,0.20508
1.184,-0.081553,0.56109,0.87647,0.7207,0.13086
1.192,-0.083495,0.53763,1.0608,0.58008,0.10547
1.2,-0.087379,0.51417,0.94118,0.33008,0.42969
1.208,-0.08932,0.49169,0.67059,0.16016,0.66406
1.216,-0.091262,0.47019,0.53922,0.20508,0.7207
1.224,-0.095146,0.45161,0.52549,0.39453,0.61914
1.232,-0.097087,0.43597,0.57451,0.58398,0.5
1.24,-0.097087,0.42229,0.52549,0.68555,0.46094
1.248,-0.099029,0.41153,0.51569,0.73047,0.43945
1.256,-0.099029,0.40371,0.52941,0.74414,0.42969
1.264,-0.099029,0.39687,0.52941,0.75,0.42578
1.272,-0.099029,0.39198,0.52941,0.75391,0.41992
1.28,-0.099029,0.3871,0.52941,0.75391,0.41992
1.288,-0.099029,0.38416,0.53529,0.75391,0.41602
1.296,-0.099029,0.38123,0.5451,0.75977,0.41602
1.304,-0.097087,0.37928,0.55098,0.76562,0.41016
1.312,-0.097087,0.37732,0.55098,0.76562,0.41016
1.32,-0.095146,0.37439,0.5451,0.76953,0.41016
