breaths ann1 [signal sample no], breaths ann2 [signal sample no]
67,55
1285,1264
2572,2578
3839,3842
5035,5051
6109,6117
7615,7645
8902,8880
10167,10173
11335,11284
12291,12276
13574,13564
14904,14925
16059,16053
17520,17483
18693,18644
20483,20468
21791,21771
22841,22851
23772,23759
24815,24809
26033,26044
27435,27429
28926,28923
30093,30055
31424,31417
32480,32467
33433,33427
34561,34555
35717,35726
37161,37167
38837,38796
40450,40453
41613,41585
42922,42904
44174,44171
45293,45277
46980,46960
48185,48158
49543,49539
50578,50594
51722,51703
53076,53057
54524,54518
55720,55706
56857,56865
57943,57915
58991,58970
