Time [s], RESP, II, V, AVR, PLETH
0,-0.11262,0.8,0.74118,0.025391,0.65396
0.008,-0.11068,0.8,0.73529,0.015625,0.68231
0.016,-0.1068,0.81569,0.74118,0,0.70479
0.024,-0.10291,0.82157,0.70588,-0.0039062,0.72239
0.032,-0.10097,0.77647,0.68039,0.0097656,0.73412
0.04,-0.097087,0.76667,0.67647,0.0058594,0.74291
0.048,-0.093204,0.79608,0.6902,0,0.74878
0.056,-0.08932,0.77059,0.72157,0.025391,0.75073
0.064,-0.087379,0.72157,0.71569,0.064453,0.74976
0.072,-0.083495,0.67059,0.7098,0.089844,0.74682
0.08,-0.081553,0.6549,0.70588,0.099609,0.74096
0.088,-0.07767,0.66078,0.71569,0.099609,0.73314
0.096,-0.075728,0.6549,0.71569,0.095703,0.72336
0.104,-0.073786,0.66471,0.71569,0.095703,0.71163
0.112,-0.071845,0.67059,0.73137,0.089844,0.69795
0.12,-0.071845,0.66078,0.82549,0.12109,0.68133
0.128,-0.069903,0.82549,0.87647,0.035156,0.66373
0.136,-0.069903,1.2118,0.97647,-0.20508,0.64418
0.144,-0.067961,1.5039,0.95686,-0.49805,0.62268
0.152,-0.067961,1.5039,0.67059,-0.49805,0.60117
0.16,-0.067961,0.73529,0.052941,-0.089844,0.57967
0.168,-0.067961,0.22353,-0.10588,0.24023,0.55816
0.176,-0.067961,0.31961,0.32941,0.25977,0.53763
0.184,-0.067961,0.55098,0.66471,0.15625,0.51808
0.192,-0.069903,0.70588,0.83529,0.085938,0.50244
0.2,-0.069903,0.75098,0.88039,0.064453,0.48876
0.208,-0.071845,0.77647,0.90196,0.054688,0.47507
0.216,-0.071845,0.78627,0.92549,0.044922,0.46237
0.224,-0.071845,0.78627,0.93725,0.044922,0.45064
0.232,-0.071845,0.79608,0.94118,0.044922,0.43891
0.24,-0.071845,0.81176,0.95098,0.035156,0.42913
0.248,-0.071845,0.82157,0.96078,0.025391,0.42033
0.256,-0.069903,0.84118,0.97647,0.015625,0.41251
0.264,-0.069903,0.86078,0.98627,0.0058594,0.40469
0.272,-0.067961,0.88039,1.002,-0.0039062,0.39785
0.28,-0.067961,0.8902,1.0216,-0.0097656,0.39198
0.288,-0.066019,0.91569,1.0471,-0.025391,0.3871
0.296,-0.066019,0.94706,1.051,-0.044922,0.38221
0.304,-0.064078,0.97647,1.0667,-0.054688,0.37928
0.312,-0.064078,1.0118,1.0922,-0.080078,0.37634
0.32,-0.062136,1.0471,1.1216,-0.09375,0.37243
0.328,-0.062136,1.0922,1.151,-0.125,0.3695
0.336,-0.062136,1.1275,1.1824,-0.14453,0.36657
0.344,-0.062136,1.1765,1.2176,-0.17383,0.36364
0.352,-0.062136,1.2471,1.2471,-0.21484,0.36168
0.36,-0.062136,1.2824,1.2824,-0.24023,0.35875
0.368,-0.064078,1.3118,1.302,-0.25977,0.35679
0.376,-0.064078,1.3529,1.3176,-0.28516,0.35386
0.384,-0.066019,1.3882,1.3118,-0.30469,0.35191
0.392,-0.067961,1.3922,1.302,-0.30859,0.34897
0.4,-0.069903,1.3784,1.2627,-0.30469,0.348
0.408,-0.069903,1.3431,1.2216,-0.2793,0.34702
0.416,-0.071845,1.2667,1.1667,-0.23438,0.34506
0.424,-0.071845,1.1863,1.1059,-0.18359,0.34311
0.432,-0.073786,1.0765,1.051,-0.11914,0.34018
0.44,-0.073786,0.98627,1.0059,-0.064453,0.33724
0.448,-0.073786,0.91569,0.96667,-0.019531,0.33529
0.456,-0.073786,0.86078,0.93725,0.015625,0.33236
0.464,-0.073786,0.81569,0.91569,0.041016,0.32942
0.472,-0.075728,0.7902,0.90588,0.060547,0.32649
0.48,-0.075728,0.77647,0.90588,0.070312,0.32356
0.488,-0.075728,0.77059,0.90588,0.080078,0.32063
0.496,-0.075728,0.77059,0.91569,0.076172,0.31672
0.504,-0.073786,0.77647,0.92157,0.080078,0.31378
0.512,-0.073786,0.78627,0.92549,0.076172,0.31183
0.52,-0.071845,0.77647,0.92549,0.085938,0.30792
0.528,-0.071845,0.78039,0.93137,0.080078,0.30401
0.536,-0.071845,0.78039,0.93725,0.085938,0.3001
0.544,-0.071845,0.78627,0.94118,0.085938,0.29521
0.552,-0.071845,0.7902,0.94706,0.085938,0.29032
0.56,-0.071845,0.79608,0.93725,0.076172,0.28641
0.568,-0.071845,0.77647,0.94706,0.089844,0.28348
0.576,-0.071845,0.78039,0.94706,0.089844,0.28446
0.584,-0.071845,0.77647,0.94118,0.089844,0.29032
0.592,-0.071845,0.77059,0.94118,0.089844,0.30401
0.6,-0.071845,0.77647,0.94118,0.095703,0.32747
0.608,-0.069903,0.78039,0.93725,0.089844,0.35386
0.616,-0.069903,0.76667,0.94118,0.099609,0.38514
0.624,-0.067961,0.77647,0.94706,0.095703,0.4262
0.632,-0.064078,0.77647,0.94118,0.095703,0.47312
0.64,-0.062136,0.78627,0.94706,0.089844,0.52199
0.648,-0.060194,0.81176,0.96078,0.080078,0.56891
0.656,-0.058252,0.85098,0.99216,0.060547,0.61193
0.664,-0.056311,0.88627,1.0059,0.044922,0.64907
0.672,-0.054369,0.90196,1.0118,0.03125,0.67937
0.68,-0.052427,0.92157,1.002,0.015625,0.70479
0.688,-0.050485,0.95098,0.99216,-0.0097656,0.72336
0.696,-0.048544,0.92157,0.95098,0,0.73705
0.704,-0.046602,0.90588,0.94118,0,0.74682
0.712,-0.042718,0.92157,0.93725,0,0.75171
0.72,-0.040777,0.92549,0.97059,0.0058594,0.75269
0.728,-0.038835,0.88627,0.98235,0.041016,0.75269
0.736,-0.036893,0.8451,0.97647,0.070312,0.75073
0.744,-0.03301,0.81569,0.97059,0.085938,0.74682
0.752,-0.031068,0.81176,0.97059,0.089844,0.73998
0.76,-0.029126,0.81176,0.96667,0.089844,0.73118
0.768,-0.027184,0.81176,0.97059,0.089844,0.72043
0.776,-0.025243,0.82549,0.97647,0.089844,0.70674
0.784,-0.021359,0.81176,1.0059,0.10547,0.6911
0.792,-0.021359,0.88627,1.1118,0.080078,0.67449
0.8,-0.019417,1.1627,1.1627,-0.089844,0.65494
0.808,-0.017476,1.5039,1.2176,-0.41406,0.63539
0.816,-0.017476,1.5039,1.0725,-0.49805,0.61584
0.824,-0.017476,1.4373,0.60588,-0.37891,0.59824
0.832,-0.017476,0.51569,0.11961,0.11133,0.57869
0.84,-0.017476,0.38431,0.38431,0.22461,0.55914
0.848,-0.017476,0.61961,0.7549,0.16992,0.53959
0.856,-0.017476,0.85686,1.002,0.064453,0.52102
0.864,-0.019417,0.93137,1.0961,0.025391,0.5044
0.872,-0.019417,0.95686,1.1176,0.019531,0.48876
0.88,-0.019417,0.96667,1.1275,0.015625,0.4741
0.888,-0.019417,0.97647,1.1412,0.0058594,0.46139
0.896,-0.019417,0.99216,1.1471,0,0.44966
0.904,-0.019417,1.002,1.151,-0.0097656,0.43891
0.912,-0.019417,1.0157,1.1627,-0.019531,0.42913
0.92,-0.019417,1.0275,1.1627,-0.025391,0.42229
0.928,-0.019417,1.0471,1.1765,-0.029297,0.41544
0.936,-0.019417,1.0569,1.1824,-0.039062,0.4086
0.944,-0.019417,1.0824,1.1863,-0.048828,0.40274
0.952,-0.017476,1.0961,1.1961,-0.064453,0.39296
0.96,-0.017476,1.1176,1.2118,-0.074219,0.38025
0.968,-0.015534,1.1471,1.2216,-0.089844,0.37243
0.976,-0.013592,1.1824,1.2373,-0.10352,0.36657
0.984,-0.01165,1.2118,1.2569,-0.125,0.36168
0.992,-0.007767,1.2529,1.2725,-0.14844,0.35777
1,-0.0058252,1.2922,1.302,-0.17969,0.35484
1.008,-0.0019417,1.3373,1.3275,-0.20508,0.35288
1.016,0.0019417,1.3882,1.3569,-0.23438,0.34995
1.024,0.0058252,1.4373,1.3824,-0.26367,0.348
1.032,0.007767,1.4882,1.398,-0.28906,0.34702
1.04,0.0097087,1.5039,1.4176,-0.30859,0.34604
1.048,0.013592,1.5039,1.4235,-0.33008,0.34506
1.056,0.015534,1.5039,1.4078,-0.33984,0.34311
1.064,0.017476,1.5039,1.3784,-0.33398,0.34213
1.072,0.021359,1.5039,1.3333,-0.32422,0.34018
1.08,0.023301,1.4627,1.2882,-0.28906,0.33822
1.088,0.027184,1.3824,1.2216,-0.24023,0.33724
1.096,0.029126,1.2922,1.1627,-0.18945,0.33529
1.104,0.03301,1.202,1.1059,-0.12891,0.33333
1.112,0.034951,1.1275,1.0608,-0.080078,0.33138
1.12,0.038835,1.0471,1.0216,-0.035156,0.32942
1.128,0.040777,1.002,1.002,-0.0039062,0.32649
1.136,0.042718,0.96667,0.98235,0.015625,0.32454
1.144,0.046602,0.94118,0.97647,0.03125,0.32356
1.152,0.048544,0.92549,0.97059,0.041016,0.3216
1.16,0.052427,0.92157,0.97059,0.044922,0.31867
1.168,0.054369,0.91569,0.96667,0.054688,0.31574
1.176,0.058252,0.91569,0.97059,0.050781,0.31183
1.184,0.062136,0.92157,0.97059,0.050781,0.30792
1.192,0.064078,0.91569,0.96667,0.050781,0.30401
1.2,0.067961,0.91569,0.97059,0.050781,0.29912
1.208,0.069903,0.91176,0.96078,0.054688,0.29423
1.216,0.071845,0.91569,0.95686,0.054688,0.28935
1.224,0.071845,0.90588,0.95098,0.060547,0.28543
1.232,0.073786,0.90588,0.95098,0.060547,0.28446
1.24,0.075728,0.90196,0.95686,0.064453,0.28543
1.248,0.075728,0.89608,0.95098,0.070312,0.29228
1.256,0.07767,0.8902,0.95098,0.070312,0.30499
1.264,0.07767,0.8902,0.94118,0.070312,0.32551
1.272,0.079612,0.88039,0.93725,0.070312,0.35582
1.28,0.081553,0.88627,0.93137,0.070312,0.39394
1.288,0.083495,0.88039,0.93725,0.076172,0.43793
1.296,0.087379,0.88039,0.93137,0.076172,0.48485
1.304,0.091262,0.88039,0.92549,0.076172,0.53177
1.312,0.095146,0.88039,0.92549,0.070312,0.57576
1.32,0.099029,0.89608,0.93137,0.064453,0.61584
