breaths ann1 [signal sample no], breaths ann2 [signal sample no]
293,298
759,763
1089,1106
1472,1485
2102,2087
2724,2715
2950,2958
3363,3348
3737,3734
4130,4133
4517,4523
4913,4914
5352,5346
5765,5763
6239,6238
6696,6697
7152,7156
7559,7566
7828,7840
8224,8210
8733,8716
9063,9054
9559,9540
9876,9877
10346,10331
10780,10727
11167,11149
11861,11327
12291,11865
13926,12282
14352,12593
14678,12952
15093,13173
15372,13385
15698,13923
16046,14366
16385,14688
16702,15119
17041,15383
17511,15694
17928,16053
18376,16391
18843,16718
19252,17055
19717,17525
20078,17942
20487,18396
20965,18848
21383,19254
21739,19734
22161,20088
22528,20484
22893,20958
23280,21391
23676,21766
24033,22151
24450,22529
24941,22893
25398,23268
25820,23669
26270,24049
26691,24466
27122,24956
27583,25400
27939,25822
28387,26263
28809,26696
29239,27118
29674,27577
30159,27947
30667,28385
31128,28823
31572,29245
32024,29677
32454,30161
32902,30668
33337,31121
33728,31586
34083,32024
34443,32472
34848,32921
35291,33332
35700,33734
36161,34101
36683,34454
37187,34845
37650,35294
38085,35726
38520,36180
38954,36681
39428,37183
39863,37661
40337,38094
40776,38511
41211,38980
41665,39418
42122,39872
42548,40342
43017,40769
43461,41207
43922,41670
44391,42123
44817,42551
45211,43026
45611,43453
46033,43918
46428,44382
46863,44815
47263,45208
47746,45620
48180,46026
48715,46449
49187,46865
49626,47293
50091,47752
50513,48237
50913,48707
51365,49191
51848,49623
52348,50098
52859,50515
53380,50927
53872,51386
54341,51861
54776,52367
55220,52861
55693,53373
56133,53869
56583,54344
57026,54777
57435,55220
57870,55679
58330,56133
58839,56585
59304,57018
59765,57451
NaN,57894
NaN,58342
NaN,58838
NaN,59308
NaN,59772
