breaths ann1 [signal sample no], breaths ann2 [signal sample no]
407,409
820,842
1241,1248
1667,1660
2067,2077
2493,2488
2907,2910
3237,3243
3659,3665
3974,3969
4335,4344
4752,4761
5170,5177
5583,5589
5996,6001
6413,6428
6826,6840
7139,7135
7550,7545
7859,7861
8280,8284
8624,8627
9037,9049
9333,9339
9746,9740
10159,10162
10559,10563
10972,10985
11374,11395
11661,11675
12104,12118
12496,12503
12935,12915
13339,13332
13770,13754
14061,14086
14522,14482
14926,14920
15320,15314
15689,15668
15972,15968
16337,16322
16593,16602
17015,17024
17454,17430
17859,17858
18146,18137
18563,18549
18943,18927
19217,19228
19630,19623
20048,20030
20461,20462
20878,20890
21296,21301
21657,21650
22048,22056
22343,22352
22750,22756
23085,23088
23489,23500
23915,23922
24241,24223
24672,24645
24863,25088
25067,25336
25341,25774
25798,26228
26228,26659
26648,26997
26996,27377
27387,27699
27700,28105
28109,28543
28530,28854
28865,29266
29278,29693
29696,30018
30020,30435
30441,30863
30850,31253
31246,31686
31689,32077
32080,32451
32520,32873
32876,33322
33315,33728
33711,34069
34048,34486
34461,34882
34896,35241
35235,35689
35674,36038
36022,36513
36500,36819
36813,37209
37226,37624
37628,37988
37998,38405
38415,38685
38702,38970
38950,39397
39376,39803
39815,40220
40228,40637
40650,41065
41063,41363
41357,41786
41800,42187
42191,42609
42609,43042
43009,43353
43348,43791
43800,44071
44039,44493
44496,44794
44770,45203
45189,45530
45511,45937
45963,46248
46241,46675
46676,46950
46946,47372
47363,47805
47793,48079
48098,48507
48489,48922
48922,49344
49309,49676
49709,50114
50139,50536
50509,50943
50943,51370
51365,51761
51752,52167
52183,52478
52478,52883
52872,53289
53289,53706
53728,54102
54093,54513
54507,54872
54872,55321
55320,55716
55733,56054
56050,56458
56474,56886
56896,57176
57187,57604
57609,57925
57926,58205
58200,58611
58622,58907
58922,59324
59322,59746
59735,NaN
