breaths ann1 [signal sample no], breaths ann2 [signal sample no]
537,546
841,821
1302,1301
1754,1781
2163,2150
2641,2636
3076,3058
3498,3491
4009,3985
4443,4423
4870,4861
5287,5294
5891,5906
6296,6265
6770,6771
7235,7199
7711,7682
8111,8099
8576,8532
9093,9070
9567,9555
10033,10036
10511,10532
10980,10996
11404,11400
11896,11912
12387,12408
12874,12867
13326,13363
13817,13828
14304,14356
14743,14772
15237,15240
15685,15678
16111,16106
16524,16544
16963,16971
17354,17356
17767,17752
18159,18153
18602,18596
19091,19096
19535,19539
20000,19998
20296,20278
20526,20536
21030,21038
21239,21243
21548,21513
22078,22056
22524,22518
22937,22925
23333,23363
23715,23716
24137,24139
24520,24513
24893,24898
25150,25125
25480,25526
25911,25906
26309,26305
26709,26712
27148,27155
27561,27546
27983,28005
28157,28490
28483,28923
28917,29356
29343,29841
29822,30172
30176,30694
30685,31211
31215,31649
31646,32077
32063,32467
32472,32931
32924,33412
33415,33943
33939,34465
34461,35014
35000,35552
35548,35990
35961,36407
36400,36929
36948,37320
37326,37698
37724,38125
38137,38495
38502,38759
38759,39117
39133,39534
39550,39967
39954,40384
40385,40796
40802,41228
41233,41691
41683,42134
42122,42582
42578,42989
43000,43422
43417,43875
43874,44266
44252,44688
44696,45113
45107,45509
45528,45931
45924,46417
46420,46834
46837,47266
47259,47799
47767,48237
48241,48718
48676,49148
49143,49513
49509,49919
49904,50320
50322,50811
50813,51243
51239,51755
51757,52199
52187,52645
52659,53094
53093,53479
53467,53869
53876,54297
54315,54714
54741,55141
55128,55569
55580,55996
56024,56464
56448,56891
56896,57329
57335,57788
57791,58263
58278,58712
58713,59155
59157,59577
59587,59978
59978,NaN
