breaths ann1 [signal sample no], breaths ann2 [signal sample no]
180,182
563,573
928,937
1315,1306
1672,1675
2050,2050
2446,2425
2785,2805
3163,3179
3567,3559
3926,3922
4309,4307
4678,4676
5052,5061
5417,5431
5813,5800
6170,6175
6583,6555
6909,6935
7309,7309
7676,7677
8054,8051
8428,8426
8807,8801
9189,9175
9541,9550
9941,9925
10298,10299
10676,10690
11063,11049
11430,11432
11796,11796
12174,12181
12539,12546
12957,12941
13317,13305
13691,13675
14048,14044
14448,14435
14800,14804
15180,15177
15537,15551
15933,15921
16298,16301
16680,16681
17050,17045
17437,17420
17789,17799
18185,18174
18528,18554
18935,18927
19304,19301
19661,19687
20048,20046
20430,20436
20809,20800
21170,21180
21565,21549
21909,21929
22309,22299
22680,22672
23033,23046
23476,23442
23820,23801
24163,24181
24537,24555
24924,24930
25320,25299
25685,25679
26041,26049
26417,26432
26791,26801
27183,27176
27552,27546
27930,27931
28326,28305
28678,28675
29057,29049
29470,29429
29800,29809
30189,30177
30554,30551
30941,30926
31293,31296
31672,31675
32033,32045
32420,32435
32807,32815
33167,33179
33533,33544
33939,33927
34304,34301
34687,34676
35061,35056
35413,35425
35796,35805
36183,36180
36543,36549
36935,36935
37304,37299
37667,37666
38076,38046
38446,38442
38785,38801
39176,39175
39537,39561
39924,39920
40302,40305
40689,40679
41020,41033
41435,41427
41796,41801
42178,42171
42530,42551
42939,42925
43313,43300
43739,43717
44074,44055
44413,44429
44796,44804
45167,45172
45563,45546
45924,45916
46307,46322
46667,46670
47037,47045
47446,47425
47889,47868
48167,48174
48541,48554
48909,48916
49296,49312
49678,49676
50035,50051
50430,50425
50804,50800
51178,51175
51548,51549
51917,51919
52309,52299
52672,52661
53059,53051
53424,53416
53789,53801
54167,54175
54541,54545
54920,54930
55293,55294
55685,55664
56059,56049
56439,56432
56809,56801
57170,57181
57552,57540
57939,57925
58313,58300
58661,58675
59048,59039
59417,59419
59804,59799
