breaths ann1 [signal sample no], breaths ann2 [signal sample no]
63,71
541,541
1033,1042
1498,1496
1989,1987
2459,2456
2950,2947
3380,3369
3878,3879
4396,4365
4887,4882
5400,5404
5874,5879
6413,6407
6887,6887
7400,7394
7859,7856
8350,8352
8789,8785
9250,9255
9733,9730
10224,10220
10711,10722
11185,11181
11626,11633
12157,12144
12591,12593
13109,13110
13600,13601
14078,14076
14539,14535
15037,15034
15528,15520
15946,15947
16424,16422
16867,16871
17450,17446
17893,17879
18333,18338
18791,18790
19239,19233
19717,19703
20122,20119
20548,20552
21022,21016
21500,21491
21922,21919
22400,22399
22859,22856
23320,23310
23837,23832
24259,24265
24711,24703
25185,25189
25650,25648
26146,26149
26591,26590
27096,27108
27583,27582
28057,28057
28513,28511
29026,29049
29491,29487
29961,29957
30420,30420
30880,30879
31311,31317
31733,31744
32172,32166
32615,32631
33089,33069
33559,33565
34039,34043
34539,34528
34991,34982
35443,35436
35909,35916
36383,36386
36843,36834
37309,37309
37785,37782
38211,38210
38650,38664
39093,39102
39554,39550
40050,40036
40437,40437
40833,40832
41261,41263
41674,41670
42139,42134
42613,42604
43026,43031
43474,43464
43883,43875
44291,44292
44709,44704
45189,45161
45746,45752
46059,46053
46489,46470
46889,46897
47341,47340
47807,47778
48285,48285
48770,48768
49361,49359
49861,49856
50365,50362
50835,50832
51287,51291
51726,51729
52191,52183
52641,52629
53146,53136
53633,53606
54141,54107
54633,54629
55137,55141
55663,55669
56150,56149
56609,56601
57091,57081
57526,57519
58000,58005
58500,58495
58974,58960
59457,59456
59939,59936
