breaths ann1 [signal sample no], breaths ann2 [signal sample no]
185,172
624,620
1076,1090
1541,1538
1967,1976
2463,2478
2872,2873
3293,3317
3746,3734
4196,4217
4639,4660
5048,5056
5465,5468
5891,5895
6339,6328
6787,6776
7204,7214
7641,7645
8063,8062
8511,8516
8915,8922
9354,9350
9772,9782
10189,10189
10628,10621
11041,11044
11461,11474
11900,11902
12309,12303
12765,12762
13170,13179
13583,13585
14017,14013
14422,14445
14857,14867
15341,15340
15785,15789
16250,16253
16702,16712
17098,17103
17559,17562
18046,18063
18498,18496
18991,18974
19417,19418
19870,19882
20270,20278
20670,20695
21109,21111
21522,21518
21943,21961
22326,22330
22746,22745
23167,23168
23641,23637
24050,24065
24480,24492
24920,24914
25324,25321
25733,25748
26185,26186
26604,26601
27022,27018
27439,27461
27922,27920
28400,28395
28796,28817
29283,29271
29687,29709
30141,30140
30576,30578
31002,31021
31433,31443
31837,31844
32307,32303
32737,32747
33141,33164
33585,33591
34061,34064
34517,34518
34952,34961
35409,35415
35848,35837
36304,36312
36778,36776
37174,37172
37637,37635
38080,38067
38476,38479
38889,38922
39333,39344
39789,39782
40237,40241
40667,40669
41059,41075
41487,41480
41922,41944
42387,42403
42839,42857
43265,43274
43748,43717
44157,44155
44561,44577
44978,44973
45385,45383
45785,45773
46207,46216
46633,46644
47037,47045
47472,47483
47920,47926
48324,48322
48724,48734
49148,49133
49574,49571
50022,50024
50474,50489
50913,50927
51387,51412
51861,51856
52261,52257
52707,52687
53133,53109
53541,53553
53976,53980
54441,54455
54937,54941
55380,55379
55780,55774
56172,56191
56583,56569
56983,56997
57400,57419
57822,57830
58291,58305
58748,58749
59200,59208
59643,59651
