breaths ann1 [signal sample no], breaths ann2 [signal sample no]
363,367
885,884
1415,1427
1963,1971
2480,2493
3046,3032
3454,3454
3835,3832
4187,4196
4665,4666
5043,5046
5500,5505
6013,6006
6704,6687
7274,7299
7654,7661
8063,8062
8450,8468
8880,8891
9320,9328
9672,9661
10046,10051
10467,10479
10854,10864
11250,11258
11674,11675
12165,12150
12635,12651
12991,13020
13500,13495
13874,13870
14330,14345
14796,14804
15198,15193
15611,15620
16050,16058
16537,16544
16950,16945
17407,17420
17954,17953
18398,18417
18809,18827
19230,19233
19604,19623
20017,20024
20487,20499
21235,21249
21696,21703
22043,22077
22676,22650
23037,23041
23467,23463
23937,23959
24372,24355
24815,24809
25346,25315
25798,25774
26220,26228
26726,26706
27126,27102
27604,27609
28391,28042
28852,28406
29204,28838
29678,29213
30046,29677
30489,30050
30833,30504
31163,30858
31507,31190
31928,31491
32476,31939
32950,32478
33398,32963
33943,33401
34257,33943
34643,34275
35004,34613
35400,34993
35809,35404
36209,35827
36578,36201
36991,36565
37365,36977
37767,37378
38207,37766
38576,38173
38993,38563
39380,38985
39793,39381
40202,39814
40537,40178
40941,40537
41283,40917
41691,41268
42039,41706
42383,42039
42739,42366
43126,42730
43630,43147
43952,43611
44374,43949
44774,44371
45128,44788
45528,45140
46007,45536
46407,45995
46863,46427
47228,46865
47659,47230
48024,47657
48472,48021
48800,48443
49217,48816
49613,49212
50043,49608
50396,50056
50813,50383
51243,50832
51539,51243
52004,51523
52391,52014
52785,52367
53150,52788
53480,53131
53846,53479
54198,53864
54576,54191
54911,54582
55328,54925
55785,55331
56124,55790
56452,56133
56878,56464
57165,56881
57478,57171
57813,57472
58139,57815
58509,58147
58883,58506
59187,58870
59570,59197
59913,59567
NaN,59920
