breaths ann1 [signal sample no], breaths ann2 [signal sample no]
80,77
567,583
985,984
1389,1385
1789,1781
2250,2251
2689,2710
3150,3158
3507,3507
3935,3932
4317,4328
4704,4708
5113,5119
5539,5536
5983,5980
6357,6349
6770,6771
7204,7188
7602,7619
8007,8009
8459,8463
8867,8869
9233,9223
9641,9645
10002,10030
10411,10431
10854,10864
11270,11268
11726,11728
12074,12086
12452,12445
12804,12820
13226,13226
13639,13648
14100,14092
14457,14445
14874,14857
15250,15256
15646,15631
16076,16090
16533,16533
16937,16950
17324,17330
17728,17731
18189,18190
18650,18654
19096,19101
19452,19465
19848,19850
20261,20262
20704,20695
21104,21101
21526,21528
21978,21961
22348,22346
22759,22751
23172,23168
23633,23627
24015,24022
24415,24439
24824,24830
25263,25268
25689,25685
26076,26102
26465,26464
26878,26875
27257,27229
27661,27683
28078,28100
28543,28559
28996,29007
29404,29419
29787,29794
30180,30198
30524,30525
30950,30963
31363,31369
31707,31707
32080,32066
32411,32425
32833,32831
33263,33269
33702,33702
34117,34106
34548,34555
34965,34982
35409,35404
35852,35837
36257,36265
36674,36660
37052,37035
37417,37431
37867,37867
38241,38236
38693,38701
39080,39075
39450,39466
39902,39909
40267,40268
40702,40690
41115,41091
41509,41506
41900,41907
42348,42366
42761,42772
43139,43163
43583,43580
44022,44018
44404,44419
44843,44846
45233,45256
45646,45646
46050,46047
46433,46443
46837,46839
47263,47261
47654,47662
48085,48079
48493,48491
48826,48827
49204,49212
49609,49613
50000,49998
50409,50399
50800,50790
51183,51191
51591,51597
52013,52019
52322,52309
52663,52666
53059,53083
53467,53489
53859,53869
54254,54265
54680,54672
55089,55094
55507,55500
55959,55959
56357,56390
56748,56759
57170,57187
57696,57662
58078,58089
58430,58432
58848,58849
59235,59224
59622,59630
