Time [s], RESP, PLETH, II, MCL, AVR
0,0.66178,0.30401,0.39412,0.80469,0.58984
0.008,0.66276,0.29912,0.3902,0.80469,0.59961
0.016,0.66471,0.29619,0.39412,0.81055,0.5957
0.024,0.66471,0.29326,0.40392,0.79883,0.58398
0.032,0.66569,0.2913,0.41569,0.80469,0.57422
0.04,0.66667,0.29032,0.4098,0.79492,0.58008
0.048,0.66667,0.29032,0.43529,0.80469,0.56055
0.056,0.66764,0.2913,0.44902,0.81055,0.55078
0.064,0.66862,0.29228,0.48039,0.81445,0.5293
0.072,0.66862,0.29326,0.49412,0.82031,0.51562
0.08,0.6696,0.29619,0.52941,0.82422,0.48438
0.088,0.67058,0.29814,0.56471,0.83008,0.46094
0.096,0.67058,0.30108,0.59608,0.83398,0.43555
0.104,0.67058,0.30303,0.62549,0.83398,0.41602
0.112,0.67058,0.30499,0.65098,0.83008,0.39453
0.12,0.67058,0.30694,0.6549,0.82031,0.39062
0.128,0.67058,0.30792,0.62941,0.79883,0.4043
0.136,0.67058,0.3089,0.60588,0.7793,0.41992
0.144,0.67058,0.3089,0.56471,0.76562,0.46094
0.152,0.6696,0.30987,0.51961,0.75391,0.49023
0.16,0.66862,0.30987,0.46471,0.74023,0.5293
0.168,0.66667,0.30987,0.41569,0.71484,0.56055
0.176,0.66471,0.30987,0.39412,0.70898,0.58398
0.184,0.66276,0.30987,0.37059,0.69922,0.5957
0.192,0.65982,0.30987,0.34902,0.69922,0.61523
0.2,0.65689,0.30987,0.35882,0.70508,0.60938
0.208,0.65396,0.30987,0.33922,0.70508,0.625
0.216,0.65005,0.31085,0.33529,0.69922,0.62891
0.224,0.64614,0.30987,0.3549,0.67969,0.60547
0.232,0.64223,0.3089,0.35882,0.67578,0.60547
0.24,0.63734,0.30694,0.34902,0.66406,0.61914
0.248,0.63343,0.30499,0.3549,0.66406,0.60547
0.256,0.62952,0.30401,0.34902,0.6543,0.60938
0.264,0.62561,0.30205,0.34902,0.6543,0.60547
0.272,0.6217,0.3001,0.35882,0.64062,0.60547
0.28,0.61779,0.29814,0.36471,0.64062,0.59961
0.288,0.6129,0.29521,0.37059,0.65039,0.59961
0.296,0.60899,0.29228,0.36471,0.64062,0.60547
0.304,0.60411,0.28935,0.35882,0.64453,0.60547
0.312,0.60117,0.28739,0.36471,0.64062,0.59961
0.32,0.59726,0.28446,0.37059,0.6543,0.59961
0.328,0.59433,0.28152,0.38039,0.64453,0.58984
0.336,0.5914,0.27761,0.37059,0.65039,0.59961
0.344,0.58847,0.27273,0.37059,0.65039,0.59961
0.352,0.58651,0.26979,0.37451,0.66992,0.5957
0.36,0.58456,0.26882,0.4,0.68945,0.58398
0.368,0.5826,0.27077,0.39412,0.70508,0.58398
0.376,0.58065,0.27761,0.41961,0.71484,0.56055
0.384,0.57771,0.29032,0.42549,0.7207,0.56055
0.392,0.57576,0.30987,0.43922,0.70508,0.55078
0.4,0.57283,0.33236,0.43922,0.67578,0.54492
0.408,0.57087,0.35875,0.41961,0.63477,0.56055
0.416,0.56794,0.39296,0.41569,0.61523,0.56055
0.424,0.565,0.43109,0.4098,0.59961,0.55469
0.432,0.56305,0.47312,0.4,0.61914,0.57031
0.44,0.56012,0.51417,0.39412,0.64062,0.58008
0.448,0.55718,0.55523,0.38431,0.66016,0.5957
0.456,0.55425,0.59238,0.36471,0.65039,0.60547
0.464,0.55132,0.62561,0.35882,0.65039,0.60547
0.472,0.54741,0.65494,0.37059,0.64062,0.59961
0.48,0.54448,0.6784,0.36471,0.64453,0.60547
0.488,0.54057,0.69697,0.35882,0.65039,0.60938
0.496,0.53666,0.71065,0.37059,0.6543,0.59961
0.504,0.53275,0.71848,0.36471,0.64453,0.60547
0.512,0.52884,0.72141,0.38039,0.67578,0.59961
0.52,0.52493,0.72141,0.41569,0.67969,0.58008
0.528,0.52199,0.71848,0.50588,0.62891,0.50586
0.536,0.51808,0.71261,0.67647,0.5957,0.34961
0.544,0.51515,0.70283,0.74118,0.61523,0.26562
0.552,0.51124,0.69795,0.5,0.48047,0.36523
0.56,0.50831,0.69306,0.21961,0.30078,0.55469
0.568,0.50538,0.68133,0.0039216,0.29492,0.76562
0.576,0.50342,0.66667,-0.011765,0.37109,0.83008
0.584,0.50147,0.64809,0.098039,0.40039,0.79883
0.592,0.49951,0.62854,0.2451,0.52539,0.70508
0.6,0.49756,0.60997,0.32353,0.61914,0.63477
0.608,0.4956,0.5914,0.35882,0.66016,0.61523
0.616,0.49365,0.56989,0.37451,0.68555,0.60938
0.624,0.49267,0.54839,0.38039,0.67969,0.60547
0.632,0.49169,0.5259,0.37059,0.68945,0.61523
0.64,0.48974,0.5044,0.38431,0.69531,0.59961
0.648,0.48876,0.48289,0.3902,0.69531,0.5957
0.656,0.48778,0.46237,0.39412,0.69922,0.5957
0.664,0.4868,0.44282,0.4098,0.70508,0.58984
0.672,0.48583,0.42522,0.40392,0.69531,0.58984
0.68,0.48583,0.40958,0.4,0.69922,0.58984
0.688,0.48485,0.39589,0.39412,0.71484,0.59961
0.696,0.48387,0.38319,0.40392,0.72461,0.58398
0.704,0.48289,0.37439,0.4098,0.7207,0.58398
0.712,0.48289,0.36755,0.41569,0.72461,0.58398
0.72,0.48192,0.36168,0.41961,0.7207,0.57422
0.728,0.48094,0.35679,0.42941,0.71484,0.56445
0.736,0.47996,0.35288,0.43529,0.7207,0.56445
0.744,0.47996,0.34995,0.4549,0.73047,0.55078
0.752,0.47996,0.348,0.46471,0.73047,0.53906
0.76,0.47996,0.348,0.5,0.75,0.51953
0.768,0.48094,0.34702,0.52549,0.75391,0.50977
0.776,0.48192,0.34702,0.53922,0.75977,0.49023
0.784,0.48289,0.348,0.58039,0.77539,0.46484
0.792,0.48387,0.34897,0.6098,0.77539,0.43945
0.8,0.48583,0.34995,0.64118,0.7793,0.41602
0.808,0.48583,0.35093,0.6549,0.77539,0.40039
0.816,0.4868,0.35093,0.6549,0.76953,0.40039
0.824,0.48778,0.35191,0.6451,0.75,0.41016
0.832,0.48876,0.35191,0.62549,0.73047,0.41992
0.84,0.48974,0.35191,0.5902,0.70508,0.43945
0.848,0.49071,0.35093,0.53922,0.68555,0.47461
0.856,0.49071,0.34995,0.4902,0.66016,0.51562
0.864,0.49169,0.34897,0.4451,0.66016,0.55078
0.872,0.49071,0.34604,0.41961,0.64453,0.57031
0.88,0.49071,0.34409,0.40392,0.62891,0.58008
0.888,0.48876,0.34213,0.37451,0.62891,0.59961
0.896,0.48778,0.3392,0.37059,0.62891,0.60547
0.904,0.4868,0.33822,0.36471,0.63477,0.60938
0.912,0.48485,0.33822,0.37059,0.61914,0.61523
0.92,0.48289,0.33822,0.37451,0.61523,0.60547
0.928,0.47996,0.33724,0.35882,0.625,0.60938
0.936,0.47703,0.33724,0.37059,0.63477,0.60547
0.944,0.4741,0.33724,0.38431,0.625,0.5957
0.952,0.47019,0.33724,0.3902,0.62891,0.5957
0.96,0.46725,0.33627,0.38039,0.62891,0.59961
0.968,0.46334,0.33431,0.37059,0.63477,0.5957
0.976,0.45943,0.33236,0.37059,0.62891,0.60547
0.984,0.45552,0.32942,0.38431,0.63477,0.58984
0.992,0.45161,0.32649,0.38431,0.625,0.58984
1,0.4477,0.32454,0.37059,0.625,0.5957
1.008,0.44477,0.32258,0.36471,0.61523,0.59961
1.016,0.44086,0.31965,0.38039,0.625,0.5957
1.024,0.43793,0.31672,0.38431,0.61914,0.5957
1.032,0.43402,0.31281,0.37451,0.61914,0.59961
1.04,0.43109,0.30792,0.38039,0.625,0.5957
1.048,0.42815,0.30499,0.39412,0.64453,0.58398
1.056,0.4262,0.30303,0.40392,0.66016,0.58398
1.064,0.42424,0.30596,0.41569,0.67969,0.58008
1.072,0.42131,0.31476,0.42549,0.68555,0.57031
1.08,0.41935,0.3304,0.4451,0.67969,0.54492
1.088,0.41838,0.35288,0.44902,0.68555,0.53906
1.096,0.41642,0.3783,0.4451,0.6543,0.54492
1.104,0.41447,0.40567,0.43529,0.61523,0.55078
1.112,0.41251,0.44184,0.42549,0.5957,0.56055
