breaths ann1 [signal sample no], breaths ann2 [signal sample no]
37,40
450,462
876,900
1263,1301
1689,1734
2154,2145
2554,2541
2946,2953
3354,3364
3796,3790
4213,4222
4622,4629
5052,5051
5330,5346
5713,5726
6135,6133
6565,6571
7043,7046
7457,7452
7859,7851
8254,8257
8680,8685
9111,9112
9554,9555
9898,9920
10180,10194
10550,10558
10946,10959
11370,11374
11843,11854
12278,12276
12665,12672
13070,13063
13465,13448
13839,13844
14283,14287
14713,14714
15111,15124
15550,15551
15950,15953
16333,16343
16767,16776
17185,17187
17598,17583
17985,17989
18367,18369
18809,18821
19252,19254
19626,19629
20000,20003
20374,20357
20726,20721
21113,21111
21522,21518
21943,21945
22387,22389
22802,22803
23220,23220
23637,23637
24020,24022
24420,24413
24846,24840
25263,25268
25667,25664
26059,26070
26465,26474
26883,26875
27283,27282
27683,27688
28065,28078
28474,28469
28865,28854
29296,29287
29730,29725
30120,30119
30533,30525
30941,30947
31367,31364
31776,31781
32198,32203
32624,32615
33028,33026
33402,33406
33835,33832
34243,34249
34630,34639
35061,35061
35465,35468
35891,35895
36274,36270
36674,36666
37061,37061
37478,37484
37863,37872
38237,38231
38667,38664
39093,39091
39502,39497
39946,39946
40341,40336
40772,40759
41185,41191
41583,41585
41930,41928
42261,42261
42643,42651
43070,43063
43465,43474
43939,43928
44365,44371
44822,44820
45220,45214
45602,45599
46037,46032
46485,46491
46898,46897
47320,47330
47737,47731
48180,48174
48580,48580
48970,48974
49387,49396
49748,49750
50048,50040
50352,50352
50722,50732
51165,51170
51622,51623
52030,52030
52461,52457
52885,52888
53315,53310
53715,53716
54150,54154
54559,54540
54972,54972
55393,55410
55820,55822
56215,56228
56626,56627
57035,57044
57400,57392
57657,57688
58091,58094
58509,58527
58957,58981
59422,59451
59848,59857
