Time [s], RESP, II, V, AVR, PLETH
0,0.43597,0.57059,0.93945,0.72549,0.31085
0.008,0.43109,0.57451,0.94531,0.73529,0.31085
0.016,0.42522,0.59608,0.93945,0.72549,0.30987
0.024,0.42131,0.58431,0.94531,0.73529,0.30987
0.032,0.41642,0.5902,0.94531,0.72549,0.30987
0.04,0.41251,0.58039,0.94922,0.73137,0.31085
0.048,0.40958,0.58039,0.94922,0.73529,0.31085
0.056,0.40665,0.58431,0.94922,0.73137,0.31085
0.064,0.40371,0.58039,0.95898,0.72549,0.31183
0.072,0.40176,0.58039,0.96484,0.73137,0.31281
0.08,0.39883,0.58431,0.95898,0.72549,0.31476
0.088,0.39785,0.58039,0.95898,0.73137,0.31965
0.096,0.39589,0.58431,0.95508,0.73137,0.32747
0.104,0.39589,0.58039,0.95508,0.73529,0.33724
0.112,0.39687,0.57451,0.95508,0.74118,0.34995
0.12,0.39785,0.58039,0.94531,0.73137,0.36559
0.128,0.3998,0.57451,0.94922,0.73529,0.38319
0.136,0.40274,0.58039,0.94922,0.7451,0.3998
0.144,0.40567,0.57059,0.94922,0.74118,0.41447
0.152,0.4086,0.57059,0.94531,0.7451,0.43206
0.16,0.41153,0.56471,0.94922,0.75098,0.44966
0.168,0.41447,0.5549,0.94531,0.7451,0.46628
0.176,0.41838,0.5549,0.94531,0.75098,0.48192
0.184,0.42229,0.5549,0.94531,0.75098,0.4956
0.192,0.4262,0.5451,0.94922,0.7549,0.50733
0.2,0.43109,0.55098,0.94531,0.7549,0.51711
0.208,0.43695,0.55098,0.94922,0.76078,0.52395
0.216,0.44379,0.5549,0.94531,0.75098,0.52981
0.224,0.45064,0.55098,0.93945,0.75098,0.53275
0.232,0.45748,0.5451,0.92969,0.7549,0.53372
0.24,0.4653,0.5549,0.92383,0.75098,0.53372
0.248,0.47214,0.56078,0.92383,0.7451,0.53177
0.256,0.47898,0.56078,0.92969,0.74118,0.52884
0.264,0.48778,0.56471,0.92969,0.73529,0.52395
0.272,0.4956,0.56078,0.92383,0.74118,0.51808
0.28,0.5044,0.57059,0.93555,0.73529,0.51026
0.288,0.5132,0.58039,0.92969,0.73137,0.50049
