Time [s], RESP, PLETH, II, V, AVR
0,1,0.52981,0.64118,0.19412,0.43945
0.008,1,0.52688,0.62549,0.18824,0.44531
0.016,1,0.52395,0.5902,0.19412,0.48438
0.024,1,0.52004,0.56078,0.2098,0.51562
0.032,1,0.51711,0.52549,0.2451,0.56445
0.04,1,0.51417,0.5,0.27843,0.60547
0.048,1,0.51222,0.48039,0.31373,0.64062
0.056,1,0.51026,0.46471,0.33529,0.66016
0.064,1,0.50831,0.44902,0.34902,0.67578
0.072,1,0.50635,0.4451,0.37059,0.68555
0.08,1,0.5044,0.44902,0.38431,0.68945
0.088,1,0.50147,0.43922,0.38039,0.69531
0.096,1,0.49951,0.4549,0.38431,0.68945
0.104,1,0.49756,0.4451,0.38039,0.69531
0.112,1,0.4956,0.4549,0.37451,0.69531
0.12,1,0.49365,0.44902,0.38039,0.68945
0.128,1,0.49169,0.4451,0.37059,0.68555
0.136,1,0.48974,0.4451,0.37451,0.68945
0.144,1,0.48876,0.46078,0.37059,0.67969
0.152,1,0.4868,0.46078,0.37059,0.67969
0.16,1,0.48583,0.46471,0.36471,0.67578
0.168,1,0.48387,0.46471,0.3549,0.66992
0.176,1,0.48192,0.46078,0.35882,0.66992
0.184,1,0.48094,0.46471,0.3549,0.66406
0.192,1,0.47898,0.46078,0.35882,0.66992
0.2,1,0.47703,0.47059,0.3549,0.66406
0.208,1,0.47507,0.47451,0.34902,0.66992
0.216,1,0.4741,0.47059,0.3549,0.66992
0.224,1,0.47214,0.46078,0.37451,0.67578
0.232,1,0.47116,0.46471,0.38039,0.66406
0.24,1,0.47019,0.4902,0.4,0.65039
0.248,1,0.47214,0.5098,0.40392,0.63477
0.256,1,0.47507,0.52941,0.4,0.60938
0.264,1,0.48192,0.56471,0.38039,0.58008
0.272,1,0.49169,0.58039,0.36471,0.57031
0.28,1,0.50538,0.58039,0.3451,0.56055
0.288,1,0.52199,0.5549,0.32941,0.58008
0.296,1,0.54252,0.51569,0.33529,0.61523
0.304,1,0.56403,0.47451,0.32941,0.66016
0.312,1,0.58651,0.44902,0.32941,0.67578
0.32,1,0.60899,0.43529,0.32941,0.68555
0.328,1,0.6305,0.42549,0.32941,0.69531
0.336,1,0.65005,0.42941,0.32941,0.68945
0.344,1,0.66764,0.43529,0.32941,0.68945
0.352,1,0.68231,0.43529,0.32941,0.68555
0.36,1,0.69208,0.43529,0.32941,0.69531
0.368,1,0.69892,0.42941,0.32941,0.68945
0.376,1,0.70479,0.42549,0.3549,0.71484
0.384,1,0.7087,0.5,0.36471,0.67578
0.392,1,0.71065,0.70588,0.27843,0.44922
0.4,1,0.71163,0.95098,0.16863,0.32422
0.408,1,0.71065,1.0275,-0.10588,0.32031
0.416,1,0.7087,0.50588,-0.35294,0.74414
0.424,1,0.70674,0.14314,-0.50196,0.92969
0.432,1,0.70381,0.04902,-0.47255,0.95508
0.44,1,0.6999,0.18431,-0.22745,0.81055
0.448,1,0.69599,0.32941,0.078431,0.69922
0.456,1,0.6911,0.4098,0.26471,0.66016
0.464,1,0.68622,0.43922,0.32353,0.64453
0.472,1,0.68035,0.4549,0.3451,0.64453
0.48,1,0.67351,0.44902,0.36471,0.65039
0.488,1,0.66569,0.46078,0.37451,0.65039
0.496,1,0.65689,0.46471,0.37451,0.65039
0.504,1,0.64712,0.46078,0.38039,0.65039
0.512,1,0.63832,0.4549,0.38039,0.65039
0.52,1,0.62854,0.4549,0.37451,0.65039
0.528,1,0.61877,0.46078,0.38039,0.64453
0.536,1,0.60899,0.46078,0.37451,0.64453
0.544,1,0.60117,0.46471,0.37451,0.63477
0.552,1,0.59433,0.46078,0.37451,0.64453
0.56,1,0.58847,0.46078,0.37451,0.64453
0.568,1,0.58358,0.47059,0.37059,0.63477
0.576,1,0.57869,0.48431,0.36471,0.62891
0.584,1,0.5738,0.48431,0.36471,0.61914
0.592,1,0.56891,0.48431,0.35882,0.61914
0.6,1,0.56403,0.5,0.3549,0.60547
0.608,1,0.55914,0.51569,0.3451,0.58984
0.616,1,0.55621,0.52941,0.32941,0.57031
0.624,1,0.5523,0.5451,0.31961,0.55469
0.632,1,0.54936,0.57059,0.3,0.52539
0.64,1,0.54741,0.5902,0.27843,0.5
0.648,1,0.54545,0.59608,0.2549,0.49023
0.656,1,0.54448,0.6098,0.23333,0.46094
0.664,1,0.54154,0.62549,0.2098,0.44531
0.672,1,0.53959,0.62941,0.20392,0.43945
0.68,1,0.53763,0.6,0.20392,0.46484
0.688,1,0.5347,0.58039,0.20392,0.49414
0.696,1,0.53177,0.5451,0.23333,0.53906
0.704,1,0.52786,0.5098,0.24902,0.58398
0.712,1,0.52493,0.48431,0.27843,0.625
0.72,1,0.52199,0.46078,0.33529,0.6543
0.728,0.99707,0.51906,0.46078,0.36471,0.67578
0.736,0.99316,0.51515,0.44902,0.37451,0.69531
0.744,0.98143,0.51222,0.43922,0.37451,0.69922
0.752,0.96872,0.50831,0.43529,0.3902,0.71484
0.76,0.9521,0.50538,0.43529,0.39412,0.7207
0.768,0.93451,0.50342,0.44902,0.38431,0.70508
0.776,0.913,0.50049,0.46471,0.38039,0.69922
0.784,0.8915,0.49756,0.46078,0.3902,0.69922
0.792,0.86706,0.4956,0.46078,0.38431,0.69922
0.8,0.8436,0.49365,0.46471,0.37451,0.69531
0.808,0.81818,0.49169,0.4549,0.37059,0.69922
0.816,0.79179,0.48974,0.43922,0.37451,0.69922
0.824,0.7566,0.48778,0.43529,0.37059,0.70508
0.832,0.72141,0.48583,0.46471,0.34902,0.68555
0.84,0.67937,0.48289,0.47059,0.34902,0.67969
0.848,0.63636,0.47996,0.46078,0.35882,0.68555
0.856,0.58651,0.47801,0.46078,0.3549,0.68555
0.864,0.53666,0.47605,0.48431,0.34902,0.67578
0.872,0.48192,0.47312,0.46078,0.35882,0.68945
0.88,0.42815,0.47019,0.4549,0.36471,0.68555
0.888,0.3783,0.46725,0.46078,0.34902,0.68945
0.896,0.32942,0.46432,0.46471,0.36471,0.69531
0.904,0.28446,0.46139,0.4451,0.3902,0.68555
0.912,0.24047,0.45943,0.43922,0.41569,0.67578
0.92,0.19648,0.45846,0.51569,0.4,0.64062
0.928,0.15249,0.46041,0.56078,0.39412,0.59961
0.936,0.11046,0.4653,0.56471,0.3902,0.58398
0.944,0.068426,0.47312,0.56471,0.35882,0.58008
0.952,0.034213,0.48583,0.58039,0.32941,0.57422
0.96,0,0.49756,0.55098,0.33529,0.5957
0.968,0,0.51222,0.5,0.33922,0.64062
0.976,0,0.52981,0.48039,0.32353,0.66992
0.984,0,0.54839,0.4549,0.32941,0.68555
0.992,0,0.56794,0.41569,0.33922,0.69922
1,0,0.58651,0.4098,0.32941,0.70508
1.008,0,0.60411,0.44902,0.31373,0.68555
1.016,0,0.61975,0.43529,0.32941,0.68555
1.024,0,0.63245,0.4451,0.33529,0.67969
1.032,0,0.64223,0.43529,0.31961,0.68555
1.04,0,0.65103,0.43922,0.32941,0.67969
1.048,0,0.65591,0.41961,0.37451,0.7207
1.056,0,0.65885,0.51961,0.38039,0.64062
1.064,0,0.6608,0.78039,0.17451,0.33984
1.072,0,0.6608,0.99216,0.078431,0.26562
1.08,0,0.6608,0.77059,0.14314,0.61523
