breaths ann1 [signal sample no], breaths ann2 [signal sample no]
267,266
841,826
1324,1311
1937,1929
2485,2499
3154,3137
3620,3596
4252,4307
4539,4539
4865,4945
5196,5151
5465,5494
6000,6048
6535,6608
7174,7172
7728,7714
8267,8268
8854,8827
9472,9460
10098,10152
10641,10637
11326,11327
11861,11881
12491,12524
12978,13010
13574,13553
14174,14234
14709,14735
15233,15203
15898,15831
16528,16544
17024,17087
17572,17562
18167,18185
18774,18800
19317,19296
19835,19840
20417,20383
21087,21122
21609,21586
22217,22220
22854,22846
23459,23468
23946,23991
24250,24255
24811,24814
25350,25379
25980,26007
26443,26416
27035,27055
27587,27699
28165,28163
28826,28801
29400,29435
29991,29989
30467,30530
31085,31084
31637,31639
32198,32187
32750,32736
33454,33443
34013,33995
34570,34465
35148,35172
35678,35700
36257,36280
36809,36908
37326,37373
37650,37672
37928,37920
38302,38310
38563,38600
39311,39339
39846,39825
40367,40442
40989,40922
41478,41469
42100,42102
42678,42662
43274,43210
43861,43833
44370,44308
44896,45013
45520,45546
46107,46174
46654,46718
47072,47082
47324,47409
47963,47974
48637,48675
49152,49159
49739,49792
50243,50199
50783,50816
51448,51454
52009,52014
52580,52489
53050,53025
53728,53669
54367,54371
54963,54856
55689,55722
56661,55970
57100,56268
57587,56685
58300,57092
58926,57588
59543,58358
NaN,58912
NaN,59546
