breaths ann1 [signal sample no], breaths ann2 [signal sample no]
85,82
367,372
650,646
933,926
1211,1201
1533,1538
1833,1828
2111,2119
2389,2393
2741,2736
3011,3016
3307,3317
3602,3596
3861,3869
4161,4148
4457,4433
4791,4787
5065,5077
5370,5352
5696,5689
5987,5995
6291,6275
6613,6618
6904,6914
7213,7193
7524,7529
7828,7825
8115,8109
8441,8453
8746,8753
9072,9038
9350,9371
9676,9677
9959,9962
10254,10247
10580,10584
10907,10891
11198,11170
11478,11501
11791,11780
12078,12086
12374,12361
12639,12641
12970,12973
13304,13295
13630,13627
13909,13902
14196,14208
14474,14466
14761,14751
15041,15040
15389,15377
15672,15673
16002,15974
16298,16306
16615,16612
16889,16887
17198,17166
17520,17520
17820,17810
18111,18095
18420,18427
18720,18728
19048,19016
19374,19375
19670,19650
19970,19987
20287,20283
20565,20568
20870,20853
21139,21127
21435,21407
21700,21687
22052,22051
22335,22330
22624,22608
22963,22962
23250,23257
23524,23526
23815,23811
24124,24139
24446,24450
24763,24745
25085,25088
25363,25363
25680,25669
26002,26001
26296,26284
26583,26580
26843,26854
27143,27134
27422,27424
27713,27699
28043,28057
28339,28337
28622,28617
28909,28896
29261,29250
29517,29530
29813,29809
30128,30092
30454,30451
30759,30741
31098,31090
31376,31380
31746,31712
32028,32024
32311,32309
32589,32588
32902,32868
33220,33232
33550,33522
33883,33885
34165,34164
34474,34460
34813,34808
35148,35151
35452,35452
35739,35742
36017,36016
36352,36365
36665,36660
36943,36935
37226,37220
37515,37508
37789,37777
38120,38120
38398,38410
38702,38690
39046,39044
39337,39339
39685,39687
39993,39988
40263,40268
40554,40547
40850,40832
41111,41102
41391,41379
41683,41670
42026,42013
42361,42366
42661,42651
42952,42947
43270,43242
43561,43522
43896,43881
44191,44166
44513,44514
44813,44815
45093,45092
45402,45425
45693,45704
45989,46005
46302,46290
46628,46644
46937,46934
47220,47214
47563,47562
47872,47858
48172,48148
48446,48422
48770,48774
49104,49069
49400,49418
49704,49708
49996,49993
50348,50352
50665,50642
50965,50985
51322,51296
51622,51623
51930,51924
52226,52220
52541,52540
52837,52851
53146,53141
53498,53489
53807,53780
54098,54117
54428,54423
54737,54708
55028,54988
55346,55342
55680,55637
55989,55991
56300,56279
56561,56559
56870,56891
57183,57181
57496,57482
57791,57778
58117,58137
58443,58422
58770,58775
59074,59065
59357,59350
59722,59714
