breaths ann1 [signal sample no], breaths ann2 [signal sample no]
454,478
867,894
1259,1227
1646,1617
2067,2103
2446,2462
2820,2826
3224,3211
3672,3702
4091,4122
4483,4528
4878,4929
5313,5336
5717,5747
6043,6048
6230,6581
6552,6977
6948,7394
7387,7798
7767,8199
8163,8616
8576,9033
9007,9418
9398,9846
9837,10257
10250,10690
10659,11128
11093,11490
11496,11886
11896,12287
12291,12546
12570,12957
12943,13427
13413,13654
13678,14060
14052,14429
14435,14841
14826,15256
15202,15683
15680,16121
16089,16501
16493,16855
16859,17277
17263,17683
17693,18095
18063,18438
18428,18869
18852,19286
19252,19692
19696,20098
20083,20431
20435,20827
20830,21154
21148,21544
21548,21977
21974,22378
22374,22751
22741,23157
23141,23606
23593,23996
23967,24392
24372,24819
24807,25136
25154,25511
25515,26001
25946,26406
26361,26770
26726,27155
27135,27572
27552,27973
27922,28332
28357,28717
28717,29129
29130,29535
29500,29952
29926,30377
30350,30741
30754,31100
31107,31491
31511,31987
31985,32409
32393,32815
32798,33222
33211,33586
33576,33985
33978,34323
34322,34639
34639,35061
35070,35457
35452,35911
35883,36333
36300,36755
36730,37188
37183,37635
37637,38104
38093,38537
38528,38938
38933,39371
39385,39803
39815,40204
40215,40611
40615,41022
41028,41485
41483,41838
41861,42245
42257,42725
42722,43147
43187,43543
43543,43997
43978,44361
44383,44741
44739,45156
45137,45573
45572,46169
46154,46565
46554,47018
47020,47372
47354,47768
47746,48216
48211,48570
48585,49053
49043,49465
49465,49877
49883,50294
50265,50705
50709,51117
51113,51534
51522,51850
51848,52272
52265,52687
52680,53136
53102,53569
53546,54044
54015,54365
54354,54693
54650,55115
55111,55637
55633,56054
56033,56464
56465,56875
56843,57276
57274,57688
57665,58110
58087,58538
58539,58960
58957,59350
59348,59746
59765,NaN
