Time [s], RESP, II, V, AVR, PLETH
0,0.20295,0.23047,0.97059,0.76667,0.48583
0.008,0.20418,0.30078,0.94706,0.67647,0.48289
0.016,0.20418,0.26953,0.92549,0.72549,0.47898
0.024,0.20541,0.26562,0.91569,0.73137,0.47605
0.032,0.20664,0.375,0.90588,0.63529,0.4741
0.04,0.20664,0.3457,0.86667,0.62941,0.47116
0.048,0.20664,0.33984,0.85098,0.6451,0.47019
0.056,0.20664,0.34961,0.83137,0.65098,0.46921
0.064,0.20541,0.37109,0.83529,0.61569,0.46725
0.072,0.20418,0.32422,0.82549,0.6549,0.4653
0.08,0.20172,0.29492,0.81176,0.67647,0.46432
0.088,0.19926,0.31055,0.83137,0.66078,0.46334
0.096,0.1968,0.33594,0.85686,0.63529,0.46237
0.104,0.19434,0.25,0.85098,0.70588,0.46334
0.112,0.19065,0.23047,0.88039,0.72157,0.46334
0.12,0.18696,0.23438,0.89608,0.6902,0.46334
0.128,0.1845,0.20117,0.88627,0.73529,0.46237
0.136,0.18081,0.18945,0.90588,0.7451,0.46237
0.144,0.17712,0.2207,0.91569,0.69608,0.46237
0.152,0.17343,0.18555,0.8902,0.72549,0.46237
0.16,0.16974,0.17969,0.91569,0.73137,0.46237
0.168,0.16482,0.17578,0.93137,0.75098,0.46237
0.176,0.16113,0.16016,0.91569,0.76667,0.46237
0.184,0.15867,0.16016,0.92549,0.77059,0.46334
0.192,0.15498,0.16602,0.90588,0.7549,0.46334
0.2,0.15252,0.16016,0.90588,0.77059,0.46237
0.208,0.14883,0.18945,0.92157,0.73529,0.46237
0.216,0.1476,0.16602,0.89608,0.76078,0.46237
0.224,0.14514,0.2207,0.92157,0.70588,0.46139
0.232,0.14391,0.18945,0.8902,0.73137,0.46139
0.24,0.14268,0.16992,0.88627,0.76667,0.46041
0.248,0.14145,0.17969,0.88627,0.7451,0.45943
0.256,0.14145,0.20508,0.90196,0.73137,0.46139
0.264,0.14022,0.21094,0.90588,0.71569,0.46237
0.272,0.14022,0.19531,0.88039,0.73137,0.46237
0.28,0.14022,0.20117,0.88627,0.74118,0.46334
0.288,0.14022,0.18555,0.89608,0.75098,0.46334
0.296,0.14022,0.21094,0.90196,0.70588,0.46628
0.304,0.14022,0.18945,0.88627,0.73529,0.47019
0.312,0.14022,0.17969,0.88627,0.74118,0.4741
0.32,0.14022,0.20508,0.89608,0.71569,0.47898
0.328,0.14022,0.20117,0.88039,0.74118,0.48289
0.336,0.14145,0.2793,0.89608,0.67647,0.4868
0.344,0.14145,0.31055,0.89608,0.64118,0.49169
0.352,0.14268,0.30078,0.88627,0.65098,0.49658
0.36,0.14391,0.37109,0.87647,0.58431,0.50147
0.368,0.14514,0.39062,0.87647,0.56078,0.50635
0.376,0.14637,0.38086,0.87647,0.57059,0.51026
0.384,0.1476,0.33984,0.86667,0.61569,0.5132
0.392,0.14883,0.33008,0.8902,0.6,0.51613
0.4,0.15006,0.34961,0.91176,0.6098,0.51808
0.408,0.15129,0.33984,0.90588,0.60588,0.52102
0.416,0.15129,0.31055,0.91569,0.62549,0.52395
0.424,0.15252,0.2793,0.90588,0.65098,0.52786
0.432,0.15375,0.29492,0.91176,0.62941,0.53275
0.44,0.15498,0.25586,0.90196,0.66078,0.53666
0.448,0.15621,0.20508,0.88627,0.7,0.53861
0.456,0.15744,0.25,0.90196,0.6549,0.54057
0.464,0.15867,0.25586,0.88627,0.65098,0.54154
0.472,0.1599,0.2207,0.8902,0.6902,0.54252
0.48,0.16113,0.25977,0.91569,0.65098,0.54154
0.488,0.16236,0.26953,0.92549,0.66471,0.54057
0.496,0.16359,0.20508,0.8902,0.72157,0.54057
0.504,0.16482,0.21484,0.89608,0.69608,0.54057
0.512,0.16605,0.20508,0.88039,0.7,0.54057
0.52,0.16605,0.24023,0.90196,0.7098,0.54057
0.528,0.16728,0.26953,0.89608,0.6549,0.54057
0.536,0.16728,0.23438,0.95098,0.7,0.54057
0.544,0.16851,0.32422,0.99608,0.60588,0.53959
0.552,0.16851,0.30469,0.96078,0.64118,0.53861
0.56,0.16974,0.30078,0.6451,0.66471,0.53763
0.568,0.16974,0.59961,0.1549,0.40392,0.53666
0.576,0.17097,0.86914,-0.086275,0.17843,0.53568
