Time [s], RESP, PLETH, II, V, AVR
0,0.29619,0.38123,0.40392,0.60547,0.5451
0.008,0.30596,0.39785,0.38039,0.60938,0.5549
0.016,0.31672,0.41642,0.38431,0.60547,0.56471
0.024,0.32649,0.43695,0.3451,0.61914,0.58039
0.032,0.33529,0.45943,0.31961,0.62891,0.59608
0.04,0.34409,0.48192,0.3098,0.625,0.60588
0.048,0.35288,0.5044,0.31373,0.62891,0.60588
0.056,0.36168,0.52493,0.31373,0.60547,0.60588
0.064,0.37146,0.5435,0.3098,0.61523,0.6
0.072,0.38221,0.55914,0.33529,0.60938,0.59608
0.08,0.39296,0.57087,0.31961,0.61523,0.5902
0.088,0.40274,0.57967,0.25882,0.6543,0.62549
0.096,0.41251,0.58651,0.2451,0.67578,0.62941
0.104,0.42229,0.59238,0.4,0.63477,0.53529
0.112,0.43206,0.59629,0.66078,0.4707,0.4
0.12,0.44184,0.59824,0.79608,0.29102,0.3451
0.128,0.45259,0.59922,0.82549,0.17969,0.40392
0.136,0.46432,0.59726,0.51961,0.25977,0.57451
0.144,0.47507,0.59531,0.36471,0.40039,0.65098
0.152,0.48778,0.59238,0.3451,0.50586,0.61961
0.16,0.49951,0.59042,0.32353,0.58398,0.60588
0.168,0.51222,0.58651,0.2902,0.62891,0.61569
0.176,0.52395,0.58358,0.2902,0.62891,0.6098
0.184,0.53568,0.57967,0.27451,0.64453,0.62549
0.192,0.54741,0.57478,0.26863,0.63477,0.61961
0.2,0.55914,0.56891,0.27843,0.64062,0.62549
0.208,0.57087,0.56207,0.26863,0.64453,0.62549
0.216,0.58358,0.55523,0.26863,0.63477,0.62549
0.224,0.59629,0.54936,0.28431,0.62891,0.61569
0.232,0.61095,0.54252,0.27451,0.62891,0.62549
0.24,0.62463,0.53568,0.2902,0.63477,0.61569
0.248,0.63832,0.52884,0.27843,0.62891,0.61961
0.256,0.65103,0.52004,0.30392,0.62891,0.6
0.264,0.66373,0.51124,0.3098,0.62891,0.60588
0.272,0.67644,0.50244,0.27451,0.625,0.61961
0.28,0.68915,0.49462,0.26471,0.63477,0.62549
0.288,0.70283,0.48876,0.2902,0.625,0.61569
0.296,0.71848,0.48192,0.29412,0.625,0.61569
0.304,0.73314,0.47605,0.31373,0.61523,0.60588
0.312,0.74976,0.46921,0.3,0.61914,0.60588
0.32,0.7654,0.46334,0.30392,0.60547,0.60588
0.328,0.78299,0.45748,0.31373,0.60938,0.6
0.336,0.79961,0.45161,0.32941,0.60938,0.58431
0.344,0.81427,0.44575,0.32353,0.60547,0.58431
0.352,0.82991,0.43988,0.34902,0.58984,0.57451
0.36,0.84262,0.435,0.36471,0.5957,0.56471
0.368,0.8563,0.43109,0.34902,0.59961,0.57451
0.376,0.86999,0.42717,0.38039,0.58398,0.5549
0.384,0.88368,0.4262,0.38431,0.57422,0.5549
0.392,0.89834,0.42522,0.4098,0.58008,0.53529
0.4,0.913,0.42424,0.41961,0.57422,0.52941
0.408,0.92669,0.42424,0.4098,0.58008,0.53529
0.416,0.93939,0.42424,0.37451,0.5957,0.5549
0.424,0.95112,0.42424,0.37059,0.60547,0.56471
0.432,0.96188,0.42424,0.35882,0.60938,0.57059
0.44,0.97361,0.42229,0.34902,0.60547,0.57059
0.448,0.98436,0.42033,0.33922,0.62891,0.58039
0.456,0.99218,0.41838,0.32941,0.625,0.5902
0.464,1,0.41642,0.33922,0.61914,0.58431
0.472,1,0.41447,0.33529,0.62891,0.58431
0.48,1,0.41349,0.3451,0.625,0.58039
0.488,1,0.41153,0.33922,0.63477,0.58431
0.496,1,0.41056,0.32353,0.625,0.59608
0.504,1,0.4086,0.31373,0.61914,0.60588
0.512,1,0.40665,0.32353,0.625,0.6
0.52,1,0.41838,0.31961,0.62891,0.59608
0.528,1,0.43597,0.3,0.64062,0.60588
0.536,1,0.44477,0.31373,0.62891,0.59608
0.544,1,0.4477,0.33922,0.62891,0.58039
0.552,1,0.44868,0.34902,0.61914,0.57451
0.56,1,0.44673,0.32941,0.62891,0.58039
0.568,1,0.44379,0.37059,0.61523,0.57059
0.576,1,0.44086,0.36471,0.61523,0.57451
0.584,1,0.43793,0.33529,0.63477,0.58431
0.592,1,0.43402,0.31961,0.64062,0.5902
0.6,1,0.42913,0.37059,0.625,0.56471
0.608,1,0.42424,0.36471,0.625,0.5549
0.616,1,0.42131,0.38039,0.625,0.56078
0.624,1,0.42033,0.37059,0.63477,0.56078
0.632,1,0.42033,0.3902,0.62891,0.5451
0.64,1,0.42229,0.41569,0.60547,0.52941
0.648,1,0.4262,0.43922,0.60547,0.52549
0.656,1,0.43402,0.47059,0.58398,0.50588
0.664,1,0.44477,0.4451,0.58008,0.51569
0.672,1,0.46041,0.43529,0.58398,0.52549
0.68,1,0.47507,0.4098,0.5957,0.53529
0.688,1,0.48974,0.3902,0.60938,0.55098
0.696,1,0.50929,0.35882,0.61523,0.57451
0.704,1,0.52884,0.31961,0.62891,0.59608
0.712,1,0.54936,0.31373,0.62891,0.5902
0.72,1,0.56989,0.28431,0.625,0.61569
0.728,1,0.58749,0.2902,0.61523,0.61961
0.736,1,0.60313,0.29412,0.61914,0.6098
0.744,1,0.61681,0.2902,0.60938,0.61961
0.752,1,0.62757,0.28431,0.62891,0.60588
0.76,1,0.63441,0.2902,0.63477,0.61569
0.768,1,0.64027,0.22353,0.68945,0.62549
0.776,1,0.64321,0.21961,0.67578,0.62941
0.784,1,0.64321,0.47451,0.59961,0.4902
0.792,1,0.64418,0.7098,0.40039,0.35882
0.8,1,0.64418,0.8451,0.25,0.32353
