breaths ann1 [signal sample no], breaths ann2 [signal sample no]
350,377
820,794
1172,1164
1620,1612
1920,1913
2298,2298
2641,2631
3107,3100
3589,3565
4000,4016
4435,4439
4617,4856
4835,5093
5109,5431
5417,5763
5783,6265
6283,6687
6687,7003
7000,7484
7478,7920
7924,8384
8393,8875
8893,9344
9354,9809
9798,10263
10254,10685
10693,11133
11133,11590
11604,12086
12091,12572
12600,13042
13000,13495
13504,13981
14004,14424
14439,14883
14904,15335
15341,15810
15802,16269
16263,16675
16667,17103
17085,17525
17546,17995
17980,18417
18411,18832
18830,19270
19291,19713
19726,20162
20165,20499
20483,20863
20883,21265
21248,21766
21765,22267
22257,22756
22772,23252
23276,23701
23733,24165
24185,24408
24415,24872
24893,25331
25337,25785
25789,26234
26267,26696
26713,27155
27152,27609
27609,28036
28035,28416
28422,28791
28817,29255
29222,29683
29687,30119
30124,30493
30498,30905
30937,31332
31307,31776
31763,32193
32193,32583
32580,32942
32959,33338
33328,33681
33680,34164
34157,34576
34596,35040
35065,35478
35496,35900
35904,36333
36348,36766
36783,37209
37200,37687
37693,38152
38124,38611
38620,39049
39028,39376
39385,39714
39715,40109
40120,40558
40546,41007
41015,41443
41452,41912
41917,42340
42343,42746
42726,43184
43165,43553
43548,43991
44000,44424
44439,44820
44822,45245
45254,45694
45693,46158
46159,46596
46585,47066
47080,47525
47528,47984
47985,48427
48415,48790
48741,49228
49217,49660
49639,50141
49952,50573
50122,51006
50561,51381
51009,51808
51404,52225
51787,52666
52243,53109
52667,53558
53111,53943
53533,54307
53954,54714
54328,55025
54707,55431
55033,55891
55437,56316
55889,56791
56330,57176
56796,57503
57152,57941
57513,58379
57943,58759
58378,59171
58726,59704
59213,NaN
59700,NaN
