breaths ann1 [signal sample no], breaths ann2 [signal sample no]
128,140
650,657
1141,1153
1728,1723
2172,2193
2685,2689
3241,3211
3693,3686
4191,4201
4704,4708
5204,5241
5817,5811
6313,6323
6878,6845
7404,7425
7967,7972
8450,8447
8937,8896
9389,9381
9876,9851
10315,10336
10946,10922
11409,11400
11861,11875
12326,12361
12939,12931
13478,13474
14026,14034
14552,14535
15050,15055
15572,15573
16046,16079
16533,16554
17015,17040
17563,17583
18111,18121
18646,18644
19165,19164
19717,19724
20204,20204
20717,20737
21261,21249
21757,21734
22248,22246
22772,22788
23302,23315
23785,23806
24272,24313
24815,24830
25363,25347
25859,25859
26343,26358
26887,26907
27422,27435
27943,27957
28452,28458
28970,28970
29452,29445
29948,29962
30433,30430
30946,30958
31476,31485
32007,32018
32537,32525
33046,33058
33611,33612
34091,34090
34613,34618
35122,35141
35661,35658
36187,36191
36735,36734
37270,37262
37793,37766
38307,38294
38811,38806
39363,39355
39837,39856
40346,40352
40811,40817
41224,41228
41757,41775
42283,42271
42835,42825
43235,43247
43730,43728
44209,44224
44617,44604
45120,45098
45585,45583
46015,46037
46567,46565
47137,47135
47746,47726
48393,48375
49009,49016
49774,49766
50426,50436
51043,51059
51713,51697
52265,52262
52841,52835
53415,53400
53989,53985
54533,54550
55128,55136
55772,55774
56330,56332
56843,56854
57461,57461
57996,57984
58487,58485
59057,59028
59578,59577
