breaths ann1 [signal sample no], breaths ann2 [signal sample no]
102,98
620,631
1180,1179
1689,1691
2198,2198
2720,2720
3293,3296
3711,3837
3826,4439
4435,5035
5039,5610
5600,6154
6135,6782
6739,7462
7339,8088
8093,8658
8663,9207
9176,9772
9772,10321
10320,10822
10815,11395
11400,11949
11957,12493
12504,13089
13109,13633
13604,14097
14078,14672
14630,15288
15289,15905
15867,16617
16593,17235
17159,17900
17902,18485
18450,19059
19057,19586
19570,20193
20174,20790
20761,21465
21409,22046
22000,22603
22589,23231
23193,23616
23598,24202
24189,24693
24672,25247
25202,25848
25802,26406
26391,27002
26978,27561
27404,28242
28226,28976
28961,29857
29830,30499
30511,31000
30954,31401
31359,31834
31807,32346
32307,32858
32824,33459
33424,34048
34026,34618
34557,35172
35117,35716
35678,36270
36265,36782
36783,37251
37261,37756
37763,38273
38263,38885
38863,39439
39433,40009
39959,40584
40554,41202
41180,41643
41661,42150
42157,42662
42670,43126
43139,43659
43635,44155
44165,44709
44726,45219
45220,45704
45715,46174
46176,46686
46650,47256
47176,47784
47811,48338
48341,48911
48904,49439
49378,49972
49970,50505
50465,51233
51191,51713
51743,52389
52400,53373
52872,53843
53380,54376
53859,54914
54380,55416
54898,56012
55415,56617
55959,57319
56565,57962
57230,58643
57983,59319
58652,59994
59326,NaN
