breaths ann1 [signal sample no], breaths ann2 [signal sample no]
124,119
537,509
915,926
1354,1348
1733,1755
2176,2156
2563,2567
2941,2958
3363,3369
3783,3768
4200,4212
4587,4592
5030,5014
5465,5457
5891,5922
6348,6333
6748,6745
7157,7151
7576,7566
7989,7978
8367,8389
8754,8743
9141,9139
9511,9513
9911,9909
10320,10326
10720,10716
11107,11128
11552,11553
11930,11912
12313,12297
12704,12693
13117,13115
13504,13501
13891,13875
14300,14287
14678,14677
15072,15071
15498,15483
15941,15926
16337,16327
16728,16734
17128,17135
17572,17573
17972,17974
18393,18391
18796,18779
19209,19185
19587,19592
20013,20003
20391,20415
20800,20795
21183,21175
21639,21618
22035,22061
22448,22468
22859,22888
23298,23294
23707,23722
24115,24117
24698,24708
25098,25094
25537,25547
25976,25970
26370,26400
26926,26918
27348,27340
27752,27751
28161,28173
28591,28596
29039,28997
29452,29435
29952,29936
30498,30493
30915,30905
31424,31401
31828,31813
32228,32224
32628,32625
33002,33005
33415,33417
33809,33805
34213,34212
34570,34576
34930,34924
35283,35294
35661,35658
36030,36022
36378,36381
36730,36745
37130,37109
37487,37478
37828,37846
38185,38178
38524,38526
38902,38917
39324,39313
39672,39672
40041,40041
40415,40400
40767,40764
41124,41117
41474,41474
41852,41844
42209,42187
42552,42556
42935,42941
43296,43290
43687,43675
44065,44055
44404,44398
44787,44772
45159,45150
45528,45551
45898,45879
46237,46248
46615,46617
46972,46976
47328,47330
47680,47689
48063,48053
48411,48417
48791,48774
49135,49127
49504,49497
49878,49856
50209,50235
50609,50610
50983,50980
51326,51344
51743,51761
52183,52172
52928,52513
53280,52914
53672,53273
54028,53648
54402,54012
54776,54408
55224,54782
55607,55220
56028,55606
56374,56007
56761,56374
57113,56754
57517,57113
57913,57503
58322,57920
58743,58327
59191,58733
59561,59134
59970,59540
NaN,59973
