breaths ann1 [signal sample no], breaths ann2 [signal sample no]
441,441
920,910
1433,1412
1924,1913
2407,2420
3007,2989
3502,3501
4017,4027
4504,4491
4970,4982
5452,5452
5922,5922
6396,6402
6865,6850
7317,7325
7833,7856
8341,8342
8863,8880
9324,9328
9776,9777
10228,10241
10724,10743
11172,11170
11643,11638
12126,12118
12600,12609
13078,13078
13513,13511
13996,13976
14461,14466
14943,14957
15528,15536
16037,16037
16633,16639
17176,17187
17693,17689
18189,18206
18707,18734
19313,19317
19839,19850
20287,20304
20791,20784
21287,21259
21804,21782
22365,22357
22902,22909
23446,23453
24063,24049
24593,24624
25141,25141
25680,25648
26233,26212
26743,26717
27209,27208
27670,27683
28135,28131
28648,28664
29204,29181
29657,29630
30072,30082
30576,30578
31046,31063
31546,31533
31989,32003
32446,32456
32928,32916
33376,33359
33843,33874
34413,34439
34957,34951
35443,35441
36057,36027
36600,36581
37109,37093
37646,37650
38211,38226
38828,38832
39328,39313
39854,39877
40380,40373
40946,40938
41409,41416
41883,41886
42361,42345
42839,42825
43265,43274
43730,43717
44191,44234
44687,44677
45120,45129
45672,45678
46163,46185
46680,46686
47207,47214
47767,47778
48254,48259
48680,48707
49139,49164
49643,49655
50113,50125
50587,50600
51091,51122
51652,51681
52187,52193
52680,52656
53180,53178
53689,53690
54224,54265
54772,54777
55320,55315
55872,55848
56330,56353
56857,56865
57409,57466
58039,58005
58552,58538
59083,59102
59643,59656
