breaths ann1 [signal sample no], breaths ann2 [signal sample no]
59,66
367,388
1128,583
1811,805
2515,1132
2915,1522
3398,1807
3930,2472
4478,2889
4870,3391
5404,3890
5739,4449
6083,4840
6487,5420
6961,5742
7330,6048
7728,6423
7989,6951
8441,7330
8885,7756
9289,7967
9707,8416
10280,8859
10763,9281
11063,9693
11452,10257
11852,10759
12296,11001
12735,11337
13109,11801
13526,12266
13917,12778
14343,13147
14752,13527
15159,13960
15572,14329
15867,14767
16367,15172
16767,15599
17233,15852
17693,16354
18202,16770
18693,17198
19074,17657
19665,18142
20161,18686
20526,18832
20922,19064
21296,19703
21861,20199
22274,20568
22685,20911
23089,21249
23524,21898
23902,22283
24280,22661
24672,23051
25080,23532
25463,23906
25828,24281
26228,24650
26674,25136
27096,25468
27483,25848
27952,26239
28287,26316
28661,26722
29048,27092
29478,27477
29939,27941
30424,28327
30946,28670
31267,29055
31733,29477
32180,29941
32698,30409
33267,30953
33878,31248
34296,31691
34761,32193
35283,32704
35917,33269
36413,33869
36939,34323
37448,34761
38089,35294
38672,35916
39298,36391
39815,36929
40202,37436
40524,38078
41002,38653
41435,39292
42052,39798
42548,40194
43017,40505
43678,40980
44235,41437
44783,42060
45163,42556
45428,43020
45833,43675
46154,44234
46528,44809
46924,45145
47315,45393
47833,45778
48385,46164
48839,46544
49304,46913
50370,47319
51074,47821
51691,48369
52461,48853
52972,49286
53333,50341
53859,51053
54241,51666
54680,52040
55102,52447
55520,52930
55933,53310
56228,53785
56787,54197
57243,54629
57674,55083
58126,55500
58596,55906
59009,56223
59443,56743
59757,57250
NaN,57646
NaN,58057
NaN,58643
NaN,59044
NaN,59403
NaN,59735
