breaths ann1 [signal sample no], breaths ann2 [signal sample no]
380,372
741,747
1133,1121
1485,1491
1893,1865
2250,2240
2624,2615
3007,2995
3380,3375
3761,3749
4126,4127
4496,4491
4865,4866
5243,5241
5630,5615
6009,5990
6383,6370
6770,6750
7130,7130
7498,7494
7889,7872
8228,8236
8611,8621
8993,8991
9367,9371
9741,9735
10111,10109
10515,10500
10841,10859
11163,11228
11613,11617
11991,11997
12339,12303
12752,12741
13135,13115
13500,13490
13865,13865
14257,14245
14622,14625
15000,14984
15376,15372
15754,15741
16115,16127
16493,16485
16867,16865
17263,17235
17611,17620
17998,17989
18359,18369
18746,18739
19104,19122
19487,19491
19874,19861
20239,20235
20630,20615
20983,20985
21378,21365
21752,21745
22117,22114
22504,22508
22863,22861
23250,23247
23620,23611
23998,23991
24363,24365
24750,24740
25128,25115
25493,25484
25876,25859
26246,26239
26613,26606
26991,26986
27383,27366
27730,27735
28126,28115
28483,28485
28883,28865
29261,29245
29604,29614
30011,29999
30376,30367
30737,30741
31115,31121
31515,31491
31846,31844
32246,32235
32624,32609
32998,32984
33372,33369
33759,33739
34117,34127
34491,34497
34878,34871
35252,35246
35626,35600
36000,36001
36374,36365
36739,36750
37104,37114
37504,37494
37854,37861
38237,38236
38628,38611
38989,38991
39363,39371
39746,39735
40115,40109
40493,40495
40867,40864
41259,41244
41617,41617
41996,41991
42357,42361
42761,42746
43130,43121
43509,43495
43887,43865
44248,44224
44609,44614
45000,44978
45376,45356
45733,45747
46120,46116
46480,46491
46841,46860
47254,47245
47615,47615
47976,47979
48367,48369
48746,48749
49087,49117
49087,49491
49509,49866
49883,50235
50230,50605
50596,50985
50996,51370
51374,51745
51743,52119
52122,52489
52487,52872
52846,53231
53237,53616
53620,53980
53998,54360
54376,54740
54746,55120
55115,55489
55498,55864
55885,56244
56241,56617
56613,56991
56983,57361
57370,57730
57739,58110
58117,58485
58491,58859
58874,59229
59257,59614
59609,59989
59996,NaN
