Time [s], RESP, PLETH, I, MCL, II
0,-0.2445,0.26882,0.51569,0.5902,0.66992
0.008,-0.24694,0.26197,0.5098,0.61569,0.69531
0.016,-0.24939,0.25806,0.51569,0.63529,0.70898
0.024,-0.25183,0.25611,0.5098,0.61569,0.69922
0.032,-0.25428,0.25611,0.51569,0.59608,0.73047
0.04,-0.25672,0.25904,0.5098,0.53922,0.75
0.048,-0.25917,0.26882,0.50588,0.48431,0.74414
0.056,-0.26406,0.28446,0.5,0.48039,0.75391
0.064,-0.2665,0.30694,0.5,0.47059,0.76562
0.072,-0.27384,0.33529,0.49412,0.46078,0.74414
0.08,-0.27873,0.36852,0.47451,0.48039,0.69922
0.088,-0.28362,0.40469,0.4549,0.4902,0.64453
0.096,-0.28851,0.44184,0.4451,0.5098,0.57422
0.104,-0.29584,0.47801,0.42941,0.5098,0.52539
0.112,-0.30318,0.51124,0.42549,0.5,0.51953
0.12,-0.30807,0.53861,0.42549,0.49412,0.50977
0.128,-0.31296,0.56207,0.41961,0.4902,0.49414
0.136,-0.32029,0.58456,0.41961,0.48431,0.48047
0.144,-0.32518,0.60508,0.41961,0.48039,0.47461
0.152,-0.33007,0.62463,0.41569,0.47451,0.47461
0.16,-0.33496,0.64125,0.41569,0.47059,0.4707
0.168,-0.3423,0.65494,0.41569,0.46471,0.4707
0.176,-0.34719,0.66764,0.4,0.51961,0.49414
0.184,-0.35452,0.67742,0.39412,0.62549,0.51562
0.192,-0.35941,0.68622,0.47451,0.67647,0.62891
0.2,-0.36675,0.69208,0.68627,0.73529,0.69922
0.208,-0.37408,0.69501,0.93137,0.86078,0.54492
0.216,-0.38142,0.69599,1.0059,0.86667,-0.025391
0.224,-0.38875,0.69404,0.57059,0.73137,-0.45312
0.232,-0.39609,0.69013,0.12941,0.73137,-0.47461
0.24,-0.40342,0.68328,-0.015686,0.59608,-0.33008
0.248,-0.41076,0.67449,0.013725,0.33922,-0.23438
0.256,-0.42054,0.66276,0.1098,0.2,0.019531
0.264,-0.42787,0.65005,0.23922,0.17843,0.33008
0.272,-0.43765,0.63539,0.3451,0.31373,0.53516
0.28,-0.44499,0.62072,0.3902,0.38431,0.58984
0.288,-0.45477,0.60704,0.41961,0.4,0.625
0.296,-0.4621,0.59238,0.42941,0.4098,0.63477
0.304,-0.47188,0.57869,0.43529,0.41569,0.65039
0.312,-0.47922,0.565,0.43529,0.41961,0.66016
0.32,-0.48655,0.55327,0.43922,0.42941,0.66406
0.328,-0.49389,0.5435,0.43529,0.43529,0.66992
0.336,-0.50122,0.5347,0.4451,0.43922,0.68555
0.344,-0.50611,0.52493,0.43922,0.43922,0.68945
0.352,-0.51345,0.51515,0.44902,0.4451,0.69922
0.36,-0.51834,0.50635,0.44902,0.43922,0.71484
0.368,-0.52078,0.49658,0.4549,0.43922,0.72461
0.376,-0.52567,0.48778,0.44902,0.4451,0.73438
0.384,-0.52812,0.47801,0.4549,0.44902,0.74023
0.392,-0.52812,0.46823,0.4549,0.4451,0.75
0.4,-0.53056,0.45846,0.46078,0.4451,0.77539
0.408,-0.53056,0.44868,0.46471,0.43922,0.79492
0.416,-0.53056,0.43891,0.47451,0.43529,0.83008
0.424,-0.53056,0.42913,0.48431,0.42941,0.86914
0.432,-0.52812,0.42131,0.5,0.42941,0.91016
0.44,-0.52567,0.41349,0.52549,0.41961,0.95508
0.448,-0.52323,0.40469,0.55098,0.41569,0.99023
0.456,-0.52078,0.39492,0.57059,0.41569,1.0254
0.464,-0.51589,0.38612,0.58431,0.41569,1.0391
0.472,-0.511,0.37732,0.5902,0.43529,1.0449
0.48,-0.50611,0.36852,0.6,0.44902,1.0352
0.488,-0.50367,0.3607,0.5902,0.47451,0.99023
0.496,-0.49878,0.35288,0.57451,0.50588,0.93555
0.504,-0.49389,0.34506,0.56078,0.52941,0.87891
0.512,-0.48655,0.33724,0.52549,0.56078,0.81055
0.52,-0.48166,0.32942,0.51961,0.57059,0.75391
0.528,-0.47433,0.3216,0.50588,0.58039,0.70898
0.536,-0.46944,0.31574,0.49412,0.5902,0.67969
0.544,-0.46455,0.30987,0.5,0.59608,0.68555
0.552,-0.45966,0.30303,0.50588,0.61569,0.68555
0.56,-0.45232,0.29619,0.5,0.6451,0.70508
0.568,-0.44743,0.28935,0.50588,0.67059,0.71484
0.576,-0.44254,0.28543,0.5098,0.65098,0.70898
0.584,-0.43521,0.28543,0.51569,0.6451,0.75
0.592,-0.43032,0.2913,0.50588,0.6,0.7793
0.6,-0.42298,0.30401,0.51569,0.53922,0.76562
0.608,-0.41565,0.32356,0.5098,0.52941,0.7793
0.616,-0.40831,0.34897,0.5098,0.52941,0.7793
0.624,-0.39853,0.38025,0.49412,0.52941,0.76562
0.632,-0.3912,0.41544,0.48431,0.53529,0.73438
0.64,-0.38386,0.45161,0.47059,0.5549,0.67969
0.648,-0.37408,0.48289,0.44902,0.58039,0.61523
0.656,-0.36675,0.51124,0.43529,0.58039,0.56445
0.664,-0.35941,0.54154,0.42941,0.57059,0.54492
0.672,-0.35208,0.56989,0.42549,0.56078,0.5293
0.68,-0.34474,0.59629,0.41961,0.56078,0.52539
0.688,-0.33741,0.62072,0.42549,0.5549,0.51953
0.696,-0.33007,0.64223,0.42549,0.55098,0.51562
0.704,-0.32274,0.66178,0.42941,0.53922,0.51562
0.712,-0.31296,0.6784,0.42941,0.53922,0.51562
0.72,-0.30562,0.69306,0.43529,0.53922,0.50977
0.728,-0.29829,0.70674,0.42549,0.5902,0.53516
0.736,-0.28851,0.7175,0.41961,0.6902,0.55078
0.744,-0.28117,0.7263,0.4902,0.7451,0.6543
0.752,-0.27384,0.73216,0.68039,0.81176,0.73047
0.76,-0.2665,0.73509,0.94118,0.94118,0.61914
0.768,-0.25917,0.73607,1.0608,0.96078,0.085938
0.776,-0.25183,0.73607,0.68627,0.82157,-0.31836
0.784,-0.2445,0.73216,0.2,0.81176,-0.36914
0.792,-0.23961,0.72532,0.017647,0.68627,-0.29883
0.8,-0.23227,0.71652,0.039216,0.42549,-0.21484
0.808,-0.22738,0.70479,0.13333,0.26863,0.050781
0.816,-0.22005,0.6911,0.27451,0.25882,0.375
0.824,-0.21516,0.67644,0.3902,0.38431,0.60547
0.832,-0.21027,0.65982,0.43922,0.46471,0.68555
0.84,-0.20782,0.64418,0.44902,0.48431,0.70508
0.848,-0.20538,0.62757,0.46471,0.4902,0.72461
0.856,-0.20293,0.6129,0.47059,0.49412,0.73438
0.864,-0.20293,0.59922,0.46471,0.48431,0.73438
0.872,-0.20293,0.58651,0.46471,0.48431,0.73438
0.88,-0.20049,0.57283,0.46078,0.48431,0.74023
0.888,-0.20049,0.55914,0.44902,0.48039,0.73438
0.896,-0.20049,0.54741,0.4451,0.47059,0.73438
0.904,-0.20049,0.53568,0.44902,0.46078,0.73047
0.912,-0.20049,0.52493,0.43529,0.46078,0.73438
0.92,-0.20049,0.51417,0.42941,0.4451,0.7207
0.928,-0.19804,0.50244,0.43529,0.43529,0.72461
0.936,-0.1956,0.49169,0.42549,0.43529,0.73047
0.944,-0.19071,0.48094,0.42549,0.43922,0.73438
0.952,-0.18582,0.47116,0.42549,0.42549,0.74414
0.96,-0.18093,0.46139,0.42549,0.41569,0.75977
0.968,-0.17359,0.45357,0.43529,0.41569,0.7793
0.976,-0.16626,0.44379,0.4451,0.4,0.81055
0.984,-0.15648,0.43304,0.46078,0.3902,0.84961
0.992,-0.14914,0.42229,0.48039,0.38431,0.89453
1,-0.13692,0.41251,0.5098,0.38039,0.91406
1.008,-0.12714,0.40176,0.52941,0.37059,0.95508
1.016,-0.11491,0.39198,0.5451,0.37451,0.96875
