Time [s], RESP, PLETH, II, V, AVR, CVP
0,0.20626,0.18866,0.46552,0.53033,0.43966,37.04
0.008,0.20821,0.20137,0.46552,0.52544,0.4298,37.04
0.016,0.21017,0.21994,0.47537,0.53523,0.41995,37.04
0.024,0.21114,0.2522,0.49015,0.54501,0.41502,37.04
0.032,0.2131,0.29717,0.50493,0.5499,0.40025,37.04
0.04,0.21408,0.35288,0.51478,0.55479,0.38547,37.04
0.048,0.21603,0.4174,0.54557,0.55969,0.35468,37.04
0.056,0.21701,0.48778,0.56527,0.57045,0.3399,37.04
0.064,0.21799,0.55523,0.58498,0.58023,0.31527,37.04
0.072,0.21896,0.6129,0.5899,0.58513,0.31527,37.04
0.08,0.21994,0.6608,0.55542,0.56458,0.34483,37.04
0.088,0.22092,0.70186,0.5197,0.54501,0.37562,37.04
0.096,0.2219,0.73412,0.49015,0.53033,0.40517,37.04
0.104,0.2219,0.75855,0.46552,0.51468,0.43966,37.04
0.112,0.22287,0.77322,0.43966,0.50489,0.47044,37.04
0.12,0.22287,0.78104,0.41502,0.49511,0.49015,37.04
0.128,0.22287,0.78397,0.39532,0.49022,0.51478,37.04
0.136,0.22287,0.78201,0.38547,0.49022,0.5197,37.04
0.144,0.22287,0.77419,0.39039,0.49511,0.5197,37.04
0.152,0.2219,0.76246,0.39039,0.49022,0.5197,37.04
0.16,0.2219,0.7478,0.39532,0.48532,0.5197,37.04
0.168,0.2219,0.72923,0.39039,0.49511,0.5197,37.04
0.176,0.2219,0.7087,0.39532,0.5,0.51478,37.04
0.184,0.22092,0.68622,0.39532,0.50489,0.51478,37.04
0.192,0.21994,0.66178,0.40517,0.50978,0.50493,37.04
0.2,0.21799,0.63832,0.39532,0.51957,0.49507,37.04
0.208,0.21603,0.61779,0.42488,0.57534,0.57512,37.04
0.216,0.21505,0.59824,0.46059,0.63992,0.6601,37.04
0.224,0.2131,0.57869,0.47044,0.64971,0.74507,37.04
0.232,0.21114,0.55816,0.45443,0.48043,0.76478,37.04
0.24,0.20919,0.53666,0.4803,0.27495,0.66995,37.04
0.248,0.20821,0.51613,0.44951,0.23483,0.71552,37.04
0.256,0.20626,0.49658,0.39039,0.33953,0.7303,37.04
0.264,0.2043,0.47703,0.37562,0.42955,0.61453,37.04
0.272,0.20332,0.45943,0.41502,0.49511,0.50985,37.04
0.28,0.20137,0.44282,0.41995,0.50978,0.47044,37.04
0.288,0.20039,0.4262,0.4101,0.51468,0.44951,37.04
0.296,0.19844,0.40958,0.41502,0.51468,0.44951,37.04
0.304,0.19746,0.39296,0.4101,0.51468,0.44458,37.04
0.312,0.19648,0.37732,0.41502,0.51468,0.44458,37.04
0.32,0.1955,0.36364,0.4101,0.51468,0.44458,37.04
0.328,0.19453,0.34409,0.41995,0.51468,0.43966,37.04
0.336,0.19453,0.32649,0.41502,0.51468,0.43966,37.04
0.344,0.19453,0.31476,0.41995,0.51468,0.43473,37.04
0.352,0.19453,0.3001,0.41995,0.51468,0.43966,37.04
0.36,0.19453,0.28641,0.41995,0.50978,0.43473,37.04
0.368,0.19453,0.27468,0.41995,0.50978,0.43473,37.04
0.376,0.1955,0.26491,0.41995,0.50978,0.4298,37.04
