breaths ann1 [signal sample no], breaths ann2 [signal sample no]
120,61
537,277
898,515
1272,858
1659,1069
2063,1280
2459,1633
2841,2077
3228,2430
3628,2858
4000,3206
4413,3596
4809,3980
5196,4396
5630,4776
6026,5204
6383,5652
6761,5985
7204,6328
7607,6776
7998,7125
8428,7468
8850,7566
9233,8015
9602,8363
10015,8796
10420,9260
10780,9587
11124,9983
11517,10368
11935,10722
12300,11107
12743,11495
13126,11896
13470,12292
13857,12730
14191,13063
14661,13406
15072,13854
15454,14208
15780,14656
16172,14994
16533,15108
16898,15425
17289,15768
17715,16127
18054,16475
18463,16929
18848,17272
19252,17710
19630,18047
20030,18427
20443,18842
20817,19191
21213,19629
21609,19977
22009,20425
22387,20763
22750,21206
23154,21544
23493,22009
23841,22341
24272,22682
24598,23125
24993,23474
25450,23811
25863,24244
26163,24577
26630,25020
26987,25379
27335,25822
27709,26170
28074,26611
28517,26949
28857,27297
29261,27683
29643,28068
30072,28516
30446,28865
30824,29187
31272,29641
31659,29968
31980,30425
32385,30757
32763,31216
33150,31544
33524,31997
33904,32335
34248,32720
34648,33111
35022,33459
35339,33906
35752,34233
36230,34592
36622,35019
36930,35352
37300,35716
37663,36243
38007,36597
38272,36929
38663,37267
38976,37598
39315,37951
39685,38278
39993,38632
40341,38959
40698,39307
41037,39645
41335,39988
41670,40315
42017,40653
42387,40991
42722,41212
43026,41675
43352,41991
43700,42334
44048,42672
44383,42999
44704,43321
45098,43670
45476,44013
45837,44350
46189,44672
46528,45010
46859,45372
47211,45815
47550,46142
47902,46485
48311,46818
48646,47156
49030,47483
49387,47852
49770,48264
50100,48591
50474,48943
50826,49386
51139,49739
51557,50056
51870,50404
52209,50742
52924,51090
53254,51528
53620,51882
53972,52204
54385,52534
54759,52872
55128,53226
55441,53553
55820,53896
56137,54334
56557,54687
56965,55120
57326,55468
57678,55806
58052,56139
58422,56480
58765,56918
59096,57266
59478,57588
59843,58036
NaN,58390
NaN,58722
NaN,59060
NaN,59419
NaN,59751
