Time [s], RESP, II, V, AVR, PLETH
0,0.63328,0.43018,0.6001,0.53516,2.3109
0.008,0.65307,0.43506,0.6001,0.53516,2.2942
0.016,0.67286,0.43018,0.59521,0.52979,2.2737
0.024,0.69313,0.43994,0.58984,0.52002,2.2463
0.032,0.71366,0.44482,0.58496,0.51514,2.217
0.04,0.73223,0.46484,0.58496,0.5,2.1867
0.048,0.75079,0.47021,0.5752,0.49023,2.1466
0.056,0.76814,0.48486,0.56006,0.4751,2.0997
0.064,0.78549,0.50488,0.5498,0.45996,2.0489
0.072,0.8043,0.50977,0.54004,0.45996,1.999
0.08,0.82336,0.51514,0.52979,0.46484,1.9531
0.088,0.84339,0.53516,0.5249,0.43994,1.913
0.096,0.86367,0.53516,0.51514,0.43506,1.8788
0.104,0.88248,0.5249,0.52002,0.44482,1.8504
0.112,0.90154,0.52002,0.5249,0.45508,1.8289
0.12,0.91962,0.51514,0.53516,0.45996,1.8133
0.128,0.9377,0.51514,0.55518,0.46484,1.8045
0.136,0.95773,0.50977,0.56982,0.47021,1.8016
0.144,0.97777,0.50977,0.59521,0.46484,1.7986
0.152,0.98876,0.51514,0.60498,0.47021,1.7957
0.16,1,0.49512,0.62012,0.49023,1.7928
0.168,1,0.49023,0.625,0.49512,1.7879
0.176,1,0.48486,0.625,0.50488,1.7801
0.184,1,0.49023,0.62012,0.5,1.7713
0.192,1,0.48486,0.62012,0.51514,1.7625
0.2,1,0.49512,0.62988,0.50977,1.7527
0.208,1,0.48486,0.62012,0.51514,1.7419
0.216,1,0.50488,0.62988,0.50977,1.7292
0.224,1,0.50977,0.62988,0.49512,1.7165
0.232,1,0.52979,0.63477,0.48486,1.7077
0.24,1,0.54492,0.62988,0.4751,1.6989
0.248,1,0.5752,0.62988,0.4502,1.6872
0.256,1,0.59521,0.64502,0.43994,1.6745
0.264,1,0.60498,0.65479,0.43506,1.6608
0.272,1,0.625,0.65479,0.4248,1.6461
0.28,1,0.61475,0.6499,0.43018,1.6315
0.288,1,0.625,0.64502,0.41992,1.6168
0.296,1,0.65479,0.60498,0.3999,1.6031
0.304,1,0.6499,0.52979,0.39502,1.5924
0.312,1,0.6499,0.51514,0.39014,1.5836
0.32,1,0.66016,0.50488,0.38525,1.5728
0.328,1,0.61475,0.48486,0.41992,1.564
0.336,1,0.5249,0.47998,0.48486,1.5543
0.344,1,0.4502,0.47021,0.52979,1.5396
0.352,1,0.41504,0.45996,0.55518,1.5249
0.36,1,0.39014,0.4502,0.56982,1.5161
0.368,1,0.37988,0.44482,0.58008,1.5191
0.376,1,0.37012,0.44482,0.58496,1.5406
0.384,1,0.375,0.44482,0.5752,1.5865
0.392,1,0.33984,0.4751,0.59521,1.6588
0.4,1,0.29492,0.62988,0.62012,1.7566
0.408,1,0.4248,0.75,0.5249,1.8749
0.416,1,0.64014,0.60986,0.37012,2.0049
0.424,1,0.88477,0.18506,0.26514,2.1369
0.432,1,1.1396,-0.38965,0.22021,2.2473
0.44,1,0.6748,-0.49951,0.52979,2.3382
0.448,1,0.35498,-0.49951,0.68018,2.4213
0.456,1,0.30518,-0.49951,0.66016,2.4839
0.464,1,0.33496,-0.080078,0.61475,2.523
0.472,1,0.33008,0.29004,0.60986,2.5396
0.48,1,0.3501,0.4751,0.6001,2.5347
0.488,1,0.35986,0.55518,0.58496,2.5161
0.496,1,0.35986,0.5752,0.58008,2.4888
0.504,1,0.37012,0.58496,0.5752,2.4565
0.512,1,0.37988,0.59521,0.56494,2.4242
0.52,1,0.39502,0.6001,0.55518,2.3959
0.528,1,0.39014,0.58984,0.56006,2.3744
0.536,1,0.39014,0.59521,0.56494,2.3568
0.544,1,0.3999,0.59521,0.54492,2.3431
0.552,1,0.41504,0.59521,0.53516,2.3333
0.56,1,0.41992,0.59521,0.54004,2.3216
0.568,1,0.43994,0.58984,0.5249,2.3069
0.576,1,0.44482,0.58496,0.52979,2.2874
0.584,1,0.45996,0.58496,0.51514,2.26
0.592,1,0.46484,0.58008,0.50488,2.2239
0.6,1,0.47998,0.56982,0.49023,2.1789
0.608,1,0.5,0.56006,0.46484,2.1271
0.616,1,0.5249,0.5498,0.4502,2.0723
0.624,1,0.5249,0.53516,0.45508,2.0205
0.632,1,0.52979,0.5249,0.45508,1.9785
0.64,1,0.53516,0.52002,0.4502,1.9443
0.648,1,0.52979,0.52002,0.44482,1.912
0.656,1,0.54004,0.5249,0.43994,1.8856
0.664,1,0.53516,0.52979,0.45508,1.868
0.672,1,0.52002,0.54004,0.46484,1.8583
0.68,1,0.51514,0.56006,0.47021,1.8543
0.688,1,0.51514,0.58008,0.4751,1.8534
0.696,1,0.50977,0.60498,0.4751,1.8543
0.704,1,0.52002,0.62988,0.47998,1.8563
0.712,1,0.51514,0.64014,0.49023,1.8573
0.72,1,0.50488,0.63477,0.5,1.8553
0.728,1,0.50488,0.62988,0.5,1.8514
0.736,1,0.50977,0.62988,0.50488,1.8465
0.744,1,0.50488,0.62988,0.50977,1.8368
0.752,1,0.50977,0.62988,0.50488,1.8231
0.76,1,0.5249,0.64502,0.49512,1.8084
0.768,1,0.53516,0.64502,0.49023,1.7908
0.776,1,0.54004,0.64502,0.48486,1.7722
0.784,1,0.55518,0.64014,0.47021,1.7556
0.792,1,0.5752,0.63477,0.45508,1.741
0.8,1,0.58496,0.63477,0.45508,1.7263
0.808,1,0.60498,0.65479,0.43994,1.7126
0.816,1,0.62988,0.66016,0.4248,1.7009
0.824,1,0.625,0.66992,0.43018,1.6882
0.832,1,0.625,0.66992,0.43506,1.6794
0.84,1,0.63477,0.6499,0.4248,1.6725
0.848,1,0.6499,0.58984,0.40479,1.6637
0.856,1,0.6499,0.54492,0.41016,1.653
0.864,1,0.6499,0.52979,0.40479,1.6393
0.872,1,0.64014,0.51514,0.41016,1.6256
0.88,1,0.56494,0.5,0.45996,1.61
0.888,1,0.49512,0.49512,0.50977,1.5924
0.896,1,0.4502,0.49023,0.53516,1.5758
0.904,1,0.41016,0.4751,0.56006,1.564
0.912,1,0.39014,0.46484,0.58008,1.5601
0.92,1,0.38525,0.46484,0.58496,1.5709
0.928,1,0.39014,0.46484,0.58008,1.5953
0.936,1,0.375,0.46484,0.58984,1.6383
0.944,1,0.31982,0.56006,0.60986,1.7107
0.952,1,0.30518,0.73486,0.61475,1.8113
0.96,1,0.53516,0.77002,0.43994,1.9062
0.968,1,0.79492,0.39014,0.29004,2.0127
0.976,1,1.04,-0.1748,0.22998,2.1593
0.984,1,1.1548,-0.49951,0.20996,2.3128
0.992,1,0.46484,-0.49951,0.63477,2.4497
1,1,0.30518,-0.49951,0.68506,2.5591
1.008,1,0.30029,-0.35986,0.62988,2.6354
1.016,1,0.3501,0.13525,0.60498,2.6755
1.024,1,0.34521,0.41504,0.6001,2.6872
1.032,1,0.35986,0.54492,0.58496,2.6784
1.04,1,0.37012,0.6001,0.58496,2.652
1.048,1,0.37012,0.60986,0.5752,2.6158
1.056,1,0.37988,0.62012,0.5752,2.5748
1.064,1,0.38525,0.62988,0.56494,2.5347
1.072,1,0.39014,0.62988,0.56982,2.5024
1.08,0.99951,0.39502,0.62988,0.56494,2.478
1.088,0.99927,0.41016,0.62988,0.56006,2.4585
1.096,0.98925,0.43018,0.62988,0.53516,2.4428
1.104,0.97948,0.4248,0.62988,0.54004,2.4282
1.112,0.96873,0.43018,0.62988,0.54004,2.4106
1.12,0.95822,0.43994,0.62988,0.53516,2.3842
1.128,0.94723,0.45508,0.62988,0.52002,2.3529
1.136,0.93623,0.45996,0.62988,0.51514,2.3177
1.144,0.92524,0.47998,0.61475,0.49512,2.2717
1.152,0.91449,0.5,0.60986,0.47998,2.216
1.16,0.90472,0.50977,0.59521,0.4751,2.1544
1.168,0.89494,0.53516,0.58496,0.45996,2.0909
1.176,0.88566,0.5498,0.5752,0.44482,2.0274
1.184,0.87637,0.55518,0.56006,0.43018,1.9717
1.192,0.86636,0.56006,0.55518,0.43018,1.9257
1.2,0.85634,0.56982,0.55518,0.43506,1.8895
1.208,0.84559,0.55518,0.55518,0.43994,1.8651
1.216,0.83508,0.56006,0.56006,0.43994,1.8495
1.224,0.82531,0.55518,0.5752,0.4502,1.8416
1.232,0.81554,0.5498,0.6001,0.45996,1.8407
1.24,0.80625,0.54492,0.625,0.45508,1.8426
1.248,0.79721,0.55518,0.63477,0.45996,1.8436
1.256,0.78671,0.53516,0.64502,0.4751,1.8416
1.264,0.77645,0.53516,0.6499,0.47998,1.8377
1.272,0.76472,0.5249,0.64502,0.49023,1.8328
1.28,0.75299,0.5249,0.62988,0.49512,1.824
1.288,0.7398,0.53516,0.62988,0.49512,1.8123
1.296,0.72685,0.54004,0.62988,0.49023,1.8006
1.304,0.71244,0.5249,0.62988,0.50488,1.7849
1.312,0.69827,0.52979,0.62988,0.5,1.7654
1.32,0.68409,0.54492,0.64014,0.49023,1.7419
1.328,0.67017,0.55518,0.64502,0.47998,1.7224
1.336,0.656,0.56982,0.64502,0.47021,1.7048
1.344,0.64183,0.5752,0.63477,0.46484,1.6823
1.352,0.62595,0.60498,0.6499,0.44482,1.6598
1.36,0.61007,0.62988,0.66016,0.43018,1.6393
1.368,0.59296,0.64502,0.66992,0.43506,1.6207
1.376,0.57586,0.64014,0.6748,0.4248,1.6041
1.384,0.56047,0.64014,0.66992,0.43018,1.5894
1.392,0.54508,0.66504,0.64014,0.40479,1.5758
1.4,0.53115,0.6748,0.5752,0.39014,1.5621
1.408,0.51722,0.68018,0.54004,0.39014,1.5484
1.416,0.50208,0.6748,0.50977,0.39502,1.5357
1.424,0.48717,0.65479,0.49023,0.39014,1.5239
1.432,0.47105,0.58008,0.48486,0.4502,1.5122
1.44,0.45492,0.5,0.47998,0.49512,1.4976
1.448,0.4388,0.45508,0.46484,0.53516,1.4858
1.456,0.42292,0.43018,0.45996,0.56006,1.478
1.464,0.40728,0.41992,0.45996,0.56006,1.4819
1.472,0.39189,0.40479,0.46484,0.56982,1.5083
1.48,0.37845,0.3999,0.4502,0.5752,1.566
