breaths ann1 [signal sample no], breaths ann2 [signal sample no]
393,298
802,625
1250,1037
1720,1617
2185,1923
2624,2430
3037,2894
3463,3253
3935,3723
4326,4154
4774,4544
5217,5135
5678,5468
6148,6038
6565,6433
7030,6829
7439,7341
7872,7672
8328,8088
8785,8616
9233,9065
9663,9555
10133,10020
10554,10373
10972,10790
11443,11202
11826,11685
12252,12081
12774,12503
13165,12984
13609,13385
14113,13875
14548,14297
15015,14894
15428,15372
15893,15752
16285,16190
16724,16522
17150,17040
17611,17430
18063,17889
18541,18327
18991,18842
19461,19317
19930,19824
20352,20257
20813,20652
21243,21138
21691,21534
22161,22014
22689,22478
23028,22935
23480,23358
23924,23796
24389,24207
24828,24708
25302,25199
25724,25574
26185,26033
26648,26516
27100,26944
27526,27440
28048,27852
28474,28369
28970,28775
29448,29340
29896,29767
30346,30193
30824,30694
31311,31116
31728,31617
32211,32040
32659,32536
33141,33032
33576,33454
33991,33879
34457,34354
34917,34792
35330,35204
35778,35679
36187,36106
36678,36539
37087,37003
37580,37468
38020,37925
38476,38352
38915,38832
39376,39244
39824,39708
40276,40083
40728,40637
41172,41054
41657,41474
42157,42034
42591,42487
43043,42889
43483,43337
43961,43849
44404,44329
44865,44767
45280,45177
45759,45625
46228,46137
46680,46575
47207,47050
47624,47478
48063,47926
48511,48412
48983,48863
49417,49301
49887,49708
50370,50241
50843,50742
51304,51170
51787,51687
52183,52030
52654,52513
53141,52978
53589,53489
54033,53906
54515,54392
55015,54846
55493,55368
55941,55843
56426,56300
56887,56765
57374,57245
58039,57641
58439,58332
58900,58738
59339,59224
59757,59651
