breaths ann1 [signal sample no], breaths ann2 [signal sample no]
141,135
598,583
1007,1005
1550,1565
2254,2245
2772,2794
3385,3375
3930,3953
4470,4460
4939,4935
5474,5499
5987,5990
6570,6555
7083,7114
7715,7714
8367,8352
9080,9065
9680,9656
10389,10410
10876,10896
11470,11527
11978,12023
12478,12519
13122,13131
13657,13659
14117,14144
14657,14651
15159,15182
15711,15694
16420,16475
16954,16960
17380,17404
17941,17942
18585,18607
19100,19111
19600,19602
20070,20093
20670,20658
21230,21233
21683,21692
22252,22230
22750,22777
23367,23363
23924,23917
24433,24455
24907,24920
25515,25516
26020,26044
26635,26638
27113,27139
27674,27683
28187,28189
28717,28722
29287,29303
29861,29862
30315,30330
30846,30831
31454,31480
31998,31997
32459,32462
32976,32974
33485,33470
34030,34027
34526,34528
34891,35536
35496,36206
36235,36729
36726,37199
37209,37809
37820,38299
38285,38753
38746,39260
39272,39788
39785,40368
40346,41228
41220,41749
41757,42340
42352,42862
42870,43395
43361,43949
43970,44424
44439,44889
44883,45340
45333,45831
45798,46385
46376,46950
46928,47530
47511,48021
48020,48660
48637,49196
49204,49692
49674,50130
50139,50600
50604,51154
51161,51528
51543,52019
52009,52513
53072,53073
53585,53600
54198,54218
54754,54761
55376,55368
56050,56049
56626,56627
57239,57224
58070,58078
58670,58670
59096,59049
59683,59704
