Time [s], PLETH, RESP, II, V, AVR
0,0.39589,0.03912,0.72461,0.51961,0.18824
0.008,0.39296,0.046455,0.72461,0.51961,0.18824
0.016,0.39198,0.05379,0.73047,0.52941,0.18824
0.024,0.39101,0.05868,0.73047,0.52941,0.18431
0.032,0.39003,0.066015,0.74414,0.52941,0.17451
0.04,0.38905,0.07335,0.74023,0.53529,0.18431
0.048,0.38905,0.080685,0.75,0.52941,0.17451
0.056,0.38905,0.08802,0.75,0.52941,0.17451
0.064,0.38905,0.095355,0.75,0.53529,0.17451
0.072,0.38905,0.10269,0.75,0.53922,0.17451
0.08,0.38905,0.11002,0.75,0.53529,0.17451
0.088,0.38807,0.11736,0.74023,0.52941,0.17451
0.096,0.3871,0.12225,0.74414,0.53529,0.17451
0.104,0.38514,0.12958,0.75,0.53922,0.17451
0.112,0.38319,0.13447,0.73438,0.5451,0.17843
0.12,0.38123,0.13936,0.73438,0.53922,0.17451
0.128,0.3783,0.14425,0.75,0.55098,0.16863
0.136,0.37634,0.14914,0.76562,0.56078,0.16471
0.144,0.37439,0.15648,0.77539,0.56471,0.15882
0.152,0.37439,0.16137,0.7793,0.57059,0.14314
0.16,0.37634,0.16626,0.78906,0.57451,0.13922
0.168,0.38221,0.17115,0.79883,0.58039,0.12353
0.176,0.39003,0.17604,0.81445,0.56078,0.12353
0.184,0.3998,0.18093,0.80469,0.55098,0.12353
0.192,0.41642,0.18826,0.79492,0.5451,0.12353
0.2,0.43891,0.19315,0.77539,0.52549,0.13333
0.208,0.4653,0.19804,0.75,0.51961,0.15882
0.216,0.49658,0.20293,0.73047,0.51961,0.17451
0.224,0.52884,0.21027,0.72461,0.51569,0.18431
0.232,0.56207,0.21516,0.72461,0.51569,0.18824
0.24,0.59238,0.22005,0.70898,0.51961,0.19412
0.248,0.61877,0.22494,0.7207,0.51569,0.19412
0.256,0.6393,0.22983,0.70508,0.51569,0.19412
0.264,0.65396,0.23472,0.70898,0.51569,0.19412
0.272,0.66178,0.23716,0.71484,0.51569,0.18824
0.28,0.66373,0.24205,0.70508,0.56078,0.2
0.288,0.6608,0.2445,0.72461,0.66078,0.2098
0.296,0.65298,0.24694,0.875,0.6902,0.098039
0.304,0.64223,0.24939,1.2441,0.4549,-0.21176
0.312,0.62952,0.25183,1.4688,0.21373,-0.40784
0.32,0.61388,0.25428,1.3047,0.15882,-0.25294
0.328,0.59824,0.25672,1.0137,0.3451,0.0039216
0.336,0.5826,0.25917,0.76562,0.41569,0.18824
0.344,0.56696,0.26161,0.56445,0.43922,0.32353
0.352,0.55132,0.26406,0.46094,0.4,0.3902
0.36,0.53666,0.2665,0.41992,0.34902,0.40392
0.368,0.52493,0.26895,0.47461,0.33922,0.35882
0.376,0.5132,0.26895,0.55078,0.3902,0.3
