Time [s], RESP, II, V, AVR, PLETH
0,0.23088,0.060059,0.55518,0.70528,2.7449
0.008,0.23675,0.064941,0.5498,0.70039,2.8524
0.016,0.24114,0.055176,0.49512,0.70528,2.913
0.024,0.24579,0.3999,0.5249,0.52493,2.9267
0.032,0.24921,1.145,0.62988,0.069892,2.8974
0.04,0.25263,1.5,0.93506,-0.2957,2.8368
0.048,0.25458,1.2998,1.3296,0.01955,2.7527
0.056,0.25678,0.13525,1.1348,0.70528,2.6549
0.064,0.25751,-0.34961,0.79492,0.97556,2.5523
0.072,0.25825,-0.24463,0.62988,0.89541,2.4506
0.08,0.25678,-0.029785,0.58984,0.75513,2.3627
0.088,0.25531,0.030273,0.55518,0.71505,2.2874
0.096,0.25165,0.035156,0.5249,0.71017,2.216
0.104,0.24823,0.044922,0.50488,0.70528,2.1525
0.112,0.24334,0.055176,0.49512,0.69501,2.0987
0.12,0.2387,0.060059,0.49023,0.68524,2.0518
0.128,0.23284,0.070312,0.50488,0.68524,2.0098
0.136,0.22722,0.080078,0.49512,0.67498,1.9697
0.144,0.22086,0.084961,0.50977,0.67498,1.9296
0.152,0.21451,0.1001,0.5,0.66031,1.8876
0.16,0.20792,0.12012,0.50977,0.65494,1.8426
0.168,0.20132,0.12988,0.50488,0.6349,1.7947
0.176,0.19643,0.1499,0.52002,0.62512,1.7468
0.184,0.19155,0.16992,0.50977,0.60997,1.7048
0.192,0.18813,0.18506,0.52002,0.58993,1.6676
0.2,0.18495,0.20996,0.50977,0.57527,1.6305
0.208,0.183,0.22021,0.52979,0.565,1.5973
0.216,0.18129,0.22998,0.50977,0.54985,1.5709
0.224,0.18104,0.25,0.52002,0.53519,1.5523
0.232,0.18104,0.28027,0.50977,0.51515,1.5406
0.24,0.18422,0.29492,0.52002,0.5,1.5357
0.248,0.18739,0.31494,0.51514,0.48485,1.5367
0.256,0.19301,0.31982,0.53516,0.47996,1.5415
0.264,0.19888,0.33496,0.5498,0.47507,1.5484
0.272,0.20498,0.33984,0.56982,0.47996,1.5552
0.28,0.21134,0.33496,0.58008,0.49511,1.5611
0.288,0.21793,0.31006,0.58984,0.51515,1.566
0.296,0.22453,0.2749,0.60498,0.54985,1.5679
0.304,0.23235,0.22998,0.59521,0.58504,1.566
