breaths ann1 [signal sample no], breaths ann2 [signal sample no]
150,145
580,583
980,989
1476,1454
1898,1897
2424,2393
2946,2963
3489,3485
3913,3937
4443,4518
4952,4951
5409,5404
5904,5900
6400,6375
6870,6871
7343,7330
7811,7835
8389,8405
8872,8875
9276,9302
9763,9772
10367,10368
10802,10806
11317,11279
11848,11849
12370,12361
12843,12852
13304,13290
13843,13838
14374,14377
14774,14794
15315,15325
15750,15752
16241,16259
16767,16813
17320,17335
17759,17736
18259,18274
18707,18739
19243,19243
19626,19660
19626,20162
20196,20637
20635,21185
21152,21666
21691,22225
22204,22719
22715,23199
23207,23716
23720,24186
24193,24703
24733,25173
25141,25637
25637,26117
26124,26638
26622,27108
27096,27604
27657,28189
28209,28638
28652,29144
29139,29672
29704,30166
30224,30694
30693,31195
31146,31628
31711,32129
32124,32641
32663,33169
33180,33586
33628,34127
34126,34613
34617,35193
35213,35663
35657,36185
36178,36729
36717,37151
37157,37640
37633,38099
38137,38642
38620,39112
38885,39629
39141,40194
39628,40579
40193,41123
40615,41654
41102,42171
41678,42677
42204,43131
42700,43691
43126,44261
43722,44720
44265,45240
44726,45736
45250,46243
45741,46665
46280,47150
46680,47668
47124,48111
47672,48718
48167,49228
48711,49713
49252,50225
49709,50732
50235,51265
50700,51792
51278,52330
51848,52835
52339,53489
52841,54017
53498,54508
54041,55004
54502,55574
55028,56022
55585,56516
56015,57049
56565,57535
57061,58094
57552,58622
58117,59155
58622,59794
59204,NaN
59826,NaN
