breaths ann1 [signal sample no], breaths ann2 [signal sample no]
367,409
780,757
1263,1227
1746,1744
2280,2303
2754,2757
3207,3243
3698,3758
4209,4228
4657,4634
5148,5151
5626,5610
6091,6101
6552,6549
7087,7082
7572,7571
8007,8004
8493,8505
9041,9044
9541,9545
10080,10083
10507,10558
10980,11038
11443,11422
11913,11960
12400,12387
12878,12830
13300,13279
13787,13812
14278,14276
14700,14704
15185,15219
15646,15668
16337,16359
16767,16760
17220,17198
17733,17789
18189,18232
18667,18665
19130,19101
19622,19660
20048,20093
20530,20578
21004,21006
21465,21418
21909,21956
22378,22373
22802,22814
23233,23263
23680,23637
24167,24181
24607,24561
25085,25125
25593,25584
26033,26038
26483,26485
26974,27002
27413,27419
27952,27947
28391,28358
28883,28875
29330,29303
29800,29830
30285,30288
30763,30799
31254,31243
31715,31749
32211,32256
32667,32720
33141,33179
33602,33607
34096,34064
34552,34555
34983,34993
35435,35431
35874,35890
36317,36344
36796,36824
37270,37272
37667,37708
38141,38173
38585,38584
39024,39017
39480,39450
39885,39867
40341,40358
40785,40774
41215,41268
41670,41691
42143,42144
42613,42635
43078,43078
43583,43575
44052,43997
44483,44509
44930,44941
45398,45383
45802,45794
46272,46301
46767,46792
47180,47208
47654,47683
48133,48148
48607,48617
49043,49048
49470,49465
49991,49993
50430,50389
50904,50900
51326,51323
51809,51829
52313,52336
52793,52788
53250,53247
53741,53732
54207,54197
54680,54666
55150,55157
55598,55606
56076,56049
56504,56501
57000,56997
57439,57414
57861,57846
58309,58290
58787,58828
59278,59297
59739,59751
