breaths ann1 [signal sample no], breaths ann2 [signal sample no]
293,293
663,689
1015,1042
1346,1322
1672,1644
1998,2018
2328,2330
2667,2668
3020,3032
3420,3427
3857,3858
4322,4312
4713,4724
5148,5146
5535,5536
5913,5922
6326,6328
6726,6718
7117,7114
7500,7513
7872,7872
8263,8263
8637,8653
9059,9054
9493,9492
9920,9925
10354,10326
10715,10722
11115,11107
11509,11511
11900,11907
12322,12319
12739,12720
13065,13078
13443,13464
13852,13859
14313,14303
14726,14725
15163,15156
15567,15562
15924,15921
16337,16343
16720,16712
17102,17098
17485,17493
17898,17889
18302,18296
18702,18712
19109,19096
19548,19549
19917,19908
20313,20294
20878,20563
21265,20879
21648,21270
22048,21655
22430,22030
22820,22425
23202,22819
23563,23189
23985,23579
24380,23980
24767,24376
25128,24766
25507,25168
25907,25505
26296,25896
26730,26300
27152,26733
27535,27129
27957,27546
28352,27947
28752,28358
29135,28749
29574,29134
30000,29588
30389,30013
30772,30383
31485,30778
31950,31153
32363,31485
32820,31934
33228,32372
33611,32815
34057,33222
34478,33623
34887,34043
35274,34481
35730,34866
36174,35230
36535,35721
36939,36154
37248,36534
37841,36703
38250,36898
38607,37235
38933,37840
39372,38236
39659,38584
40020,38938
40372,39371
40789,39650
41024,40009
41448,40400
41809,40785
42183,41012
42578,41416
42987,41791
43378,42171
43761,42556
44243,42947
44548,43363
45080,43765
45515,44203
45933,44598
46380,45050
46772,45493
47241,45931
47620,46369
48107,46770
48515,47172
48961,47594
49352,48100
49761,48507
50178,48932
50574,49354
50952,49724
51374,50162
51804,50557
52243,50974
52646,51375
53059,51792
53476,52214
54163,52640
54598,53046
54998,53463
55454,53848
55841,54154
56241,54582
56683,54993
57283,55437
57674,55838
58122,56239
58487,56648
58822,56949
59596,57303
NaN,57699
NaN,58094
NaN,58480
NaN,58807
NaN,59150
NaN,59582
