breaths ann1 [signal sample no], breaths ann2 [signal sample no]
385,388
1020,1058
1702,1697
2185,2182
2993,2942
3563,3644
4300,4317
4883,4940
5696,5626
6317,6381
7009,6977
7867,7846
8498,8500
9150,9112
9867,9851
10533,10447
11072,11144
11791,11823
12483,12498
13135,13184
13870,13944
14557,14625
15285,15282
15989,16016
16759,16828
17502,17509
18207,18206
18707,18879
19348,19381
20100,20177
20861,20863
21539,21608
22135,22209
22854,22883
23489,23484
24067,24149
24759,24840
25398,25516
26107,26112
26865,26954
27552,27630
28209,28263
28935,29013
29570,29614
30367,30383
30933,30963
31628,31675
32311,32409
32941,33016
33698,33863
34470,34650
35339,35478
36074,36175
36796,36877
37413,37561
38924,38421
39641,39028
40411,39714
41059,40474
41757,41263
42483,41875
43165,42625
43887,43163
44661,43918
45320,44667
46037,45409
46707,46111
47507,46802
48237,47478
48830,48153
49613,48827
50270,49666
51057,50357
51735,51053
52491,51750
53324,52619
54011,53389
54733,53985
55359,54751
56054,55220
56835,56102
58717,56643
NaN,57556
NaN,57915
NaN,58290
NaN,58701
NaN,58997
NaN,59245
NaN,59461
