breaths ann1 [signal sample no], breaths ann2 [signal sample no]
98,103
415,404
707,715
1028,1026
1337,1348
1654,1644
1989,1976
2311,2303
2620,2620
2967,2963
3276,3280
3615,3612
3952,3958
4283,4286
4591,4613
4948,4940
5287,5267
5617,5615
5961,5953
6287,6286
6613,6608
6974,6966
7291,7309
7615,7629
7959,7951
8302,8294
8628,8621
8946,8938
9276,9265
9628,9629
9967,9962
10285,10289
10620,10595
10946,10954
11265,11274
11613,11606
11939,11939
12274,12261
12583,12598
12917,12915
13230,13242
13574,13580
13909,13907
14239,14245
14565,14561
14904,14904
15263,15251
15589,15588
15920,15921
16263,16253
16593,16591
16928,16918
17276,17266
17585,17594
17920,17921
18267,18253
18576,18575
18909,18900
19239,19233
19565,19565
19904,19903
20226,20225
20552,20547
20865,20863
21222,21217
21548,21534
21874,21866
22191,22193
22524,22518
22837,22840
23180,23168
23498,23489
23828,23822
24172,24170
24511,24508
24841,24846
25172,25173
25507,25500
25828,25827
26167,26165
26500,26511
26830,26817
27148,27155
27491,27498
27843,27846
28165,28168
28530,28527
28865,28859
29217,29203
29539,29535
29874,29878
30211,30214
30546,30546
30863,30863
31185,31195
31550,31544
31876,31908
32315,32303
32654,32646
32972,32984
33307,33301
33602,33623
33943,33948
34296,34301
34630,34634
34948,34945
35265,35267
35613,35605
35922,35927
36243,36249
36574,36571
36900,36903
37248,37235
37580,37582
37880,37877
38176,38168
38524,38521
38833,38822
39141,39128
39454,39471
39815,39782
40137,40136
40459,40447
40785,40790
41120,41128
41452,41458
41787,41775
42122,42118
42461,42466
42778,42778
43104,43105
43439,43437
43804,43796
44122,44134
44461,44451
44800,44794
45133,45140
45489,45483
45837,45821
46172,46169
46515,46522
46859,46871
47207,47214
47546,47557
47880,47889
48224,48222
48541,48538
48900,48900
49248,49249
49587,49592
49913,49935
50283,50283
50617,50605
50952,50943
51296,51286
51657,51650
51991,51982
52313,52315
52689,52698
53111,53109
53454,53458
53785,53785
54141,54139
54472,54466
54802,54803
55102,55115
55428,55437
55750,55764
56093,56096
56426,56427
56735,56738
57070,57081
57426,57419
57765,57746
58096,58100
58430,58427
58761,58759
59083,59086
59413,59424
59757,59757
