breaths ann1 [signal sample no], breaths ann2 [signal sample no]
254,256
511,509
798,794
1215,1206
1567,1575
1885,1887
2202,2235
2511,2520
2828,2826
3193,3206
3524,3517
3917,3895
4313,4307
4678,4671
5039,5035
5491,5494
5813,5816
6170,6191
6578,6581
6965,6966
7309,7304
7633,7650
7985,7993
8350,8342
8720,8727
9111,9096
9524,9503
9859,9846
10176,10183
10593,10595
10933,10933
11252,11258
11583,11590
11961,11949
12326,12313
12648,12656
12978,12999
13352,13348
13674,13675
14013,14013
14322,14313
14661,14635
14943,14957
15328,15340
15707,15710
16067,16069
16459,16470
16833,16813
17215,17219
17593,17588
17876,17884
18259,18269
18533,18570
18922,18927
19330,19323
19704,19697
20074,20061
20430,20415
20730,20753
21091,21117
21561,21549
21900,21898
22261,22251
22611,22613
22976,22951
23298,23299
23628,23621
23959,23954
24341,24355
24737,24719
25111,25104
25480,25474
25859,25854
26172,26165
26430,26427
26743,26770
27143,27134
27517,27524
27874,27883
28170,28184
28539,28548
28917,28928
29239,29250
29613,29614
29935,29957
30320,30319
30698,30694
31046,31037
31389,31380
31720,31734
32076,32071
32446,32441
32741,32736
33098,33090
33485,33480
33822,33827
34187,34175
34509,34507
34835,34834
35209,35209
35509,35510
35843,35842
36222,36217
36574,36586
36943,36956
37317,37330
37663,37656
38076,38057
38454,38463
38833,38838
39207,39202
39628,39608
39959,39946
40272,40278
40585,40574
40911,40912
41265,41258
41648,41638
42004,42028
42400,42398
42696,42704
43017,43010
43365,43358
43678,43691
44048,44039
44365,44366
44735,44735
45080,45066
45437,45441
45798,45805
46163,46179
46489,46485
46837,46823
47176,47161
47533,47509
47841,47842
48267,48269
48576,48596
48952,48953
49335,49338
49761,49745
50096,50098
50522,50547
50913,50906
51270,51265
51600,51613
51904,51898
52283,52294
52663,52672
53072,53078
53402,53405
53754,53748
54046,54054
54376,54376
54763,54756
55154,55131
55515,55521
55863,55864
56172,56170
56491,56495
56791,56791
57152,57144
57483,57482
57804,57809
58239,58258
58513,58527
58896,58907
59252,59261
59639,59651
59991,59989
