breaths ann1 [signal sample no], breaths ann2 [signal sample no]
4422,309
4965,1005
6000,1602
6752,2113
8489,2377
8933,2678
9385,3190
10733,3580
11059,3734
12917,4454
13378,5003
13852,5673
14343,5985
14939,6243
15785,6734
16237,7199
16693,7730
17380,8489
17798,8954
18359,9397
18870,9978
19452,10273
20430,10722
20857,11022
22243,11606
22902,12424
25111,12857
26970,13427
27600,13902
29204,14392
29483,14978
29909,15810
30398,16216
30724,16691
31093,17361
31589,17815
32224,18391
32637,18853
33054,19460
33459,20473
33922,20837
34483,21444
34926,21892
35457,22241
35978,22877
36413,23547
36874,24197
37074,24814
37452,25104
37589,25352
38015,25669
38467,25869
38946,26086
39502,26564
39828,26976
40193,27530
40780,28432
41089,29187
41370,29487
42309,29947
42891,30319
43870,30752
44343,31174
44839,31665
45333,32156
45807,32673
46207,33063
46667,33464
47215,33906
47654,34391
48211,34982
48689,35436
49187,36006
49613,36449
50004,36877
50535,37077
51057,37494
51522,38057
52017,38484
52465,38970
53076,39545
53554,39846
54067,40183
54524,40600
54985,40817
55480,41218
55924,41902
56361,42287
56813,42947
57309,43875
57896,44382
58409,44830
58917,45361
59413,45794
59891,46211
NaN,46686
NaN,47208
NaN,47694
NaN,48206
NaN,48712
NaN,49185
NaN,49613
NaN,50030
NaN,50557
NaN,50985
NaN,51528
NaN,52030
NaN,52473
NaN,53062
NaN,53584
NaN,54059
NaN,54524
NaN,55009
NaN,55505
NaN,55949
NaN,56374
NaN,56838
NaN,57324
NaN,57915
NaN,58416
NaN,58923
NaN,59424
NaN,59904
