breaths ann1 [signal sample no], breaths ann2 [signal sample no]
224,198
520,541
928,926
1359,1348
1776,1770
2202,2193
2593,2604
3007,3011
3450,3433
3707,3702
4117,4154
4683,4703
5096,5088
5526,5526
5939,5922
6352,6359
6748,6761
7178,7188
7576,7587
8028,8025
8424,8426
8841,8838
9267,9260
9693,9693
10102,10109
10524,10526
10924,10933
11352,11337
11778,11775
12174,12171
12583,12598
13013,13010
13430,13443
13843,13849
14265,14266
14678,14677
15107,15103
15515,15520
15937,15937
16367,16359
16759,16760
17180,17193
17607,17609
18011,18026
18441,18443
18835,18842
19274,19280
19683,19687
20122,20135
20530,20520
20939,20948
21352,21365
21761,21761
22200,22193
22607,22592
23024,23020
23446,23447
23846,23859
24280,24286
24685,24672
25102,25115
25550,25521
25920,25938
26343,26363
26770,26749
27200,27192
27587,27577
28043,28031
28426,28437
28861,28865
29287,29276
29670,29672
30102,30124
30502,30504
31376,30963
31780,31354
32202,31786
32615,32182
32880,32620
33302,32879
33689,33290
34126,33707
34565,34122
34965,34539
35387,34966
35822,35378
36213,35795
36626,36222
37052,36629
37876,37046
38311,37872
38720,38305
39154,38706
39554,39133
39959,39540
40376,39978
40815,40368
41198,40811
41604,41207
42026,41611
42448,42028
42852,42445
43283,42857
43696,43279
44100,43706
44539,44086
44939,44535
45367,44947
45789,45367
46193,45784
46615,46195
47046,46617
47472,47024
47863,47441
48280,47852
48693,48280
49130,48691
49522,49159
49952,49518
50383,49945
50778,50362
51200,50784
51626,51185
52039,51613
52452,52019
52876,52452
53276,52856
53680,53284
54107,53685
54528,54133
54954,54518
55367,54962
55780,55352
56185,55801
56609,56186
57039,56622
57452,57018
57865,57456
58274,57862
58700,58284
59122,58691
59535,59113
59952,59535
NaN,59952
