breaths ann1 [signal sample no], breaths ann2 [signal sample no]
67,77
498,478
902,894
1315,1327
1720,1739
2150,2156
2572,2578
2872,2873
3307,3290
3698,3702
4126,4117
4491,4491
4948,4940
5387,5367
5804,5800
6187,6191
6617,6613
6943,6951
7378,7362
7785,7793
8133,8120
8472,8463
8898,8901
9333,9323
9689,9672
10102,10094
10507,10511
10941,10933
11343,11353
11674,11675
12083,12092
12500,12498
12909,12925
13339,13327
13757,13765
14113,14108
14530,14535
14943,14941
15346,15367
15793,15768
16102,16106
16493,16512
16841,16855
17250,17261
17698,17689
18115,18100
18541,18522
18939,18927
19374,19349
19787,19761
20230,20193
20600,20610
21035,21027
21396,21402
21817,21813
22239,22230
22654,22656
23085,23062
23420,23421
23798,23801
24207,24207
24633,24613
25033,25025
25346,25331
25772,25759
26163,26165
26578,26590
26952,26944
27313,27303
27583,27593
28022,28020
28430,28432
28865,28833
29257,29255
29687,29667
30102,30098
30493,30504
30767,30773
31193,31195
31620,31617
32037,32024
32285,32282
32707,32704
33120,33116
33541,33538
33943,33937
34387,34359
34691,34692
35087,35104
35517,35520
35939,35932
36357,36344
36787,36776
37200,37188
37598,37587
38015,38009
38424,38431
38859,38859
39267,39270
39689,39693
39976,39988
40407,40394
40828,40811
41228,41234
41583,41564
41861,41870
42278,42287
42683,42693
43135,43110
43539,43527
43957,43944
44348,44345
44704,44693
45115,45103
45541,45536
45963,45953
46350,46359
46776,46770
47189,47187
47593,47609
48028,48021
48441,48438
48746,48744
49174,49175
49583,49592
50009,50009
50422,50431
50826,50827
51261,51265
51670,51681
52113,52093
52500,52513
52924,52930
53346,53336
53776,53769
54172,54175
54598,54598
55011,55004
55437,55442
55741,55737
56154,56165
56548,56564
57004,56986
57413,57398
57830,57830
58230,58205
58657,58659
59013,59007
59422,59414
59839,59841
