Time [s], RESP, PLETH, II, V, AVR
0,0.25806,0.59531,-0.058594,0.72157,0.85938
0.008,0.26393,0.59042,-0.029297,0.69608,0.69531
0.016,0.26979,0.58358,0.17969,0.7,0.45508
0.024,0.27566,0.57771,0.84375,0.32941,0.041016
0.032,0.2825,0.57283,1.3184,0.078431,-0.099609
0.04,0.28837,0.56891,0.85547,0.18431,0.57031
0.048,0.29521,0.56598,0.14453,0.56078,0.99023
0.056,0.30205,0.56207,-0.070312,0.72157,1.0254
0.064,0.3089,0.55718,-0.14453,0.80588,0.96484
0.072,0.31672,0.5523,-0.19336,0.84118,0.98047
0.08,0.32454,0.54643,-0.21484,0.85686,0.98438
0.088,0.33138,0.53959,-0.21484,0.86667,0.98438
0.096,0.33822,0.53079,-0.20898,0.86078,0.97461
0.104,0.34506,0.52102,-0.21484,0.87059,0.98047
0.112,0.35191,0.51222,-0.21484,0.86667,0.96875
0.12,0.35777,0.50342,-0.20508,0.87059,0.95898
0.128,0.36461,0.49462,-0.19922,0.86667,0.94922
0.136,0.37146,0.4868,-0.19922,0.86078,0.94922
0.144,0.3783,0.47898,-0.18945,0.86078,0.93555
0.152,0.38416,0.47312,-0.18359,0.86078,0.93555
0.16,0.39003,0.46628,-0.16992,0.85686,0.91406
0.168,0.39589,0.46139,-0.16406,0.85686,0.91406
0.176,0.40274,0.4565,-0.1543,0.85098,0.89453
0.184,0.40958,0.45259,-0.1543,0.8451,0.89453
0.192,0.41642,0.44868,-0.14453,0.8451,0.87891
0.2,0.42522,0.44673,-0.14453,0.85098,0.88477
0.208,0.43304,0.44477,-0.14453,0.8451,0.86914
0.216,0.44282,0.44282,-0.13477,0.84118,0.85547
0.224,0.45161,0.44086,-0.125,0.8451,0.83984
0.232,0.46139,0.43891,-0.12891,0.85098,0.83008
0.24,0.47116,0.43695,-0.12891,0.8451,0.81445
0.248,0.47996,0.43597,-0.125,0.85686,0.80469
0.256,0.48778,0.43402,-0.12891,0.85686,0.79492
0.264,0.4956,0.43109,-0.11914,0.86078,0.78906
0.272,0.50342,0.42815,-0.125,0.85686,0.79492
0.28,0.51124,0.4262,-0.099609,0.8451,0.78906
