breaths ann1 [signal sample no], breaths ann2 [signal sample no]
320,325
685,694
1080,1074
1450,1443
1802,1823
2193,2198
2559,2567
2946,2947
3333,3317
3685,3702
4061,4075
4426,4449
4822,4819
5200,5188
5552,5568
5917,5948
6309,6323
6700,6703
7052,7072
7417,7447
7820,7819
8198,8199
8554,8563
8933,8949
9320,9323
9702,9703
10067,10073
10437,10447
10815,10822
11193,11191
11574,11569
11943,11954
12326,12329
12683,12693
13078,13073
13443,13443
13813,13817
14187,14197
14565,14577
14948,14947
15315,15319
15680,15694
16072,16063
16446,16443
16815,16828
17189,17193
17567,17573
17946,17947
18307,18317
18698,18691
19070,19075
19448,19454
19817,19819
20183,20199
20578,20563
20930,20937
21296,21323
21691,21697
22074,22072
22426,22447
22811,22814
23228,23189
23554,23574
23941,23949
24315,24323
24685,24693
25072,25062
25441,25442
25828,25822
26189,26191
26565,26564
26939,26939
27322,27319
27687,27693
28061,28063
28435,28443
28809,28812
29191,29192
29565,29572
29939,29941
30307,30314
30685,30683
31054,31069
31411,31433
31811,31823
32211,32203
32524,32567
32915,32947
33289,33317
33676,33686
34052,34069
34448,34439
34813,34808
35178,35188
35552,35568
35939,35943
36317,36323
36687,36681
37052,37067
37461,37447
37811,37819
38193,38194
38572,38563
38941,38933
39328,39323
39702,39698
40063,40062
40433,40442
40802,40811
41185,41197
41557,41569
41961,41939
42304,42319
42678,42688
43048,43057
43435,43427
43813,43812
44191,44197
44570,44567
44935,44947
45315,44340
45689,45309
46054,45689
46441,46069
46802,46443
47185,46818
47572,47187
47924,47562
48315,47942
48672,48327
49078,48697
49435,49064
49796,49444
50191,49808
50557,50188
50939,50573
51304,50937
51687,51317
52057,51692
52426,52061
52815,52441
53211,52819
53537,53189
53928,53569
54302,53943
54685,54307
55050,54693
55446,55073
55802,55442
56176,55817
56561,56191
56948,56559
57317,56939
57696,57313
58061,57693
58430,58068
58804,58437
59170,58817
59574,59197
59952,59567
NaN,59936
