breaths ann1 [signal sample no], breaths ann2 [signal sample no]
202,198
663,662
1020,1021
1341,1338
1720,1718
2211,2214
2663,2673
3141,3153
3567,3570
4057,4080
4522,4528
4909,4929
5378,5394
5878,5885
6296,6296
6765,6771
7235,7235
7659,7666
8098,8094
8602,8606
8972,8964
9463,9466
9967,9962
10450,10447
10876,10885
11296,11284
11774,11770
12161,12176
12670,12688
13117,13131
13600,13606
13991,13986
14378,14382
14870,14862
15346,15340
15759,15757
16276,16285
16741,16744
17128,17140
17528,17520
17972,17968
18385,18406
18804,18795
19252,19254
19722,19724
20117,20125
20565,20568
21061,21064
21530,21528
21935,21924
22313,22315
22802,22814
23276,23284
23676,23669
24150,24165
24550,24550
25093,25083
25624,25627
26085,26075
26383,26395
26874,26865
27309,27303
27752,27751
28235,28232
28726,28728
29139,29139
29561,29556
30011,30008
30485,30488
30959,30958
31380,31380
31989,32003
32493,32504
32998,32995
33424,33433
33887,33922
34304,34275
34730,34734
35191,35188
35674,35679
36135,36133
36548,36560
37048,37046
37528,37540
38007,38004
38489,38484
38880,38896
39359,39344
39850,39856
40163,40162
40507,40500
40920,40917
41246,41239
41635,41643
42043,42065
42522,42546
43030,43020
43426,43437
43874,43891
44339,44345
44748,44751
45180,45203
45672,45683
46154,46169
46763,46760
47259,47261
47711,47704
48163,48164
48680,48686
49170,49185
49565,49560
50022,50019
50457,50468
50909,50911
51343,51349
51783,51787
52287,52288
52746,52745
53246,53252
53711,53722
54241,54244
54676,54682
55089,55104
55611,55632
56054,56049
56509,56506
56957,56949
57409,57408
57957,57957
58474,58474
58904,58923
59370,59377
59861,59867
