Time [s], RESP, II, V, AVR, PLETH
0,0.30258,0.66471,0.97461,0.23438,0.4868
0.008,0.32472,0.67059,0.98047,0.22461,0.46921
0.016,0.34686,0.65098,0.97461,0.24609,0.45259
0.024,0.37023,0.6902,0.96484,0.2207,0.43988
0.032,0.3936,0.7,0.95898,0.21094,0.42815
0.04,0.41943,0.68039,0.96484,0.2207,0.4174
0.048,0.44403,0.7,0.95508,0.21094,0.40665
0.056,0.4674,0.71569,0.95898,0.19531,0.39687
0.064,0.49077,0.72549,0.95508,0.18555,0.39003
0.072,0.51169,0.71569,0.95898,0.19531,0.38416
0.08,0.5326,0.7451,0.94531,0.16992,0.38123
0.088,0.55474,0.76078,0.95508,0.16016,0.3783
0.096,0.57688,0.77059,0.95898,0.15039,0.37634
0.104,0.59779,0.81176,0.95508,0.11523,0.37439
0.112,0.61993,0.82549,0.95898,0.099609,0.37243
0.12,0.64084,0.86667,0.94922,0.080078,0.37048
0.128,0.66298,0.87059,0.94531,0.076172,0.36852
0.136,0.68266,0.90196,0.94531,0.054688,0.36657
0.144,0.70357,0.91569,0.93945,0.044922,0.36266
0.152,0.72079,0.91176,0.94531,0.054688,0.35973
0.16,0.73801,0.92157,0.94531,0.050781,0.35582
0.168,0.75277,0.90196,0.96484,0.070312,0.35191
0.176,0.76753,0.86078,0.96875,0.099609,0.34897
0.184,0.78229,0.82549,0.97461,0.125,0.34506
0.192,0.79705,0.78039,0.98047,0.16602,0.34115
0.2,0.81058,0.75098,0.99414,0.18945,0.33724
0.208,0.82411,0.72549,0.99023,0.21094,0.33431
0.216,0.83641,0.6902,0.99023,0.23438,0.3304
0.224,0.84748,0.7,0.98438,0.22461,0.32747
0.232,0.85855,0.67647,0.99023,0.23438,0.32551
0.24,0.86839,0.6902,0.99414,0.22461,0.32258
0.248,0.87946,0.67647,0.99414,0.24023,0.32063
0.256,0.89053,0.68039,0.99414,0.23047,0.31867
0.264,0.90283,0.66471,1,0.24023,0.31672
